"","baseMean","log2FC","log2FC_shrunken","lfcSE_shrunken","stat","pvalue","padj"
"LOC107049475",526.861721042169,0.538558969973079,0.497539639342027,0.238380244112099,2.20033316147341,0.0277832661527036,0.0623483442412139
"CLC2DL5",868.801553477389,0.668016144140994,0.598199195657818,0.294310345275533,2.20043930426846,0.0277757418046241,0.0623414048546104
"LOC112532835",108.78548079457,0.83267063696462,0.660523017870819,0.436097159685983,1.80500021447871,0.0710746484706841,0.136631953722652
"CLC2DL2",267.775260522023,0.781338122035922,0.679998012872299,0.341135132427674,2.21754165953667,0.0265860995421724,0.0601221987395816
"CLC2DL4",230.871493273185,0.532918349230389,0.491288990453765,0.240787704227057,2.15109646517983,0.0314685864615477,0.0692269529509118
"DHRS4",152.838530567761,-0.553398124210091,-0.5217520505878,0.205209698439068,-2.64589288631825,0.00814756111444651,0.0218375751973713
"CARMIL3",77.8164367798844,0.0448258450053688,0.0423862556147201,0.18791721614688,0.230951146009421,0.817352755838093,0.881595265977964
"RNF212B",545.366705851967,0.104974253077541,0.1031902340475,0.10371293828462,1.00264917013026,0.31603016280466,0.445155747302549
"LOC107053477",83.2640089194936,-0.0995075790679888,-0.0878547348816519,0.259270965014068,-0.362881043736723,0.71669374784114,0.808293611571872
"LOC107049847",196.786338925853,-0.255306812471486,-0.22032459898941,0.289240837554758,-0.826482448648784,0.408530470283709,0.541400500590188
"LOC770705",76.7036737298287,2.64185473671534,1.99301662347262,1.03138126452111,2.89263147342676,NA,NA
"LOC101747821",190.516425548467,-0.0155910174255176,-0.0107788153859093,0.373816056905219,-0.0364025170878702,0.97096140716537,0.983264445873873
"CD69L",420.40337984105,0.438949132318362,0.383334011778652,0.296694486270396,1.40254420537025,0.160752799689687,0.264400009405419
"LOC107055489",208.105460811065,-0.0565890166733537,-0.0528397348224062,0.188653166812646,-0.291335260798969,0.770794922235787,0.848888300670888
"LOC112532969",26.6358492860672,1.06503235375473,0.961189630245678,0.335995837600334,3.14891354059177,0.00163878672273672,0.00536198512259008
"LOC112532872",122.211100721289,0.326862692782377,0.298230465920192,0.239345596063712,1.31095485272882,0.189873017089106,0.301303458751733
