ensembl_id,symbol,entrez_id,log2FC_used,padj,baseMean,log2FC,log2FC_shrunken,lfcSE_shrunken,stat,pvalue
NA,LOC107049475,NA,0.497539639342027,0.0623483442412139,526.861721042169,0.538558969973079,0.497539639342027,0.238380244112099,2.20033316147341,0.0277832661527036
NA,CLC2DL5,776458,0.598199195657818,0.0623414048546104,868.801553477389,0.668016144140994,0.598199195657818,0.294310345275533,2.20043930426846,0.0277757418046241
NA,LOC112532835,NA,0.660523017870819,0.136631953722652,108.78548079457,0.83267063696462,0.660523017870819,0.436097159685983,1.80500021447871,0.0710746484706841
NA,CLC2DL2,NA,0.679998012872299,0.0601221987395816,267.775260522023,0.781338122035922,0.679998012872299,0.341135132427674,2.21754165953667,0.0265860995421724
NA,CLC2DL4,100857569,0.491288990453765,0.0692269529509118,230.871493273185,0.532918349230389,0.491288990453765,0.240787704227057,2.15109646517983,0.0314685864615477
ENSGALG00010005420,DHRS4,426247,-0.5217520505878,0.0218375751973713,152.838530567761,-0.553398124210091,-0.5217520505878,0.205209698439068,-2.64589288631825,0.00814756111444651
NA,CARMIL3,101749117,0.0423862556147201,0.881595265977964,77.8164367798844,0.0448258450053688,0.0423862556147201,0.18791721614688,0.230951146009421,0.817352755838093
NA,RNF212B,770305,0.1031902340475,0.445155747302549,545.366705851967,0.104974253077541,0.1031902340475,0.10371293828462,1.00264917013026,0.31603016280466
NA,LOC107053477,NA,-0.0878547348816519,0.808293611571872,83.2640089194936,-0.0995075790679888,-0.0878547348816519,0.259270965014068,-0.362881043736723,0.71669374784114
ENSGALG00010007339,LOC107049847,107049847,-0.22032459898941,0.541400500590188,196.786338925853,-0.255306812471486,-0.22032459898941,0.289240837554758,-0.826482448648784,0.408530470283709
ENSGALG00010018616,LOC770705,770705,1.99301662347262,NA,76.7036737298287,2.64185473671534,1.99301662347262,1.03138126452111,2.89263147342676,NA
ENSGALG00010007165,LOC101747821,101747821,-0.0107788153859093,0.983264445873873,190.516425548467,-0.0155910174255176,-0.0107788153859093,0.373816056905219,-0.0364025170878702,0.97096140716537
ENSGALG00010007115,CD69L,417816,0.383334011778652,0.264400009405419,420.40337984105,0.438949132318362,0.383334011778652,0.296694486270396,1.40254420537025,0.160752799689687
ENSGALG00010007339,LOC107055489,107055489,-0.0528397348224062,0.848888300670888,208.105460811065,-0.0565890166733537,-0.0528397348224062,0.188653166812646,-0.291335260798969,0.770794922235787
NA,LOC112532969,NA,0.961189630245678,0.00536198512259008,26.6358492860672,1.06503235375473,0.961189630245678,0.335995837600334,3.14891354059177,0.00163878672273672
ENSGALG00010007137,LOC112532872,112532872,0.298230465920192,0.301303458751733,122.211100721289,0.326862692782377,0.298230465920192,0.239345596063712,1.31095485272882,0.189873017089106
NA,CLC2DL3,425783,0.149700693159395,0.766218597911507,132.546289294927,0.200318614915885,0.149700693159395,0.396836825156429,0.436808286784827,0.662250388727327
ENSGALG00010007895,GOLGB1,426868,0.415778782417325,0.0189245966491974,1070.43199123115,0.430976847405359,0.415778782417325,0.157321587225512,2.70140762004787,0.00690466586120296
ENSGALG00010007408,HCLS1,426867,-2.55166504566334,8.60439792444834e-12,313.029923590428,-2.64168621624151,-2.55166504566334,0.369178918737653,-7.23825180417936,4.54505023309051e-13
ENSGALG00010007418,NME6,426866,-0.288271544850026,0.226466583333155,70.84925249066,-0.307594403113814,-0.288271544850026,0.199032826606564,-1.50579844032756,0.132118923846998
NA,RABL2L,NA,0.201847464436707,0.445319928218244,56.872219379266,0.217022780466458,0.201847464436707,0.209247152515184,1.00207324530275,0.316308218600062
ENSGALG00010007425,ARSA,426863,-0.155157010219818,0.594001959064791,201.384340177498,-0.169300980622286,-0.155157010219818,0.221649822107863,-0.733837339899902,0.463047880075746
ENSGALG00010007457,SHANK3,101748950,-0.663937599286857,0.146149472378895,123.578139053021,-0.856702287206746,-0.663937599286857,0.456204770234259,-1.7678536173235,0.0770853786136088
NA,LOC112532875,NA,-1.26267449009339,0.00430495393376369,19.5029427148928,-1.44500168760572,-1.26267449009339,0.450925827628953,-3.22147485321623,0.00127532653504858
NA,LOC112532876,NA,-0.332393608562147,0.534984810413981,26.9598922767738,-0.582232034137601,-0.332393608562147,0.546511733674299,-0.83846067437628,0.401772025239473
NA,LOC107050884,NA,0.818706880388578,0.111733701162254,75.7913436886929,1.11828097034754,0.818706880388578,0.558147367557134,1.91474306359292,0.0555252787661135
NA,LOC112532971,NA,0.591482091663598,0.244306315622636,41.7818004142315,0.857859301619458,0.591482091663598,0.529176565862127,1.4568184050452,0.145166514003554
NA,FLNC,395260,-0.515364943393537,0.327562892219018,12.3173047097708,-0.835113848858477,-0.515364943393537,0.567328919703474,-1.24863007888071,0.211800405568887
ENSGALG00010001307,LOC107050717,107050717,0.717757549164916,0.00506041535661187,1057.29718525008,0.766310116297824,0.717757549164916,0.238692715340855,3.16830483495026,0.00153330657257783
NA,LOC112529922,NA,-0.449429173634633,0.324915147370761,50.6947532999917,-0.598139286753963,-0.449429173634633,0.429575181341651,-1.25429358753633,0.209735313836292
NA,LOC112532889,NA,-0.0726322710868227,0.877194672031651,16.6053268090858,-0.0910741639470221,-0.0726322710868227,0.34272296908269,-0.238058259187427,0.811835908463847
NA,LOC112533143,NA,-0.0360710411916748,0.941166760694268,25.4814537353812,-0.0458784422431756,-0.0360710411916748,0.345724774170707,-0.11820555346717,0.905904789779589
ENSGALG00010000171,DPF2,374236,-0.0982885539048965,0.844820570852278,14.0999462018524,-0.131359128759498,-0.0982885539048965,0.385134150411384,-0.298450136034812,0.76535962849215
NA,LOC107050086,NA,0.33698805327402,0.126180673809477,478.944949126758,0.355895473655301,0.33698805327402,0.188167916753766,1.84840637922414,0.0645435765718178
NA,LOC107050254,NA,0.392684051284593,0.182904990691548,492.917778498932,0.432896051718215,0.392684051284593,0.2543869564698,1.6368081924591,0.101670553420786
NA,LOC112532888,NA,0.491129599243484,0.0708851368155216,231.371482837025,0.533457878827966,0.491129599243484,0.242336728388651,2.14020433500629,0.0323382569988058
ENSGALG00010006288,ARF5,396265,-0.914614335516878,0.0152070217681567,26.1186739178368,-1.04136453891932,-0.914614335516878,0.368539006150754,-2.78468186506097,0.005358026438432
ENSGALG00010006300,GCC1,430581,-0.0063073935157987,0.980763071035664,201.370605008381,-0.00674483854035076,-0.0063073935157987,0.150023333077198,-0.0441361675176224,0.9647958633528
ENSGALG00010006327,DENND6B,426252,0.483900788002431,0.0392760598393445,253.223089974375,0.514531478708097,0.483900788002431,0.209332933288231,2.40793221885025,0.0160431592915978
ENSGALG00010006347,PPP6R2,430580,-0.530833005510409,4.51016695838035e-5,388.695351442907,-0.541602981253145,-0.530833005510409,0.12051955780838,-4.46899043857074,7.85896432176186e-6
NA,LOC112532882,NA,0.171965422502643,0.546357969771642,51.2116188112757,0.186471749477071,0.171965422502643,0.219367874189503,0.817108621669068,0.413866356314293
ENSGALG00010006372,SBF1,417071,0.138583112496132,0.470278149600254,1376.76217473127,0.143534557076303,0.138583112496132,0.147504735468146,0.955975945619428,0.339084387405501
