"","baseMean","log2FC","log2FC_shrunken","lfcSE_shrunken","stat","pvalue","padj"
"ENSGALG00010000711",272.264501575455,1.07930267875858,1.02240270749296,0.222102033028523,4.89235733098068,9.96353372609769e-07,1.40583681672787e-05
"ENSGALG00010000715",64.7713759713051,1.93574642985188,1.72175422406817,0.497803679748059,4.05109603969331,5.09782765251549e-05,0.000416766530743416
"ENSGALG00010000717",2316.23822553597,-0.119681913928503,-0.108540828516762,0.177757851294139,-0.643340730983652,0.5200030324361,0.661277533061841
"ENSGALG00010000720",1849.23033020268,-0.0638337270414111,-0.0574898418303678,0.165817299524792,-0.369550388121839,0.711717522553353,0.812136039346569
"ENSGALG00010000724",406.196838679674,0.392563852668436,0.342431882318936,0.232988209389012,1.6023626937422,0.109075429427472,0.213622383348908
"ENSGALG00010000729",123.017805889857,2.71123408121591,2.35961914055901,0.731876398489255,3.96799698924144,7.24792493846467e-05,0.000564231319224419
"ENSGALG00010000757",14.0063788843001,1.95480128778685,0.714552920522718,0.935915824335328,1.94012618257369,NA,NA
"ENSGALG00010000777",6733.57046956129,-0.311530448589314,-0.300526625039863,0.112700214674376,-2.72943997374926,0.0063441997796019,0.0225957604500899
"ENSGALG00010000784",506.116147351313,0.812208353160204,0.779800742406018,0.165095051670366,4.91135693742808,9.04482675088673e-07,1.29941270131148e-05
"ENSGALG00010000785",397.410316941186,-0.280346105673701,-0.249754053274427,0.204114197799746,-1.3081009467259,0.190839072401869,0.326211991472876
"ENSGALG00010000788",560.572197804879,0.154362967152117,0.144196422514973,0.155476896951207,0.960773548195444,0.336666041439817,0.489001236477337
"ENSGALG00010000791",11.7837546261204,1.08485428055145,0.50472885536467,0.599736153796017,1.4670499791649,0.142362459917538,0.262484418863243
"ENSGALG00010000795",159.086532852619,0.587230598301868,0.494327012485485,0.285508477768814,1.96841486607676,0.0490203227883114,0.115381018919226
"ENSGALG00010000796",101.209673579403,0.169065073528017,0.111324845478628,0.352422320401455,0.389557341853209,0.696863901116134,0.801611604988955
"ENSGALG00010000800",3222.22941367906,-0.496798331309503,-0.463876298406705,0.174920883415551,-2.78895118107777,0.00528790353053642,0.0194744207627749
"ENSGALG00010000810",388.719843418393,0.345427645909989,0.301485469239901,0.227805729087362,1.43731556019733,0.150628349492751,0.273669786966423
"ENSGALG00010000812",446.923226971251,0.41253791493291,0.375079903683071,0.198728530901928,2.00950455938739,0.0444836516437371,0.106802665895773
"ENSGALG00010000816",1114.75379119962,-0.245373220303696,-0.217723157959343,0.205282889549306,-1.13424485598066,0.256691853153383,0.402430690018146
"ENSGALG00010000818",572.282416462766,-0.287000081555239,-0.26594618837556,0.167793331617387,-1.65743215556046,0.097432134816887,0.196142678536467
"ENSGALG00010000820",206.575891809174,1.2691546616444,1.12164504119173,0.365830269763853,3.54198827057832,0.000397123132452472,0.00231919322326179
"ENSGALG00010000823",227.666803205836,0.315516147259008,0.267437230731702,0.246009656865191,1.19674817169158,0.231404724919026,0.374344757720742
"ENSGALG00010000843",289.530737699421,0.21090421753095,0.195552101289885,0.164914230596983,1.23504778503925,0.216812720494088,0.358211335281555
"ENSGALG00010000859",150.946111048832,-0.909758582072738,-0.824135342812465,0.266109520612562,-3.41638501523841,0.000634584567589552,0.00339598371880044
"ENSGALG00010000864",176.562202257278,0.622435164784449,0.54275870039559,0.262312175211612,2.30274925357261,0.0212929552288662,0.0597465503341214
"ENSGALG00010000870",53.5929538426536,-0.36354590257309,-0.194063546171934,0.422024030033248,-0.646706282484008,0.517822056284747,0.659399029449464
"ENSGALG00010000901",159.286165086783,2.0334723787665,1.62795002677044,0.693103247127512,3.19569008386636,NA,NA
"ENSGALG00010001033",5.58326559949444,-3.01143664666324,-2.24902430885432,1.13029237760523,-3.03375187575909,0.00241532993070224,0.0103468308199749
"ENSGALG00010001057",58.2651911812108,0.274615575644325,0.196320094929544,0.328875496937569,0.718068963262746,0.472714765911326,0.619839980558968
"ENSGALG00010001058",15.2674403133112,-0.785423792532256,-0.430058297393965,0.495028665796062,-1.30628552369098,0.191455478171881,0.326947365631104
"ENSGALG00010001059",365.087270901295,-0.105343225644608,-0.0899291786824565,0.211220040037404,-0.466747042900941,0.640680868311799,0.758289377017028
"ENSGALG00010001065",39.2806023979095,-2.79174928937567,-2.4162497412805,0.758901136974719,-3.94518943324066,7.97369168562275e-05,0.00060991408377491
"ENSGALG00010001069",24.1682445919499,-2.32342359431679,-1.81327399475769,0.827587833505332,-3.12863370689103,0.00175621088003785,0.00794543387839625
"ENSGALG00010001075",11.9023127512303,0.48643971738865,0.151549706877467,0.508959838482744,0.545199769930926,0.585616129745812,0.715294102829259
"ENSGALG00010001194",204.12444187609,0.836042814272121,0.779575363671903,0.217068270951982,3.83739059372175,0.000124348604509366,0.000878951034237521
"ENSGALG00010001196",12.3145604559488,1.07608227943159,0.349506993702068,0.592136748579496,1.17462195225344,0.240145996752869,0.384112063429715
"ENSGALG00010001198",1327.03601112199,-0.739404034519827,-0.679864241595114,0.222160532464503,-3.30021233192916,0.00096611702822513,0.00486227624109609
"ENSGALG00010001200",855.290705436217,2.68535390656268,2.63150692649858,0.283425201398975,9.55513774163248,1.23419633000913e-21,3.04750071923973e-19
"ENSGALG00010001202",33.0333971786337,2.88505927040829,1.06733908911272,1.97132858914885,2.41470382911527,0.0157480089880506,0.0470179078099687
"ENSGALG00010001208",11.8699388794551,-0.20436537784462,-0.0907517259919794,0.442711912011584,-0.310477923550531,0.756197545032364,0.844194228742116
"ENSGALG00010001210",17.4000790269528,1.07517093105177,0.783589935037408,0.487098022185267,2.1815052422091,0.0291460671466013,0.0765235585841072
