"","baseMean","log2FC","log2FC_shrunken","lfcSE_shrunken","stat","pvalue","padj"
"ENSGALG00010000711",272.264501575455,-1.36069130398506,-1.3146993657903,0.222456040159312,-6.14218220589663,8.13954116833855e-10,1.51790838862922e-08
"ENSGALG00010000715",64.7713759713051,-0.760572995160359,-0.582971040475949,0.432654803026367,-1.63207716727164,0.102663231050717,0.209151352364893
"ENSGALG00010000717",2316.23822553597,1.02167759139398,0.989811972607557,0.185485309003592,5.50332892273509,3.72686164931379e-08,5.10803075837865e-07
"ENSGALG00010000720",1849.23033020268,0.36571256491203,0.344047382000025,0.169025054726851,2.11968814688432,0.034032353254017,0.0877060141019619
"ENSGALG00010000724",406.196838679674,-0.131985326305472,-0.118579946419087,0.232399949683743,-0.540151920205635,0.5890922670858,0.725373144134908
"ENSGALG00010000729",123.017805889857,-1.02855653208532,-0.634285133509768,0.599934071675145,-1.52328997361678,0.12768617448359,0.246617528154995
"ENSGALG00010000757",14.0063788843001,0.286904813884915,0.110492141042271,0.59191830341929,0.299337835174118,NA,NA
"ENSGALG00010000777",6733.57046956129,0.291201696489478,0.287087666496541,0.113085689338502,2.55157564642596,0.0107237041866951,0.0344584581663974
"ENSGALG00010000784",506.116147351313,-0.750022451829228,-0.725912016863671,0.16394558243719,-4.54492586329408,5.49545929509418e-06,4.71725927432772e-05
"ENSGALG00010000785",397.410316941186,0.74847142144284,0.708600993368559,0.211006988845139,3.50946132730489,0.00044901535084954,0.00229711543848342
"ENSGALG00010000788",560.572197804879,-0.940618456995302,-0.913033828834175,0.162073603194545,-5.79320636646357,6.90551682793673e-09,1.07621185830261e-07
"ENSGALG00010000791",11.7837546261204,-0.903040506422466,-0.500814384873843,0.599767983074022,-1.23256554852954,0.217737897046836,0.365083499950255
"ENSGALG00010000795",159.086532852619,-1.29760977211128,-1.21038040539878,0.303458446730316,-4.30289575197963,1.68580182259705e-05,0.000126800219907193
"ENSGALG00010000796",101.209673579403,-0.987774254444158,-0.810037739235725,0.426785344828143,-2.25681690529841,0.0240195179522711,0.0663486177590876
"ENSGALG00010000800",3222.22941367906,0.57579414206197,0.551244069721272,0.175844023615565,3.23318607514134,0.00122417797750235,0.00547881183190871
"ENSGALG00010000810",388.719843418393,0.362412415098732,0.331821847701893,0.230029497668751,1.51779702944579,0.129065574201432,0.248507303963403
"ENSGALG00010000812",446.923226971251,0.0756194383172405,0.0706584733209241,0.19681448867266,0.37044468233235,0.711051186354587,0.817395933509968
"ENSGALG00010000816",1114.75379119962,0.327986354666928,0.3044819222649,0.209363386287544,1.5168801218759,0.129296953231203,0.248786040656606
"ENSGALG00010000818",572.282416462766,0.769886494678527,0.743406442532414,0.171217237353984,4.46985159904119,7.82738876645777e-06,6.48303064341364e-05
"ENSGALG00010000820",206.575891809174,-0.567365310278246,-0.475222168598452,0.335215563392725,-1.59460630507489,0.110800301774828,0.221598642339752
"ENSGALG00010000823",227.666803205836,0.139376062675218,0.124612128763147,0.247509132506079,0.531946900620433,0.594762772627856,0.728889964779993
"ENSGALG00010000843",289.530737699421,0.279047340780079,0.266387531813417,0.165198377958463,1.65402206450647,0.0981230296601358,0.201879734112632
"ENSGALG00010000859",150.946111048832,1.65746842930886,1.5972422403606,0.265182686244773,6.29701836862931,3.03425336542963e-10,6.06722565452615e-09
"ENSGALG00010000864",176.562202257278,0.606426686972445,0.551856494124075,0.257660325272038,2.2895249108409,0.0220488722307518,0.0621212921844485
"ENSGALG00010000870",53.5929538426536,0.782382536260604,0.540177996449763,0.498940921216876,1.39833615235283,0.162012146376343,0.293744601788132
"ENSGALG00010000901",159.286165086783,0.999569771402296,0.662561597303637,0.56962467758867,1.5969196031847,NA,NA
"ENSGALG00010001033",5.58326559949444,0.857080544414904,0.296022444527637,0.653578519033978,0.808874204190134,0.418587508111328,0.575863009548474
"ENSGALG00010001057",58.2651911812108,0.831742226411858,0.709010446293288,0.361767840480207,2.23210735956876,0.0256078681445246,0.0699172668085561
"ENSGALG00010001058",15.2674403133112,0.909540260295609,0.611712387489352,0.538685684783908,1.52080894442557,0.128307789189368,0.247425014345282
"ENSGALG00010001059",365.087270901295,1.28502412766339,1.23885201279314,0.223737034783837,5.7608476832913,8.36925409653434e-09,1.28531897461159e-07
"ENSGALG00010001065",39.2806023979095,0.871720106716986,0.485014993987545,0.589795508461961,1.21188930591155,0.225554756295288,0.374330622424976
"ENSGALG00010001069",24.1682445919499,2.37920108935612,1.93848465764605,0.796818368425952,3.20770081826383,0.00133800610308101,0.00590958928088015
"ENSGALG00010001075",11.9023127512303,-0.478401193526077,-0.197975704086117,0.587986364016032,-0.537074417914238,0.591216210831408,0.726907803380321
"ENSGALG00010001194",204.12444187609,0.504480346632867,0.473159593588769,0.206459773958425,2.38875939395372,0.016905369680851,0.0502455439282467
"ENSGALG00010001196",12.3145604559488,-4.45854973971418,-3.87957013017993,1.16182833877477,-3.99156605199607,6.56384005511385e-05,0.000428984137266188
"ENSGALG00010001198",1327.03601112199,0.662155844261618,0.621710481424121,0.220542752575898,2.95537441581829,0.00312289806794334,0.0121914916422205
"ENSGALG00010001200",855.290705436217,-3.27948209248534,-3.23327440386629,0.283953644762559,-11.6149967740269,3.45801438897021e-31,7.1903949195916e-29
"ENSGALG00010001202",33.0333971786337,0.515345896880233,0.156014711181126,0.638987549213285,0.446022077822537,0.655581298151188,0.775808840398624
"ENSGALG00010001208",11.8699388794551,-0.289415949629186,-0.159923560617334,0.504569978136464,-0.433172909389847,0.664889158250565,0.783367019737105
"ENSGALG00010001210",17.4000790269528,0.649917015461102,0.504020996860211,0.408194966594808,1.46451221366802,0.143054048393938,0.268139381659282
"ENSGALG00010001214",207.973887274589,-1.2094681579887,-1.11166270014504,0.319359291048133,-3.79722033617871,0.0001463277164191,0.000868676522378301
"ENSGALG00010001219",164.71120990383,1.97117133576707,1.85610431196172,0.382551358084312,5.24506892755458,1.5622391167199e-07,1.92274647675425e-06
"ENSGALG00010001220",1587.45902705206,-0.489719481260272,-0.457765234142339,0.202556435659732,-2.36503456678441,0.018028388148739,0.0528968841282068
"ENSGALG00010001222",86.0767093565559,0.274064785031428,0.243619644425495,0.25718271654319,1.00900325399414,0.312973073618364,0.469608192403247
"ENSGALG00010001223",8.22277434730053,-1.31327489597009,-0.48271721681769,0.739987954048713,-1.24538933691756,0.212988670959782,0.359101671522185
"ENSGALG00010001224",634.415390752577,0.735335195920346,0.691895760811327,0.220967038776314,3.28693703236397,0.0010128347827981,0.00465420996585007
