"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00010000711",272.264501575455,-1.36069130398506,0.221532227207256,44.6205086898706,2.04540657723024e-10,3.46076661027511e-09
"ENSGALG00010000715",64.7713759713051,-0.760572995160359,0.466015339477983,15.7030187356603,0.000389164132911606,0.00149345081301223
"ENSGALG00010000717",2316.23822553597,1.02167759139398,0.185647197494097,38.2457412399442,4.95499033375762e-09,6.76197860486802e-08
"ENSGALG00010000720",1849.23033020268,0.36571256491203,0.17253130629125,5.2378290966175,0.0728819297219034,0.119402149636662
"ENSGALG00010000724",406.196838679674,-0.131985326305472,0.244348527457285,2.61965489658357,0.269866618313381,0.349422545612976
"ENSGALG00010000729",123.017805889857,-1.02855653208532,0.67522044384182,14.1742802156196,0.000835784203646848,0.00286319049864105
"ENSGALG00010000757",14.0063788843001,0.286904813884915,0.958464918803294,5.00234925622372,NA,NA
"ENSGALG00010000777",6733.57046956129,0.291201696489478,0.114126225063078,9.1061702831575,0.0105346533004061,0.0239159784666452
"ENSGALG00010000784",506.116147351313,-0.750022451829228,0.165024133371809,31.4641905368625,1.47108523354454e-07,1.44754420583464e-06
"ENSGALG00010000785",397.410316941186,0.74847142144284,0.213272451706323,12.7966757933748,0.00166432124939244,0.00511598301967492
"ENSGALG00010000788",560.572197804879,-0.940618456995302,0.162365777687546,36.1692644383749,1.39940692905564e-08,1.73042470264995e-07
"ENSGALG00010000791",11.7837546261204,-0.903040506422466,0.732651101192794,2.63842324043723,0.26734598907663,0.346698681233442
"ENSGALG00010000795",159.086532852619,-1.29760977211128,0.301566630219728,18.1337356871932,0.000115427510056414,0.00052507223414551
"ENSGALG00010000796",101.209673579403,-0.987774254444158,0.437684710764584,5.4318664088191,0.0661431990719967,0.11034980333354
"ENSGALG00010000800",3222.22941367906,0.57579414206197,0.178088773327653,11.772901395133,0.00277681498323729,0.00788960934557692
"ENSGALG00010000810",388.719843418393,0.362412415098732,0.238775282905293,8.71342317207854,0.0128204774442837,0.0282175494501415
"ENSGALG00010000812",446.923226971251,0.0756194383172405,0.204131526038204,6.34527922118414,0.0418928709638071,0.0755572974025386
"ENSGALG00010000816",1114.75379119962,0.327986354666928,0.216224307996939,2.44537032146502,0.294438489838521,0.375273123229143
"ENSGALG00010000818",572.282416462766,0.769886494678527,0.172239833385894,20.7785200945324,3.07610878792622e-05,0.000167108103044338
"ENSGALG00010000820",206.575891809174,-0.567365310278246,0.355802751107021,12.2408638244655,0.00219750662804833,0.00648016369528789
"ENSGALG00010000823",227.666803205836,0.139376062675218,0.262011231783958,3.07474765757848,0.214944842820385,0.289728194395304
"ENSGALG00010000843",289.530737699421,0.279047340780079,0.168708354482164,8.45266630683189,0.0146058498856824,0.0314935524278128
"ENSGALG00010000859",150.946111048832,1.65746842930886,0.26321479981162,38.8208783717153,3.71666459221257e-09,5.16869498933533e-08
"ENSGALG00010000864",176.562202257278,0.606426686972445,0.264870097766142,20.8578116879904,2.95653986777328e-05,0.000161612589174753
"ENSGALG00010000870",53.5929538426536,0.782382536260604,0.559509625024123,1.9658783267636,0.374209617722318,0.455043835613329
"ENSGALG00010000901",159.286165086783,0.999569771402296,0.625936189529439,19.9620619844781,NA,NA
"ENSGALG00010001033",5.58326559949444,0.857080544414904,1.05959683220834,11.7836898296629,0.00276187656666796,0.00786271579590232
"ENSGALG00010001057",58.2651911812108,0.831742226411858,0.372626443278494,9.85692066861128,0.00723763825043422,0.0174168413692115
"ENSGALG00010001058",15.2674403133112,0.909540260295609,0.598063460653273,2.55474579059319,0.278768693855808,0.358646154256878
"ENSGALG00010001059",365.087270901295,1.28502412766339,0.22306163924286,43.880311605135,2.96149772153561e-10,4.90058099407615e-09
"ENSGALG00010001065",39.2806023979095,0.871720106716986,0.719306707687551,17.1470475161553,0.000189045324766182,0.00080438429382875
"ENSGALG00010001069",24.1682445919499,2.37920108935612,0.741715398084994,11.0453499339799,0.00399514675012725,0.0106900277839927
"ENSGALG00010001075",11.9023127512303,-0.478401193526077,0.890754013911103,0.403784087337812,0.817183143274429,0.851506344004075
"ENSGALG00010001194",204.12444187609,0.504480346632867,0.211189267495829,37.8253870410058,6.11394554269079e-09,8.17416932412374e-08
"ENSGALG00010001196",12.3145604559488,-4.45854973971418,1.11699259930437,15.558818281166,0.000418259234022296,0.00159002902940927
"ENSGALG00010001198",1327.03601112199,0.662155844261618,0.22405142330444,12.4155271910614,0.00201373596006792,0.00602253394719025
"ENSGALG00010001200",855.290705436217,-3.27948209248534,0.282348945616483,161.678106386239,7.79911413387911e-36,1.86741516148017e-33
"ENSGALG00010001202",33.0333971786337,0.515345896880233,1.15542687796113,7.11857921864815,0.0284590345676915,0.0549130797647411
"ENSGALG00010001208",11.8699388794551,-0.289415949629186,0.668130308603202,0.554246504676101,0.757961070878989,0.801851573376668
"ENSGALG00010001210",17.4000790269528,0.649917015461102,0.44377712209946,12.9067962317141,0.00157516048626074,0.00489042459025116
"ENSGALG00010001214",207.973887274589,-1.2094681579887,0.318514084227683,14.1006285585183,0.00086713639149565,0.00295522027060724
"ENSGALG00010001219",164.71120990383,1.97117133576707,0.375814191003604,25.9176296490691,2.35536506733202e-06,1.74259523216517e-05
"ENSGALG00010001220",1587.45902705206,-0.489719481260272,0.207066521622182,7.59823108460634,0.0223905666100386,0.0449090143594924
"ENSGALG00010001222",86.0767093565559,0.274064785031428,0.271619327238582,25.2688437700937,3.25791908120399e-06,2.29433579502079e-05
"ENSGALG00010001223",8.22277434730053,-1.31327489597009,1.05450950722009,3.18434158315598,0.203483411869245,0.276972296104193
"ENSGALG00010001224",634.415390752577,0.735335195920346,0.223714415177431,25.7018256189331,2.62373204402168e-06,1.90458601247931e-05
"ENSGALG00010001228",246.734736630817,0.0620623226055024,0.193495747641532,0.352788716166216,0.838287332758354,0.868514700031487
"ENSGALG00010001232",197.29987882632,-0.151012325207371,0.228681206765462,14.9705078553293,0.000561300622118036,0.00203285291151012
"ENSGALG00010001234",224.589475359708,-1.49466805577182,0.411911342886135,14.5804200279441,0.000682184769378063,0.00240396159346331
"ENSGALG00010001248",170.121942609676,-1.79619256420987,1.03741998815728,12.4683288246138,0.00196126734068451,0.0058845467599843
"ENSGALG00010001251",95.864972406458,0.243734369995939,0.266945865279592,4.53776139565554,0.103427882371517,0.159522821112345
"ENSGALG00010001264",1133.21309438485,-0.0335240995399525,0.337490411866164,9.26101688867661,0.00974980061097105,0.0224306447889322
"ENSGALG00010001281",18.8414293363574,-1.46580301565884,1.465828124143,3.80256958438773,0.149376578021146,0.215029883627999
"ENSGALG00010001298",646.224968955377,0.392460297278171,0.212313393942988,3.41526789565785,0.181294237179634,0.251978261226892
"ENSGALG00010001320",1055.96410656594,0.264695965762603,0.218819479771684,2.0170914107311,0.364749046622691,0.445967441684981
