"","C14S1_experimental_1","C16F_controlF_3","C17F_controlF_4","C18S2_experimental_2","C1P_controlP_1","C20S1_experimental_3","C20S3_experimental_4","C2F_controlF_1","C2P_controlP_2","C3F_controlF_2","C4P_controlP_3","C9P_controlP_4"
"ENSGALG00010000711",130.065662479938,421.859258891721,389.936094435355,174.238731257683,292.590014273099,191.040009279029,187.478837597662,402.487606709769,182.920084027395,537.643887466595,173.284773134644,183.629059352565
"ENSGALG00010000715",84.5426806119595,128.989547831554,170.035026504306,88.941946499738,29.3926041735533,32.563637945289,41.2689265152087,52.0068255860937,20.2307927034907,69.0359855501853,40.5739956607948,19.6745420734891
"ENSGALG00010000717",3504.34056338803,1705.41098895325,2017.5309875607,2847.60035268833,1466.9581537528,3258.53470372525,4099.77307123944,1725.26990966041,1722.14622888464,1302.26972742395,1990.66166210774,2154.36235704706
"ENSGALG00010000720",1843.21624542997,1684.26516143988,1832.78139145506,2211.88414491971,1310.64294064799,2252.31829121582,2270.97007052263,1423.40420462809,1635.32241019883,1715.439640944,1789.4822669563,2221.03719407388
"ENSGALG00010000724",464.520223142634,549.791515347607,554.248788316919,398.780694552104,289.91795934823,426.583657083286,373.778563009176,283.776374393685,266.372103929294,434.089909141317,385.45295877755,447.04931711428
"ENSGALG00010000729",338.170722447838,322.473869578885,235.433113621346,40.0967791597179,37.4087689481588,20.6236373653497,41.2689265152087,205.766136014545,25.2884908793633,134.93397175718,32.1210798981292,42.6281744925597
"ENSGALG00010000757",70.6070739176804,22.203118889038,22.0718544020012,4.37419409015105,2.67205492486848,5.4272729908815,2.35822437229764,7.91408215440557,1.68589939195756,15.6899967159512,7.60762418639902,5.46515057596919
"ENSGALG00010000777",6046.19522442453,6035.01917231565,6278.2163632359,8086.42680799257,7425.64063620951,7249.75126121951,7154.85274555103,5135.1087350443,7134.72622676438,5872.24277089001,7181.59723196067,7203.0684591274
"ENSGALG00010000784",504.468962332901,641.775865030764,887.779032613826,411.903276822557,388.783991568364,384.25092775441,367.883002078432,601.470243734823,418.945998901453,674.669858785902,383.762375625017,407.700232967302
"ENSGALG00010000785",686.560889804814,257.979095663108,348.244813898241,464.393605904369,284.573849498493,449.378203644988,457.495528225742,324.477368330628,325.378582647808,293.925938478819,440.396911234876,436.119015962342
"ENSGALG00010000788",359.538652712399,747.505002597611,685.862438639963,392.948435765236,778.904010599163,371.225472576295,323.076739004776,630.865406022615,659.186662255405,715.463850247375,574.798271861259,487.491431376452
"ENSGALG00010000791",3.71616178514107,25.3749930160434,19.6194261351122,10.9354852253776,6.68013731217121,18.4527281689971,4.71644874459528,6.78349898949049,18.5448933115331,18.8279960591415,3.38116630506623,4.37212046077536
"ENSGALG00010000795",54.8133863308309,169.166620106956,236.250589710309,86.0258171063039,118.906444156647,115.058187406688,120.26944298718,226.116632983016,219.166920954482,289.741939354566,144.544859541581,128.977553592873
"ENSGALG00010000796",23.2260111571317,98.3280979371681,128.343745967192,74.3612995325678,82.833702670923,87.9218224522803,70.7467311689291,178.632140056583,203.993826426864,102.507978544215,79.4574081690564,84.1633188699256
"ENSGALG00010000800",3799.77542530675,2320.7545695923,2462.23797995658,3406.03913153095,3342.74071101047,3701.40017978118,3863.95063400968,2803.8462489894,2651.91974354924,2323.16551374184,3196.89274144012,4794.03008524018
"ENSGALG00010000810",474.739668051772,549.791515347607,358.87200305476,505.219417412446,281.901794573625,494.967296768393,476.361323204123,241.944797291827,252.041959097655,367.145923153258,274.719762286631,386.932660778619
"ENSGALG00010000812",451.513656894641,464.15091391846,527.27207738114,594.890396260542,325.990700833955,496.052751366569,471.644874459528,371.961861257062,265.529154233315,548.103885277229,387.98883350635,457.979618266218
"ENSGALG00010000816",1087.90636260005,1362.84858323666,1078.25096134221,1277.99370667246,1234.48937528924,1238.50369651916,1275.79938541302,757.490720493105,1094.14870538045,688.267855939726,983.919394774273,1297.42674673509
"ENSGALG00010000818",700.496496499093,421.859258891721,501.112842534324,711.535571997904,404.816321117575,756.561854928882,817.124745001132,475.975512429249,521.785861810864,350.409926656244,618.75343382712,586.957171859091
"ENSGALG00010000820",229.472990232461,307.671790319526,386.666190079503,254.432289577119,165.667405341846,130.254551781156,185.120613225365,241.944797291827,66.5930259823235,248.947947893093,75.2309502877236,186.908149698146
"ENSGALG00010000823",260.131324959875,273.838466298135,277.12439415846,263.90971010578,132.26671878099,225.77455642067,286.524261234163,195.590887530309,134.029001660626,193.509959496732,213.858768795439,275.443589028847
"ENSGALG00010000843",303.796225935283,256.921804287439,322.085579051425,311.296812749083,223.116586226518,398.361837530702,358.450104589241,239.683630961997,214.952172474588,308.569935413707,259.504513913833,277.629649259235
