"","baseMean","log2FC","log2FC_shrunken","lfcSE_shrunken","pvalue","padj"
"ENSGALG00010000711",273.996249699858,0.160783559204477,0.00434242965585809,0.0737633136675563,0.721206004710091,0.956613852882021
"ENSGALG00010000715",64.2341531251069,1.42194095795868,0.0173133858103679,0.0771924352534835,0.0367210339131614,0.633247967864538
"ENSGALG00010000717",2262.6224485106,0.0699717697598556,0.00568937279002192,0.0717770908978152,0.780558311774447,0.9680265456953
"ENSGALG00010000720",1897.17537551917,-0.0352620470484247,-0.00335237527571954,0.0703592918667615,0.865924109201099,0.979130331783722
"ENSGALG00010000724",413.597472229985,0.230167883785889,0.0128979415840878,0.0740013540263041,0.4538210151317,0.898208262534253
"ENSGALG00010000729",93.4244806314795,1.65377360458564,0.0165359676251286,0.0770231388528432,0.0264265556922804,0.603574717013536
"ENSGALG00010000734",3.74962483839749,0.210963879343323,0.000822241409233176,0.0744597121630443,0.861654205643735,NA
"ENSGALG00010000757",8.97526931893946,0.947224061477397,0.00664590672773206,0.0747778894333436,0.291529250213935,0.847957979009921
"ENSGALG00010000762",0.789650837541384,-2.25028793485648,-0.00115105827050377,0.0746034272536062,0.513290146679237,NA
"ENSGALG00010000777",6978.2414543853,-0.0942821513543433,-0.0172845245907936,0.0696971744096632,0.549191361526882,0.923665445711119
"ENSGALG00010000784",497.835058322762,0.48645474935933,0.0262369931751666,0.0792510602904089,0.134005397450749,0.785648561906815
"ENSGALG00010000785",376.743753336325,-0.229289895463654,-0.0195138593975463,0.0748486252330046,0.35048117549948,0.867759201574527
"ENSGALG00010000788",574.709417095984,0.127252000241416,0.0136498274474957,0.072135511464548,0.559269846882883,0.925714502754532
"ENSGALG00010000791",13.1171740894707,1.35140429313932,0.0152272680185301,0.0765140158659435,0.0569971236581944,0.689596771971823
"ENSGALG00010000795",163.128078717913,0.287458099403962,0.0119217997814981,0.0743977450634993,0.429403979366194,0.889183833192157
"ENSGALG00010000796",101.461416076693,0.72116161766787,0.0484857656295594,0.0965228279831209,0.019310184104928,0.553754653486157
"ENSGALG00010000800",3214.0863267364,-0.462437031983629,-0.038975725742197,0.086294437030531,0.0730042425101082,0.709942892990731
"ENSGALG00010000804",1.38765686708243,-0.798216979798699,-0.00111822355675507,0.0745564094440244,0.679435868438422,NA
"ENSGALG00010000810",395.803070690989,0.238252641078181,0.0143065997353236,0.0742166469487402,0.423616457064988,0.886232464428633
"ENSGALG00010000812",455.112012355599,-0.0380647081148908,-0.00212926560265759,0.072483119116122,0.90008073079207,0.984434794711483
"ENSGALG00010000816",1155.86604490433,0.165303805858767,0.0131531396497076,0.0731158789672783,0.517501379808792,0.916065519409562
"ENSGALG00010000818",570.56520761922,-0.0268724982330615,-0.00197734825511279,0.0716633566720612,0.916526892724771,0.98711856748217
"ENSGALG00010000820",201.247298196176,0.585748219572021,0.0100409277263837,0.074951199493894,0.306198068628378,0.851376881715922
"ENSGALG00010000823",228.22271944492,0.161607042470692,0.00721560127803613,0.0734122269936033,0.642658996793596,0.942956416787153
"ENSGALG00010000843",293.808555258057,-0.0144779071467472,-0.001311024755939,0.0709717672120146,0.949790261999937,0.993639056695347
"ENSGALG00010000859",159.190648293988,-0.35407273915548,-0.0132749821917812,0.0749118474632,0.346628293775998,0.865483539722221
"ENSGALG00010000864",176.786887399075,0.53121228784049,0.0237332565218977,0.0784183398780877,0.135876092622319,0.785648561906815
"ENSGALG00010000870",46.1786281897011,0.305035966901304,0.00737613520370507,0.0742184360435531,0.523422636647701,0.916612419473563
"ENSGALG00010000876",0.592869873955177,3.02690685381841,0.00231617118633617,0.0746367675265065,0.274032189853791,NA
"ENSGALG00010000901",100.354173315004,1.23234113889694,0.0145321286735156,0.076294529648122,0.0747482324130752,0.709942892990731
"ENSGALG00010000902",0.105926408604821,0.717346629649666,0.000913049819258036,0.0745960719379425,0.850925405037891,NA
"ENSGALG00010000903",0.59762215449351,3.34576401912413,0.001445552060582,0.074612074786961,0.362444667488345,NA
"ENSGALG00010000912",0.266900405604118,-1.87440061277496,-0.000920938451963212,0.0745996139007674,0.621665072950116,NA
"ENSGALG00010000913",0.105926408604821,0.717346629649666,0.000913049819258036,0.0745960719379425,0.850925405037891,NA
"ENSGALG00010000916",0.190229195695391,1.67995193569479,0.0011454621856799,0.0746013337802225,0.655506540141658,NA
"ENSGALG00010000923",0.133450202802059,-0.965764054439322,-0.000749727456049758,0.0745954962794545,0.800252182639504,NA
"ENSGALG00010000931",0.39847831598247,-1.28757677734615,-0.000484227807337361,0.0745865408019804,0.732948791104199,NA
"ENSGALG00010000932",0.29330939086463,-0.24445149091876,-7.96146050190936e-05,0.0745944191217063,0.948935269927577,NA
"ENSGALG00010000936",0.105926408604821,0.717346629649666,0.000913049819258036,0.0745960719379425,0.850925405037891,NA
"ENSGALG00010000939",0.118353887175629,-0.244442056927756,-7.36849189413149e-05,0.0745944886824936,0.948937237949909,NA
"ENSGALG00010000941",5.19782781610908,-1.30881930289285,-0.006210670014321,0.074819070764384,0.2140157067198,0.827735782174162
"ENSGALG00010000943",0.169461310480508,-1.56434636934978,-0.00084771976359204,0.0745975633482368,0.681549331438481,NA
"ENSGALG00010000944",0.218180858042313,-1.63650496134686,-0.000886330215642142,0.0745986192738442,0.667598186135888,NA
"ENSGALG00010000947",0.769423624721721,-2.05993422966428,-0.00130326573215082,0.0745950192411132,0.463897744977656,NA
"ENSGALG00010000953",0.938210248256289,3.37699666113355,0.00377742253270941,0.0747144431565423,0.125464567440285,NA
"ENSGALG00010000954",0.105926408604821,0.717346629649666,0.000913049819258036,0.0745960719379425,0.850925405037891,NA
"ENSGALG00010000963",5.91309504797781,-0.384831816361869,-0.0029096514593212,0.0743964551979432,0.650265555130106,0.944582196459016
"ENSGALG00010000970",0.39168463765407,0.809516348598619,0.000399061316809396,0.0745832433265712,0.830425474059366,NA
"ENSGALG00010000982",1.414963943815,1.6142605396485,0.00230458641985453,0.0745991901289138,0.420006273552091,NA
"ENSGALG00010000983",0.109671929868079,-0.965764054439322,-0.000720596582495663,0.0745949183602783,0.800252182639504,NA
"ENSGALG00010000992",0.0819492909814482,0.717346629649666,0.000853046327746739,0.0745949336592404,0.850925405037891,NA
"ENSGALG00010001002",0.1047251762973,-0.965764054439322,-0.000712157028684905,0.0745947674704677,0.800252182639504,NA
"ENSGALG00010001004",0.105926408604821,0.717346629649666,0.000913049819258036,0.0745960719379425,0.850925405037891,NA
"ENSGALG00010001014",1.99250839815301,0.81264053314688,0.00136114397853683,0.0745505123811088,0.654128922264038,NA
"ENSGALG00010001026",0.945453551605792,2.60676081092502,0.00156325736388582,0.074611778445819,0.428216457682382,NA
"ENSGALG00010001027",1.25847615147413,-2.9591984380574,-0.0037536575969994,0.0746994314862821,0.13624690518046,NA
"ENSGALG00010001033",6.22462928106023,-0.447534727306371,-0.00141296939252923,0.0744973527828859,0.729335709561613,0.958943491516697
