"","baseMean","log2FC","log2FC_shrunken","lfcSE_shrunken","pvalue","padj"
"ENSGALG00010000711",273.996249699858,-0.844216816683231,-0.478091946523421,0.444528581529012,0.0805148243280069,0.267100753342523
"ENSGALG00010000715",64.2341531251069,-0.961950926838091,-0.296077887674791,0.472495639337314,0.18442443007508,0.440475396375015
"ENSGALG00010000717",2262.6224485106,0.909635861381511,0.797666818163716,0.27283247332133,0.000691551729555049,0.0102389577051681
"ENSGALG00010000720",1897.17537551917,0.390087229697483,0.324998699314361,0.211204975365176,0.0802820567216323,0.266556617364185
"ENSGALG00010000724",413.597472229985,-0.188676737441979,-0.121822122405774,0.268321114240891,0.565508719039785,0.790541907068691
"ENSGALG00010000729",93.4244806314795,-2.5101364742765,-1.87988385367091,0.960589800042924,0.00175654666032869,0.0203679941425206
"ENSGALG00010000734",3.74962483839749,-2.14332343565351,-0.197302765205177,0.48357741723698,0.138232182740479,0.372076602235075
"ENSGALG00010000757",8.97526931893946,-1.90163356722919,-0.392593454393078,0.635720265449584,0.0575771494178461,0.21570390370899
"ENSGALG00010000762",0.789650837541384,3.27662770215283,0.0438921198963398,0.44206860369047,0.362779561022179,NA
"ENSGALG00010000777",6978.2414543853,0.21373491260677,0.189421824716201,0.159577669132959,0.203914864342332,0.466565348005535
"ENSGALG00010000784",497.835058322762,-0.739514173164825,-0.54505718516441,0.34023714846356,0.0332868407214803,0.151152438794674
"ENSGALG00010000785",376.743753336325,0.560431022573499,0.456182057019689,0.25297328451821,0.0321113317919526,0.147544500519417
"ENSGALG00010000788",574.709417095984,-0.939164115890082,-0.854268079193801,0.238260362213282,6.2555987637412e-05,0.00177561197482869
"ENSGALG00010000791",13.1171740894707,-0.887795759926229,-0.254664398770571,0.451051879835025,0.233469226577236,0.503639272284698
"ENSGALG00010000795",163.128078717913,-0.959370673089295,-0.715357681738532,0.402588125911156,0.0143397049962841,0.0868035912398182
"ENSGALG00010000796",101.461416076693,-0.885384762343,-0.710054288313026,0.336567150100821,0.00745938306030154,0.0555725872652753
"ENSGALG00010000800",3214.0863267364,0.564991873442179,0.454822443909854,0.266379779063787,0.0404231313566641,0.17125960871946
"ENSGALG00010000804",1.38765686708243,-2.9676536140657,-0.104353444949461,0.45344860536018,0.198529001789634,NA
"ENSGALG00010000810",395.803070690989,0.352497455521668,0.243610420805295,0.27499394077487,0.266265351495286,0.542301337601945
"ENSGALG00010000812",455.112012355599,0.318545110778716,0.215394799945555,0.275471185620816,0.324791358234882,0.600288667205299
"ENSGALG00010000816",1155.86604490433,0.105307011572189,0.0768546204952702,0.233242527279619,0.699471283371454,0.864443733271713
"ENSGALG00010000818",570.56520761922,0.664407163296908,0.545997068042448,0.269421632792974,0.0149540374839142,0.0895290158947638
"ENSGALG00010000820",201.247298196176,-0.412419209048783,-0.144185166280113,0.376264151670952,0.500070937456581,0.745083038214354
"ENSGALG00010000823",228.22271944492,0.184550518259076,0.109836187038292,0.289071125393822,0.619056773125036,0.820727314652866
"ENSGALG00010000843",293.808555258057,0.42937188471417,0.348286254628207,0.230528471076724,0.0786677530648387,0.2632529954712
"ENSGALG00010000859",159.190648293988,1.42550711263451,1.22057752062328,0.419909585862333,0.000340883614120224,0.00613731366413974
"ENSGALG00010000864",176.786887399075,0.597376816385918,0.392357614305588,0.340707535108468,0.112586560323517,0.329000431475226
"ENSGALG00010000870",46.1786281897011,-0.423679071599294,-0.188217021840243,0.359157269675479,0.407849260384159,0.675408296272817
"ENSGALG00010000876",0.592869873955177,-2.18680259129664,-0.0404088451311166,0.43884790822713,0.463393113847277,NA
"ENSGALG00010000901",100.354173315004,-0.197475623270999,-0.0495464838757318,0.380058682261896,0.788271924092333,0.909259586543198
"ENSGALG00010000902",0.105926408604821,-0.839056216121337,-0.0250801082622466,0.439636496431707,0.837081458847784,NA
"ENSGALG00010000903",0.59762215449351,-3.46742922644128,-0.0364833250349172,0.441494832048093,0.379658256087085,NA
"ENSGALG00010000912",0.266900405604118,0.12269487896977,-0.00271439429169178,0.439512149168191,0.976012092104028,NA
"ENSGALG00010000913",0.105926408604821,-0.839056216121337,-0.0250801082622466,0.439636496431707,0.837081458847784,NA
"ENSGALG00010000916",0.190229195695391,-1.80164386932892,-0.0303136932712093,0.44029406825135,0.655035288029639,NA
"ENSGALG00010000923",0.133450202802059,0.122702443803124,-0.0025414029853684,0.439522379619382,0.976010613559557,NA
"ENSGALG00010000931",0.39847831598247,-0.83907290784932,-0.0243485424875712,0.439562857798537,0.83707826325875,NA
"ENSGALG00010000932",0.29330939086463,2.59538078050608,0.0361798513723277,0.441064790157894,0.515833819538218,NA
"ENSGALG00010000936",0.105926408604821,-0.839056216121337,-0.0250801082622466,0.439636496431707,0.837081458847784,NA
"ENSGALG00010000939",0.118353887175629,1.08448912862257,0.0276924733746868,0.439802791380844,0.790411371343514,NA
"ENSGALG00010000941",5.19782781610908,0.695162165421352,0.0926463549937894,0.422199382898076,0.541209692460123,0.774914779559444
