"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSGALG00010000711",273.996249699858,-0.314114706108238,0.373835018194932,0.131058859430936,0.38736281233035
"ENSGALG00010000715",64.2341531251069,0.103952234381748,0.33332361423665,0.502320243623916,0.752440763286516
"ENSGALG00010000717",2262.6224485106,0.873423023484616,0.257551730705363,9.43378525662589e-05,0.00300588598915302
"ENSGALG00010000720",1897.17537551917,0.281977560566599,0.195180357619635,0.0891197986558876,0.311725551650816
"ENSGALG00010000724",413.597472229985,0.0243698124922647,0.234078796865371,0.892789713751692,0.96328773419046
"ENSGALG00010000729",93.4244806314795,-0.164447404751912,0.371552307757652,0.257530354830576,0.553480084487654
"ENSGALG00010000734",3.74962483839749,-0.12576296291327,0.380650496822899,0.163102952589019,0.434431737618855
"ENSGALG00010000757",8.97526931893946,-0.120016391036579,0.363862241406331,0.323130173684895,0.616743979980326
"ENSGALG00010000762",0.789650837541384,0.0134974285274826,0.357862999707356,0.755812694891817,NA
"ENSGALG00010000777",6978.2414543853,0.09800068212047,0.145209461679451,0.447881975437035,0.715461064834466
"ENSGALG00010000784",497.835058322762,-0.142963857036172,0.254595153993205,0.43742956671035,0.706432142321984
"ENSGALG00010000785",376.743753336325,0.240915581261014,0.21896578762342,0.175699694734536,0.451399488323005
"ENSGALG00010000788",574.709417095984,-0.721371102464907,0.225944298827102,0.000226955334257388,0.00569533522283675
"ENSGALG00010000791",13.1171740894707,0.0936237275417045,0.335478033321162,0.526076137302819,0.768081292970427
"ENSGALG00010000795",163.128078717913,-0.407061088917178,0.349523901736027,0.068227126217596,0.26663970955445
"ENSGALG00010000796",101.461416076693,-0.093936737471087,0.242692747340264,0.602661246780654,0.817688660865371
"ENSGALG00010000800",3214.0863267364,0.0678143120360203,0.211125921353557,0.690791067396324,0.866400249240524
"ENSGALG00010000804",1.38765686708243,-0.0846412525796469,0.37251070275195,0.0815338711231306,NA
"ENSGALG00010000810",395.803070690989,0.422466128122804,0.285262435981169,0.0469795843048652,0.215697237961303
"ENSGALG00010000812",455.112012355599,0.170987090187767,0.245862863931947,0.354417577768006,0.644420233371742
"ENSGALG00010000816",1155.86604490433,0.187635270141274,0.22026158282794,0.289423019660735,0.585893642783095
"ENSGALG00010000818",570.56520761922,0.510593187305224,0.254389253911752,0.0126287748730387,0.0957358567113157
"ENSGALG00010000820",201.247298196176,0.0494092093724561,0.307205951854407,0.762463539229862,0.900860028832749
"ENSGALG00010000823",228.22271944492,0.191253341535767,0.272699905335823,0.320140133223824,0.614155742159423
"ENSGALG00010000843",293.808555258057,0.321476931048806,0.215232887044505,0.0699991008337899,0.271373435512162
"ENSGALG00010000859",159.190648293988,0.833619651772744,0.394650931048498,0.00389506588918062,0.0439731749320329
"ENSGALG00010000864",176.786887399075,0.921808606189245,0.375158849539814,0.00146835018834023,0.0226085527279523
"ENSGALG00010000870",46.1786281897011,-0.0420665887243459,0.290668876350417,0.806257697029829,0.923241883918222
"ENSGALG00010000876",0.592869873955177,0.0281155408823324,0.359864916177024,0.775190450450796,NA
"ENSGALG00010000901",100.354173315004,0.269818877942456,0.426780523017449,0.135033181490442,0.393814868606713
"ENSGALG00010000902",0.105926408604821,-0.00164248126377939,0.359576522358275,0.974562517144312,NA
"ENSGALG00010000903",0.59762215449351,-0.00187688369820104,0.359562321202788,0.97455908820358,NA
"ENSGALG00010000912",0.266900405604118,-0.0209207868544282,0.360079796149558,0.64467037623771,NA
"ENSGALG00010000913",0.105926408604821,-0.00164248126377939,0.359576522358275,0.974562517144312,NA
"ENSGALG00010000916",0.190229195695391,-0.00170764437057956,0.359571356019133,0.974561261363287,NA
"ENSGALG00010000923",0.133450202802059,-0.0169266096531778,0.359640651608909,0.825196869765941,NA
"ENSGALG00010000931",0.39847831598247,-0.0220121113311808,0.360239245914186,0.573057764301643,NA
"ENSGALG00010000932",0.29330939086463,0.0300809033578607,0.360860480324895,0.527911356360281,NA
"ENSGALG00010000936",0.105926408604821,-0.00164248126377939,0.359576522358275,0.974562517144312,NA
"ENSGALG00010000939",0.118353887175629,0.0219695857188568,0.359821257972095,0.825798977314591,NA
"ENSGALG00010000941",5.19782781610908,-0.0671566399045602,0.348110788474733,0.547374344622658,0.781523588790229
"ENSGALG00010000943",0.169461310480508,-0.0192375111119308,0.359859848148851,0.705315269225271,NA
"ENSGALG00010000944",0.218180858042313,-0.0201464762164355,0.359974493226954,0.691190902925805,NA
"ENSGALG00010000947",0.769423624721721,-0.021046880953331,0.358073504088129,0.634995201044694,NA
"ENSGALG00010000953",0.938210248256289,0.0714380184926482,0.367251123931217,0.264862255536381,NA
"ENSGALG00010000954",0.105926408604821,-0.00164248126377939,0.359576522358275,0.974562517144312,NA
"ENSGALG00010000963",5.91309504797781,0.0634717939262019,0.335371100392144,0.640658224530116,0.839966819934162
"ENSGALG00010000970",0.39168463765407,0.00383077333481479,0.358271889791982,0.97518270332872,NA
"ENSGALG00010000982",1.414963943815,-0.0619756564159828,0.365209616208868,0.261529025181755,NA
"ENSGALG00010000983",0.109671929868079,-0.016203695342755,0.359577105824843,0.825196869765941,NA
"ENSGALG00010000992",0.0819492909814482,-0.00159012874653039,0.359577815896589,0.974562517144312,NA
"ENSGALG00010001002",0.1047251762973,-0.0160428355054458,0.359563627013765,0.825196869765941,NA
"ENSGALG00010001004",0.105926408604821,-0.00164248126377939,0.359576522358275,0.974562517144312,NA
"ENSGALG00010001014",1.99250839815301,0.108399789329922,0.376220878031341,0.155167346492983,NA
"ENSGALG00010001026",0.945453551605792,0.0404115263897055,0.362349852061234,0.306110775679754,NA
"ENSGALG00010001027",1.25847615147413,-0.0672907598747127,0.363478468212278,0.292440709070147,NA
"ENSGALG00010001033",6.22462928106023,-0.113242955263274,0.376110306892522,0.177198370420083,0.453419868476682
"ENSGALG00010001037",0.133450202802059,-0.0169266096531778,0.359640651608909,0.825196869765941,NA
"ENSGALG00010001042",0.105926408604821,-0.00164248126377939,0.359576522358275,0.974562517144312,NA
"ENSGALG00010001049",0.211852817209642,-0.0017200847520074,0.359570588043033,0.974561080627109,NA
"ENSGALG00010001052",0.0819492909814482,-0.00159012874653039,0.359577815896589,0.974562517144312,NA
"ENSGALG00010001053",3.83429387642734,0.103836044909943,0.373398340861705,0.185769029580984,0.464928862712324
"ENSGALG00010001055",1.14928645337153,-0.016362618800335,0.355514508486495,0.757088991291996,NA
"ENSGALG00010001056",0.341432950648558,0.0140164169836256,0.358573854749717,0.738060100199043,NA
