"","C16F_controlF_3","C17F_controlF_4","C18S2_experimental_2","C1P_controlP_1","C20S1_experimental_3","C20S3_experimental_4","C2P_controlP_2","C3F_controlF_2","C4P_controlP_3","C9P_controlP_4"
"ENSGALG00010000711",422.646370333235,390.898117981508,175.252361041617,292.255944136509,191.555883320905,188.18268060925,182.937047986537,538.287406168121,173.697843242521,184.248842178372
"ENSGALG00010000715",129.230218497881,170.454525241412,89.4593642137123,29.359044616453,32.6515710206088,41.4238605114702,20.2326689017369,69.1186163562179,40.6707145153219,19.7409473762542
"ENSGALG00010000717",1708.59297079576,2022.50850142214,2864.16620179312,1465.28322676661,3267.33387346226,4115.16465709663,1722.30594026035,1303.82844490138,1995.40693090798,2161.63373769983
"ENSGALG00010000720",1687.4076890748,1837.30310380407,2224.75172970822,1309.1464894882,2258.40032892544,2279.49586700262,1635.47406955706,1717.49289127572,1793.74797143618,2228.53361491936
"ENSGALG00010000724",550.817324745068,555.616192854218,401.100592007382,289.586940080468,427.735580369975,375.181822346744,266.396807206202,434.609481633795,386.371787895558,448.558193160442
"ENSGALG00010000729",323.075546244703,236.013958026571,40.3300412438867,37.3660567845765,20.6793283130522,41.4238605114702,25.2908361271711,135.095477423517,32.1976489912965,42.7720526485507
"ENSGALG00010000734",8.47411268838566,6.55594327851585,2.19982043148473,6.67251014010295,0,1.18353887175629,0.843027870905702,7.33076234081099,4.2365327620127,0
"ENSGALG00010000757",22.2445458070124,22.126308564991,4.39964086296946,2.66900405604118,5.4419285034348,2.36707774351258,1.6860557418114,15.708776444595,7.62575897162285,5.48359649340393
"ENSGALG00010000762",0,0,3.66636738580788,0,1.08838570068696,0,0,3.141755288919,0,0
"ENSGALG00010000777",6046.27940316317,6293.70554737522,8133.4694086762,7417.16227173843,7269.32809488821,7181.71387381718,7135.38789934586,5879.27139733042,7198.71646921197,7227.38017830638
"ENSGALG00010000784",642.973300231262,889.969300058527,414.299514596291,388.340090153991,385.288538043184,369.264127987963,418.984851840134,675.477387117584,384.677174790753,409.076298407933
"ENSGALG00010000785",258.460436995763,349.103979580969,467.095204951924,284.248931968385,450.591680084402,459.213082241441,325.408758169601,294.277745395413,441.446713801723,437.591000173634
"ENSGALG00010000788",748.899708836083,687.55455133435,395.23440419009,778.014682336003,372.22790963494,324.289650861224,659.247795048259,716.320205873531,576.168455633727,489.136807211631
"ENSGALG00010000791",25.422338065157,19.6678298355476,10.9991021574236,6.67251014010295,18.5025569116783,4.73415548702517,18.5466131599254,18.850531733514,3.38922620961016,4.38687719472315
"ENSGALG00010000795",169.482253767713,236.833450936385,86.526270305066,118.770680493832,115.368884272818,120.720964919142,219.187246435483,290.088738343521,144.889420460834,129.412877244333
"ENSGALG00010000796",98.5115600024833,128.660386840874,74.7938946704808,82.7391257372765,88.1592417556438,71.0123323053775,204.01274475918,102.630672771354,79.6468159258387,84.4473859984206
"ENSGALG00010000800",2325.08466887582,2468.31264436122,3425.85368529888,3338.92407410751,3711.39523934254,3878.45688274537,2652.16568186934,2325.94616556303,3204.5133811864,4810.21084401393
"ENSGALG00010000804",0,1.63898581962896,0,1.33450202802059,0,0,2.52908361271711,0,5.08383931441524,3.29015789604236
"ENSGALG00010000810",550.817324745068,359.757387408557,508.158519672972,281.579927912344,496.303879513254,478.149704189542,252.065333400805,367.585368803523,275.374629530825,388.238631732998
"ENSGALG00010000812",465.016933775163,528.57292683034,598.351157363846,325.618494837024,497.392265213941,473.415548702517,265.553779335296,548.759923797852,388.913707552766,459.52538614725
