"","baseMean","log2FC","log2FC_shrunken","lfcSE_shrunken","stat","pvalue","padj"
"A1CF",213.358225813004,7.96948032595011,6.99057981304947,2.07968565004657,4.3170607810867,NA,NA
"A4GALT",620.7114492658,-1.62968858605835,-1.48977154552566,0.391133071698105,-4.24939171870302,2.14351793580387e-05,0.000139664715671611
"AAAS",840.963928122891,0.296234367257617,0.257667339426173,0.266044562000403,1.04367331511025,0.296636559964328,0.441145002978261
"AACS",1936.39419972373,0.853465640959701,0.801649989014406,0.227146801952989,3.7342823451803,0.000188251212085293,0.000974501492453984
"AADAC",553.151651951236,0.921307737695113,0.725328321484177,0.43130380150962,2.0612775911984,0.0392765648006027,0.0936409310765445
"AADACL3C",84.1314753552709,0.551923971153824,0.381587351916422,0.432053075499132,1.10852652730659,0.267634489216895,0.409494909571261
"AADAT",479.77505458758,0.378291169518636,0.310930288513914,0.303273194609421,1.15473903677848,0.2481973085639,0.388104283762174
"AAED1",395.773046449469,0.146368237290768,0.102914897870656,0.381433924413757,0.321929343690572,0.74750622254411,0.835853743801846
"AAGAB",1588.34673384838,0.00409773232765612,0.00410653441830785,0.104978239904632,0.0385779019905322,0.969226920831884,0.981370719370106
"AAK1",6671.95241098783,0.235216422498854,0.232428722267922,0.15560773754307,1.47766752548893,0.139496790629522,0.252067822771494
"AAMDC",443.264397323864,-0.363470828671904,-0.336968761121055,0.19648878468564,-1.79574206028064,0.0725355492738983,0.152474022200208
"AAMP",795.110548228908,-0.134742080826697,-0.127907962743761,0.146114526414685,-0.901943490658921,0.367086886962229,0.51325124397206
"AANAT",9.81435012850221,0.524390001789136,0.213050529514958,0.560781313855901,0.613277927942192,0.539692585184385,0.672636030180003
"AAR2",930.685229182621,-0.178372374972586,-0.174700084278105,0.107800027658286,-1.63572469687318,0.101897218280471,0.197893512872137
"AARS1",2963.02699486799,-0.202682216695181,-0.173909083859002,0.193647386094501,-1.01127230687869,0.311886116674879,0.456534865947096
"AARS2",663.891679129411,-0.201639669273907,-0.188290800411645,0.178485379896408,-1.09530143497436,0.273384599054795,0.415696974354927
"AARSD1",778.185062010515,-0.346216323842671,-0.328642752348575,0.163433804496489,-2.07512070091331,0.0379753496258445,0.0912867472827831
"AASDH",971.692185358507,0.0917294954700359,0.0881681152859252,0.158841011821155,0.562370932593968,0.573863319175755,0.701549264129453
"AASDHPPT",210.2271574925,0.831830044601782,0.767850697518318,0.252582852214579,3.26071173166195,0.00111132960349514,0.00460894230058529
"AASS",512.944567469621,-1.49739265503775,-1.32151922626766,0.430276111887543,-3.55368623407002,0.000379872131400111,0.00181542997663371
