"","baseMean","log2FC","log2FC_shrunken","lfcSE_shrunken","stat","pvalue","padj"
"A1CF",213.322474173403,7.96905984230738,6.99013369432685,2.07971687407842,4.31679051161405,NA,NA
"A4GALT",620.709336237817,-1.62945547242331,-1.489466409117,0.391654962652782,-4.24271749568756,2.20829351385658e-05,0.000145518034899695
"AAAS",840.989298509177,0.296336578101681,0.25778304094431,0.266267986117596,1.04327384381701,0.296821481572995,0.44461062641509
"AACS",1936.51119147995,0.853726076102598,0.801975266772758,0.227177601590698,3.73477217262375,0.000187885198553485,0.000986836276514565
"AADAC",553.14626854602,0.921370368356611,0.725168726432785,0.431881333521986,2.05802227311735,0.0395879953718109,0.0952339016261948
"AADACL3C",84.1392192364553,0.552120676432342,0.381734466118018,0.432885786754863,1.10656886363874,0.26848037536149,0.413494113273693
"AADAT",479.771583296431,0.378476326925997,0.311748708497443,0.303624507400213,1.15419260641574,0.248421213117333,0.39143753767834
"AAED1",395.794860487913,0.14660453153632,0.102683827886961,0.382174987669268,0.321764128731421,0.747631391365133,0.837545864346587
"AAGAB",1588.37510464616,0.00429446835663011,0.00438202658338351,0.104439542605006,0.0406450181437238,0.967578894500857,0.980625345672304
"AAK1",6672.15718865711,0.235382672635521,0.224756764386385,0.15538804809254,1.48165484482763,0.138432157794353,0.252945707739426
"AAMDC",443.268381378302,-0.363274712384087,-0.336895378679062,0.196375280021312,-1.7959896643755,0.0724961608235806,0.15413531250037
"AAMP",795.136271503087,-0.134593425901551,-0.127740917115652,0.145866244184947,-0.902604852054133,0.366735650480273,0.516000732828825
"AANAT",9.81418755640548,0.525080199249718,0.213670491670431,0.561533530689354,0.613764836662894,0.539370736641358,0.6750427819556
"AAR2",930.695668730114,-0.178159009836674,-0.173513010510727,0.107354308031527,-1.64198694256355,0.100592710147203,0.197898844000215
"AARS1",2963.11255604722,-0.202504289916632,-0.187072963592932,0.193133644200543,-1.01119820067161,0.311921576826381,0.459650541438986
"AARS2",663.910820478953,-0.201436682459028,-0.187143267919386,0.178383857093569,-1.09518874005111,0.273433957659923,0.418990855401508
"AARSD1",778.221387396151,-0.346036441789418,-0.328534028208472,0.163393226117712,-2.07467492839564,0.0380166725320515,0.0924336154147656
"AASDH",971.723200633917,0.0919534559930302,0.0886420051448362,0.158722845366117,0.564254563175541,0.572580899076398,0.703184159302773
"AASDHPPT",210.232093997274,0.832098201985922,0.768247208969929,0.25258900325605,3.26159565961555,0.00110787045379798,0.00465471238722809
"AASS",512.88333281091,-1.49700804445674,-1.32089379773057,0.430810594076967,-3.54807697726643,0.00038805479147417,0.00187301612897331
"AATF",378.332560019109,0.249681909510344,0.226807466135051,0.217564716516322,1.09791518491844,0.272241526611627,0.417804971548353
"AATK",571.39889047561,-1.27893514167559,-1.22507776875622,0.232264615399201,-5.5348055474984,3.11573828460754e-08,3.9160748918997e-07
"ABAT",2223.84265183833,1.63708906482308,1.39282246374969,0.525757503336348,3.22168507043131,NA,NA
"ABCA1",4867.68209856625,0.141187998497963,0.120902866220226,0.256360550694542,0.513079870470483,0.607895451681456,0.731855770758395
"ABCA12",40.0134416973066,0.105276541187558,0.05097213485384,0.503434487361628,0.143751799618514,0.885696465767089,0.930390476034151
"ABCA13",9.66058659426267,-0.115057863489591,-0.0286463206764879,0.594703383898402,-0.0989782040731539,0.921155575743012,0.952301866233272
"ABCA2",3044.31454284219,-0.117264491564888,-0.108467603235058,0.185099206846368,-0.611176551942224,0.541082704808424,0.676826505792159
"ABCA3",3897.12076073143,-0.367502545379939,-0.329336832795313,0.23409519960173,-1.50389190801633,0.132609200910412,0.245037386745684
"ABCA4",55.7806746817986,0.359061293077892,0.280263406518652,0.344411668328561,0.935406153083714,0.349579027102054,0.498452661892858
"ABCA5",1993.76187036105,-0.525909192890216,-0.506916219706088,0.147868400868049,-3.51962640375462,0.000432155055389288,0.002054912958785
"ABCB1",546.202066577032,-0.12901295177571,-0.0939605019594185,0.363165408095412,-0.303557057503876,0.761465371713455,0.847093441131322
"ABCB10",1771.72182617781,1.82345111597262,1.71504927760062,0.355764008876755,5.21396402361459,1.84847332617579e-07,1.97070299869256e-06
"ABCB11",570.964170691563,2.6730400952611,2.3325374201634,0.728612855897271,3.90025931957555,NA,NA
"ABCB5",223.249585460101,3.32125163654416,2.81129423097422,0.98536643565288,3.69835798766999,NA,NA
"ABCB6",364.518324566496,0.123359188358813,0.103041127860101,0.28968424016848,0.387875166977275,0.69810841613287,0.801388534889615
"ABCB7",2341.94567459116,0.82634314779153,0.796447081226155,0.17316757024535,4.75379977169902,1.99628748353304e-06,1.7172146414473e-05
"ABCB8",430.318408227238,-0.624598819568974,-0.574286042408712,0.230598320848198,-2.65306872544976,0.00797636285816821,0.0254837667710074
"ABCB9",254.215466002138,0.633750561433397,0.568178525037352,0.26539472141867,2.3225064496691,0.0202056815391381,0.055098764677659
"ABCC1",3563.48115178025,-0.431419468796728,-0.412444499507071,0.157237568490374,-2.70115425996572,0.00690992812351831,0.0225777884035889
"ABCC3",2153.9221875086,0.828438969501624,0.759520140142405,0.263235709997509,3.11524772686108,0.00183790485060532,0.00718005728131215
