"","baseMean","log2FC","log2FC_shrunken","lfcSE_shrunken","stat","pvalue","padj"
"A1CF",213.322474173403,6.92992744698548,5.76011495163453,2.20236855821909,3.81330749920022,NA,NA
"A4GALT",620.709336237817,-1.52645536191023,-1.3363115695352,0.406024748560828,-3.97374123657518,7.07524280077533e-05,0.000821062099653397
"AAAS",840.989298509177,-0.439343684968551,-0.312133164195104,0.258223094606032,-1.54978136618951,0.12119400094654,0.235058602986207
"AACS",1936.51119147995,0.444079218497446,0.358206632465732,0.218012208419224,1.94433811788522,0.0518546908796233,0.126365695180945
"AADAC",553.14626854602,0.163248844333951,0.0720611323765685,0.297830406769156,0.365170052040273,0.714984471947596,0.812385360347119
"AADACL3C",84.1392192364553,0.432514173640264,0.174162986176455,0.33513640754323,0.867697964336291,0.38555970056546,0.536126130834546
"AADAT",479.771583296431,0.941156224175751,0.754808241991748,0.34268303082331,2.86288513964017,0.00419802714694945,0.0192482969651505
"AAED1",395.794860487913,0.908773436971563,0.532423770785743,0.454637486066264,1.99041286134525,0.0465454742801506,0.116729640343038
"AAGAB",1588.37510464616,-0.00663522270180747,-0.0060614291030615,0.101982392406657,-0.0627921532730056,0.949932014320998,0.971414750283027
"AAK1",6672.15718865711,-0.155265264216694,-0.133833180837067,0.148747029125043,-0.97774157909742,0.328202151707989,0.479861471067602
"AAMDC",443.268381378302,0.035149175510329,0.0285252842120334,0.180247439997644,0.173058654545542,0.862605323418158,0.918061083957694
"AAMP",795.136271503087,-0.465880665435394,-0.427332087455351,0.147014623866561,-3.13378296043352,0.00172568445815313,0.00974475022733168
"AANAT",9.81418755640548,0.0471535688119556,0.00877295356500814,0.35365475169711,0.0558346453217643,0.95547353500659,0.974211547312983
"AAR2",930.695668730114,0.161275183022458,0.151210565794031,0.105888061963435,1.47747821781589,0.139547492938157,0.260656915925434
"AARS1",2963.11255604722,-0.526563666863299,-0.45562137338024,0.197315812294888,-2.63051645682315,0.00852552418005578,0.0330112324058459
"AARS2",663.910820478953,-0.846791270038391,-0.789133708032129,0.185397763444279,-4.62569165380541,3.73350387994898e-06,7.86813125371835e-05
"AARSD1",778.221387396151,-0.424289412853116,-0.37691287477639,0.163099845933857,-2.54495915974601,0.0109290519779686,0.0396388049920055
"AASDH",971.723200633917,0.369379326574926,0.327105994951845,0.158514665083577,2.26150588363014,0.0237279487722933,0.0710574096449137
"AASDHPPT",210.232093997274,0.795643399358938,0.680756552004424,0.259673072525627,3.11955329888652,0.00181125488965689,0.0101695671777977
"AASS",512.88333281091,-0.491327047096938,-0.24707367612679,0.329420510554324,-1.16234937246525,0.245093579171144,0.390469009365259
"AATF",378.332560019109,-0.587253376895972,-0.494789587861238,0.22346264170063,-2.60236301133307,0.00925837947991771,0.0349655662790364
"AATK",571.39889047561,-1.05817668330585,-0.97430156497391,0.236749255990202,-4.573949300138,4.78615703044846e-06,9.68073306869882e-05
"ABAT",2223.84265183833,1.39480773188576,1.0123730981989,0.578245982701939,2.74520215646645,NA,NA
"ABCA1",4867.68209856625,-0.513886030494491,-0.389941131697165,0.261214669777837,-1.86805086153008,0.0617549818457401,0.143273500244432
"ABCA12",40.0134416973066,-0.231311369228826,-0.0509411247655813,0.346947768395839,-0.316693260419782,0.751476363181459,0.839860230896551
"ABCA13",9.66058659426267,0.337420028132504,0.0336786823033686,0.371571482143617,0.288265939557731,0.773143177324595,0.855648516390179
"ABCA2",3044.31454284219,-0.496563034558144,-0.432008207087891,0.188415861295205,-2.58948814293207,0.00961187329416652,0.0359896347137542
"ABCA3",3897.12076073143,-0.546652988397664,-0.44007820564241,0.238230879624216,-2.23726035031628,0.0252693290249668,0.074482672615549
"ABCA4",55.7806746817986,0.785065769690085,0.512817398154818,0.381655365399372,2.02194391678839,0.0431821460745211,0.110406344881174
"ABCA5",1993.76187036105,-0.668183959117992,-0.627781113227577,0.149998054459332,-4.473748293197,7.68602133659617e-06,0.000143076378256322
"ABCB1",546.202066577032,1.46903322571599,1.21874982068947,0.460340082140031,3.44228555057036,0.000576821011316274,0.00422834880469234
"ABCB10",1771.72182617781,0.118049391539989,0.0668689629789375,0.262351708269253,0.338285568980705,0.735147997642208,0.827883269863868
"ABCB11",570.964170691563,1.91016893675326,1.29576520012764,0.861145958882878,2.79046700103356,NA,NA
"ABCB5",223.249585460101,3.92326565910717,3.46849944417204,0.974630192916869,4.35534906037035,NA,NA
"ABCB6",364.518324566496,-0.860056150624069,-0.680692532150126,0.326020432199706,-2.71705298977104,0.00658660613850972,0.0270604479489522
"ABCB7",2341.94567459116,0.218919329322824,0.18557164521838,0.162276524337342,1.26164039926294,0.207078212196809,0.346362962067282
"ABCB8",430.318408227238,-0.609304238856104,-0.508420734722525,0.233723016215621,-2.5874381344525,0.00966925572329931,0.0361748070238219
"ABCB9",254.215466002138,0.491193729067821,0.367243319466213,0.256399363373999,1.80253369974907,0.071461477570656,0.159611725641348
"ABCC1",3563.48115178025,-0.361552154684582,-0.321105205842953,0.155005892145489,-2.26331504031475,0.0236162757949165,0.0708308226001537
"ABCC3",2153.9221875086,-0.747825238433662,-0.621507293584709,0.268847321985823,-2.81827452428373,0.0048282508925889,0.0214141364277843
"ABCC4",2741.93440748342,0.0911465354799908,0.0730664961147581,0.177778610009868,0.459116173246976,0.646150743076433,0.763504327748919
"ABCC5",5406.77188654648,0.0180294179752049,0.0166060613510706,0.120461907978803,0.142330978403129,0.88681857838061,0.932664684899825
"ABCC6",1023.00513860216,0.424569617403223,0.246717796765002,0.297346594461919,1.17612870812271,0.239543447573398,0.384253477021315
"ABCC8",340.291956794635,-0.410575703048055,-0.154318026104908,0.335051856691714,-0.790775007427097,0.429075296705162,0.57735111751389
"ABCC9",1862.9798652515,-0.52361054201431,-0.446593013378355,0.203672167518662,-2.52735321325566,0.0114925854287763,0.041201547153833
"ABCD2",2359.49124432957,-0.489178505982758,-0.395402236311888,0.230648468632588,-2.03955403073762,0.0413947645591073,0.106773695871096
"ABCD3",2186.376147499,1.00904538245759,0.844877068523802,0.328571016583734,3.20474994491928,0.00135179864313229,0.00803319616628768
"ABCD4",859.597033614022,-0.20902525311134,-0.155496951262595,0.209803331961621,-0.874691759247599,0.381741645196702,0.532816516847538
"ABCE1",3245.82286169254,0.403460572935409,0.388410825105648,0.0934878341857694,4.28815178208377,1.80165968760241e-05,0.00028125909567571
"ABCF2",1728.92964834025,-0.544653837458201,-0.496162224524798,0.160531815777522,-3.37731033144039,0.000731984152755573,0.00504312724507955
"ABCF3",1894.74863402559,-0.643389750412197,-0.588738879945625,0.173635611438096,-3.71696977799053,0.000201626551432817,0.0018634272200549
"ABCG1",761.200552410335,-0.608293184039387,-0.315222232820751,0.356221619639264,-1.41564260299553,0.156880171149745,0.283711274886498
"ABCG2",961.477643282912,-0.386275608750489,-0.287915223234814,0.2343861458833,-1.50881725122851,0.131345490921399,0.248882843508927
"ABCG4",23.4231615869895,-0.573905951869674,-0.142815187098722,0.366599359020876,-0.824538386395854,0.409633713920122,0.558997031779598
"ABCG5",25.3913886891284,1.07345745568255,0.435711302492012,0.523784796789228,1.79409125488917,0.0727986046484498,0.16153654182927
"ABCG8",12.293990682226,2.1906290985451,0.498764771951066,0.872619484932449,2.31068281273738,0.0208503812709022,0.0647739404472723
"ABHD1",224.221617760038,-0.0212593755357123,-0.0117323803250884,0.254310493391271,-0.0633339764409943,0.949500560774022,0.971226002622206
"ABHD10",636.415629536409,0.340564365484725,0.291323709147642,0.173504972697336,1.87604891112474,0.0606485639834415,0.141331379329739
"ABHD11",89.8523704380624,-0.343743052432863,-0.161121465330535,0.308608190273115,-0.798991191288715,0.424295519709199,0.572617006701883
"ABHD12",1896.70819712446,-0.133503964917026,-0.122968387907642,0.134267485719336,-0.941007309182157,0.346701113527843,0.4983111540198
"ABHD12.1",178.772525740989,0.0507667072100334,0.0259503679740681,0.278015595726539,0.128172328653503,0.898012597959685,0.938313828351164
"ABHD13",1254.9380138199,0.928374764699653,0.799389319181714,0.284083815417382,3.36775810627122,0.000757820542855096,0.00516174641591386
"A1CF.1",115.30484275306,0.207674555828888,0.074087089554144,0.319511895747544,0.391477500439767,0.695444316409327,0.798951992822241
"ABHD17A",695.744346116663,0.0274029924440743,0.0244428228065589,0.133177537811558,0.193426252916884,0.846625156791529,0.907691687904581
"CEMIP2",344.201098954632,0.876298648303879,0.728732643031023,0.300106851831625,3.00679550413312,0.00264017305366935,0.0135005729546818
"A4GALT.1",570.837039018977,0.248710755349073,0.181232613606685,0.21977882101316,0.992058213016689,0.321169129175703,0.472211045537766
"ABHD18",600.866629456958,0.380504178362627,0.330808385437762,0.170668782189206,2.15416722980443,0.031227059764776,0.0867769624073195
"ABHD2",4219.53893549218,-0.124463825151554,-0.101003688751475,0.173536657710382,-0.649657687533485,0.515913361138722,0.655980337013488
"ABHD3",48.3949891459049,2.38670802804269,1.21262212870039,1.76214267834808,2.62716362556484,0.00860999210319404,0.0332184134690736
"ABHD4",794.914681002728,0.353581590319197,0.288374116149695,0.197365361066729,1.6858822062128,0.0918184898398987,0.19142233122955
"ABHD6",301.587064137899,-0.369477604632853,-0.26200315853348,0.245443771742934,-1.34281729241629,0.179331142611953,0.311933109079775
"ABHD8",31.403635992916,-0.494982830502464,-0.0892281040689471,0.364766092228059,-0.593766633052498,0.552668209105937,0.689418687651228
"AAAS.1",3968.82211741522,-0.0217558837137513,-0.0177439762824736,0.160624444595211,-0.123402782518897,0.901788153784867,0.94052821073966
"ABI2",5102.22661387695,0.0215181261501762,0.0201014415761245,0.105561642376105,0.196224154482796,0.844434723007693,0.906331266000073
"ABI3",257.607030227203,0.0178833439494747,0.010642195911099,0.258646964173743,0.0516796452865176,0.958783956271163,0.975564122071926
"ABI3BP",16360.2588255843,-3.52352389296059,-3.40358854331623,0.462705461258135,-7.74579433171463,9.49861513746351e-15,3.20293302435269e-12
"ABL1",3028.59288631395,-0.492749167035427,-0.461969150240831,0.129706550977761,-3.77740339128585,0.000158471945124172,0.00155727385208616
"ABL2",2348.34498756504,-0.102181826124841,-0.0899294886527005,0.135760343992732,-0.709138061759771,0.478238805332026,0.622290449892896
"ABLIM1",2601.80808262085,0.821521182576782,0.171848252831283,0.393250254103544,1.0379367999878,NA,NA
"ABLIM2",458.952354521829,-0.346751934109961,-0.212975402274468,0.272890479581156,-1.05151046549598,0.293024205342597,0.443197702352087
"ABLIM3",596.417670627954,0.290353212862497,0.251083259254204,0.159815736846699,1.73212007915934,0.0832521848359717,0.178579114037466
"ABR",4394.44337934532,-0.300937677183402,-0.246692528080825,0.185036284418571,-1.52155686312882,0.128120153126444,0.244553460649893
"ABRA",202.250367764979,-2.15996636434516,-1.31637579874736,1.13778586559747,-2.71692885763122,0.00658907692237238,0.0270604479489522
"ABRACL",206.288657078342,0.727211900330611,0.533291815728782,0.325955256840552,2.22100774592326,0.0263504367578836,0.0768630387089824
"ABTB1",2173.07759428882,-0.77016121531418,-0.730994067722402,0.149903882075548,-5.1751041535589,2.27783877223944e-07,7.55141943538478e-06
"ABTB2",2368.81529354523,0.373922332331654,0.277340582443529,0.234970091147192,1.44776248304489,0.14768348848801,0.27157378172881
"ACAA1",765.482261767722,0.620041227308812,0.275563341354406,0.369257530098191,1.27509548260336,NA,NA
