"","Sacral_1","Free_1","Free_2","Sacral_2","Pygo_1","Sacral_3","Sacral_4","Free_3","Pygo_2","Free_4","Pygo_3","Pygo_4"
"A1CF",2446.54706770156,0,3.40722597918352,33.92732839589,5.36603564638052,23.3811093315567,25.0524858933832,6.70355236672165,2.56706225591868,0,0,12.9178225102405
"A4GALT",178.743164763584,736.132931854395,1430.18310476228,306.853836825049,1081.25618274568,244.944954902022,337.612071801307,356.405534164035,785.521050311118,780.209130974901,704.702023431678,505.948048317752
"AAAS",866.718158306756,471.298029792241,592.857320377933,842.151684849091,1165.77124417617,725.927775436903,747.995650245299,1044.63691048079,1351.13043403187,484.26773646718,1113.39555969396,685.721078251932
"AACS",2063.92498062951,1533.88051439264,1033.2412781874,2757.16088763932,1498.46545425176,2747.83703953723,2585.1779490934,1788.73122318689,1572.75347545951,1264.47686744208,1743.25452813111,2649.23009980849
"AADAC",1546.31456600163,337.259140585274,297.280466683762,468.951072494301,686.852562736707,442.014304982286,283.928173458343,408.916694370021,704.230745540359,404.552882727727,682.837760174848,374.616852796974
"AADACL3C",107.059708061522,57.2908155481394,65.5891000992828,50.514022278325,38.9037584362588,123.585863609657,135.999209135509,99.4360267730379,42.7843709319781,61.7790116480765,70.638388983605,156.090355332072
"AADAT",1083.63043637923,510.212546013619,498.30679945559,310.623539980148,327.328174429212,534.425356149867,585.750979697674,344.115688158378,302.913346198405,580.921996626268,358.23754413114,320.792592337639
"AAED1",479.44130131899,338.340099369201,500.010412445182,266.894983381001,105.979204016015,623.496248841512,580.979077622744,313.949702508131,129.208800214574,608.822195435076,428.875933114744,373.540367587787
"AAGAB",1795.81023348414,1541.44722588013,1563.06491795044,1529.74554033913,1711.76537119539,1454.0823231911,1568.76280713328,1650.19114094131,1723.35446114008,1576.36123269769,1438.83670893986,1507.07929286139
"AAK1",6934.67622043719,5090.23491351299,5513.74344081374,7023.71091858024,8165.76474487956,6296.19872714062,6765.3641667322,7533.67560146735,8475.58388162486,4816.77003720648,6957.88131488509,6492.28229660503
"AAMDC",534.367586324466,509.131587229692,641.410290581298,361.891502889493,489.650752732223,388.571769367299,344.769924913702,487.124805315107,390.19346289964,458.360409001858,338.055147278681,375.693338006161
"AAMP",794.10374762155,617.227465622408,690.815067279459,692.117499276155,1019.5467728123,604.568684144537,650.171657709231,842.413080751354,964.359720806786,860.920420386098,906.525991956264,898.8651496709
"AANAT",2.79286194943101,19.4572581106889,5.11083896877528,12.8169907273362,13.4150891159513,16.7007923796833,11.9297551873253,2.23451745557388,9.41256160503518,3.98574268697268,13.4549312349724,6.45891125512024
"AAR2",1036.1517832389,1065.82536095218,1073.27618344281,815.009822132379,898.810970768738,921.883739358521,918.591149424052,1008.88463119161,858.25448089548,1026.32874189546,762.726414382497,782.604747078736
"AARS1",2414.89463227468,2454.85739829858,2653.37723128917,2391.49968159473,4755.64909160474,2482.85113377959,2611.42341050552,3575.22792891822,3997.77161988403,2709.30859146968,2844.03608979229,2666.45386315547
"AARS2",471.062715470697,515.617339933255,542.600737184976,560.931829478714,1030.27884410506,527.745039197994,456.909623674561,672.589754127739,1120.95051841783,589.889917671956,763.567347584682,714.786178899973
"AARSD1",728.006014818349,662.627734547348,835.622171394759,625.770723746415,924.299640089045,686.959259884308,542.803861023303,843.530339479141,734.179805192744,942.628145469038,801.409341683042,1010.81961142632
"AASDH",1129.24718155327,973.94386431837,1169.53031735474,995.201632946105,810.271382603459,1098.91213858316,1076.06391789675,845.764856934715,712.787619726755,1042.27171264335,736.657485114738,1070.02629793159
"AASDHPPT",332.35057198229,199.977375026524,114.142070302648,349.828452793176,144.882962452274,292.820559723781,203.998813703263,149.71266952345,171.993171146552,200.283570020377,169.02757363934,193.767337653607
"AASS",427.307878262944,1516.5851738498,855.213720775064,355.106037210315,499.041315113389,198.182736238909,195.647985072136,309.480667596983,445.813145111212,641.704572602601,364.965009748626,345.551752148933
"AATF",352.831559611451,239.972850031829,211.248010709378,401.850356333541,440.014923003203,272.779608868161,329.26124317018,307.246150141409,515.979513439656,384.624169292863,475.968192437148,608.214143190489
"AATK",201.086060359033,919.895925122012,672.927130888746,331.733877648702,761.977061786034,329.562302959085,382.945141513144,785.43288563422,712.787619726755,641.704572602601,617.244970404358,499.489137062632
"ABAT",10556.0872148661,1485.23736911592,1201.04715766219,1735.57133260753,1566.88240874311,1654.4918317473,1734.58640423711,1371.99371772237,1362.25437047418,983.482008010508,1587.68188572674,1446.79612114693
"ABCA1",2504.26621465647,4206.01062826058,3725.80160823718,4003.42475071501,7283.05188104997,5738.3922616592,5271.75881727907,4165.14053718972,7668.67064584775,3786.45555262404,6431.4571303168,3627.7551549592
"ABCA12",84.7168124660739,55.1288979802851,49.4047766981611,39.9588534440482,40.2452673478539,17.8141785383289,11.9297551873253,33.5177618336083,34.2274967455825,5.97861403045901,70.638388983605,36.600497112348
"ABCA13",18.6190796628734,18.3762993267617,7.66625845316293,3.01576252407911,26.8301782319026,8.90708926916445,9.54380414986028,13.4071047334433,3.42274967455825,3.98574268697268,0,2.15297041837341
"ABCA2",2820.79056892532,2479.7194503289,3003.46970065028,2699.86139968182,4240.50966955221,2235.67940656028,2693.73872129806,3545.06194326797,4470.96676239171,2307.74501575718,2865.05941984693,3169.17245584566
"ABCA3",3056.32192666067,4062.24310999826,3990.7134281187,3490.74512162157,5662.50911584305,2742.27010874401,3178.08678190347,4546.12576336507,6130.14466713382,3486.52841542935,3913.70312297259,2506.05756698665
"ABCA4",67.9596407694878,73.5051973070468,60.4782611305075,67.1007161607601,29.5131960550929,82.3905757397712,66.8066290490219,22.3451745557388,49.6298702810946,64.768318663306,42.8875933114745,41.9829231582816
"ABCA5",1610.55039083855,1777.09624077625,2268.36069564143,1173.88556249779,2733.99516183088,1581.00834527669,1574.72768472695,2214.40679847372,2376.24396156206,2287.81630232232,2180.53979326771,2146.51150711829
"ABCB1",1463.45966150185,1046.36810284149,569.858545018444,479.506241328578,209.27539020884,367.417432353034,359.085631138493,746.328830161677,261.840350103706,558.003976176175,222.006365377044,271.27427271505
"ABCB10",798.758517537268,677.761157522329,609.041643779055,2819.73796001397,2028.36147433184,3149.76944280828,2878.64992670161,887.103429862832,2873.39835179165,552.025362145716,2018.23968524586,1967.8149623933
"ABCB11",3833.66850258563,194.572581106889,142.251684630912,284.235617894456,297.814978374119,358.510343083869,338.80504732004,275.962905763375,397.038962248757,142.490301059273,332.168614863381,254.050509368063
"ABCB5",2067.64879656209,59.4527331159937,29.8132273178558,67.1007161607601,38.9037584362588,61.2362387255056,101.402919092265,94.9669918618901,29.9490596523847,45.8360409001858,35.3191944918025,47.3653492042151
"ABCB6",278.355240959957,311.316129771022,229.987753594888,385.263662451106,686.852562736707,236.037865632858,270.805442752285,368.695380169691,681.98287265573,166.404757181109,401.125137442614,357.393089449987
"ABCB7",2049.96067088236,1586.84749480507,1730.01899093043,3349.75822362087,2010.9218584811,3245.5206524518,2953.80738438176,1523.94090470139,2439.56483054139,1699.91925599385,2754.05623715841,2759.03159114553
"ABCB8",447.788865892105,429.140637219082,460.827313684571,301.576252407911,528.554511168482,251.625271853896,267.226516196088,643.541027205279,529.670512137889,424.48159616259,388.511139409827,490.877255389138
"ABCB9",377.036363173186,161.062858805147,187.397428855094,315.901124397286,217.324443678411,295.047332041072,306.594708314261,329.591324697148,297.779221686567,157.436836135421,205.187701333329,200.226248908727
"ABCC1",2132.81557538215,3661.20740116129,3833.12922658146,3479.43601215627,3701.22308709097,3274.46869257658,2882.2288532578,3762.92739518642,3612.71228149623,4614.49359584261,4110.48149228406,3696.65020834715
"ABCC3",1360.1237693729,979.348658238006,927.617272832714,2181.90418617123,3787.07965743305,2288.00855601662,2141.3910561249,1752.97894389771,3988.359058279,830.03091456206,2949.15274006551,2661.07143710954
"ABCC4",2111.40363376984,2904.53625241228,2617.60135850774,3588.00346302312,2277.88213188853,2925.97882492052,2884.61480429527,2184.24081282347,2459.2456411701,2880.6955270095,2529.52707217481,3539.48336780589
"ABCC5",5378.12116062098,3737.95547482012,3443.85365845975,6743.24500384088,5771.17133768225,6306.21920256843,6059.12265964254,4872.36531187886,6321.81864890908,4158.12605818424,6001.74026399987,6087.52385795083
"ABCC6",2401.86127651067,836.662098759621,1072.42437694801,737.353937137342,712.341232057015,845.060094411977,814.802279294321,1232.336376749,1091.85714618408,760.280417540038,856.069999825118,915.012427808701
"ABCC8",46.5476991571835,992.320163645132,799.846298613332,191.500920279023,351.475334837924,162.554379162251,147.928964322834,364.226345258543,148.889610843284,647.68318663306,64.7518565683046,165.778722214753
"ABCC9",1391.77620479979,2362.97590166477,2049.44642647889,1648.86816004025,2177.2689635189,1401.75317373476,1290.7995112686,1512.76831742352,1792.66514204988,2451.2317524882,1574.22695449177,2701.97787505863
"ABCD2",1359.19281538976,2896.96954092479,2137.18249544286,2162.30172976472,3611.34199001409,2390.44008261201,1983.9182876522,2342.89155216922,3231.93138020162,1956.99965930358,2242.76885022946,1997.95654825053
