"","baseMean","log2FC","log2FC_shrunken","lfcSE_shrunken","stat","pvalue","padj"
"ENSGALG00010000711",272.264501575455,-0.281388625226475,-0.22433479856532,0.20622857478589,-1.25280874018775,0.210275320073578,0.366128347633622
"ENSGALG00010000715",64.7713759713051,1.17517343469152,0.801597855957791,0.520154052377507,2.44237230841842,0.0145910903519495,0.0540226035531458
"ENSGALG00010000717",2316.23822553597,0.901995677465474,0.849206202022097,0.187744862283148,4.86008605735666,1.1733473690854e-06,3.72337519551337e-05
"ENSGALG00010000720",1849.23033020268,0.301878837870619,0.264704966149355,0.164879390811539,1.74996725909121,0.0801239634851403,0.185062700227371
"ENSGALG00010000724",406.196838679674,0.260578526362964,0.199552544534147,0.219676467331264,1.06301033787289,0.287777263211959,0.452453529199686
"ENSGALG00010000729",123.017805889857,1.68267754913059,0.964375300173805,0.872684454599176,2.45665836527728,0.0140235977178847,0.0524532342569779
"ENSGALG00010000757",14.0063788843001,2.24170610167176,0.469265991389928,0.792679413011693,2.23193253442169,NA,NA
"ENSGALG00010000777",6733.57046956129,-0.0203287520998357,-0.018632400474775,0.110039656357299,-0.178237303971044,0.858536614411739,0.915791705538219
"ENSGALG00010000784",506.116147351313,0.062185901330976,0.0541392813765493,0.155157974301722,0.372849915409652,0.709260150047703,0.816705524089247
"ENSGALG00010000785",397.410316941186,0.46812531576914,0.397771874312785,0.205774411184219,2.20181458358844,0.0276784085047341,0.0859842519363698
"ENSGALG00010000788",560.572197804879,-0.786255489843185,-0.741690247784991,0.16376606042143,-4.83354097610072,1.34125655666719e-06,4.13981979785382e-05
"ENSGALG00010000791",11.7837546261204,0.181813774128985,0.0432392033176187,0.36807911844693,0.240667805378564,0.809812593207,0.885760548896057
"ENSGALG00010000795",159.086532852619,-0.710379173809408,-0.554297629139713,0.301101812512936,-2.34028598890462,0.0192689783225128,0.0661541743277581
"ENSGALG00010000796",101.209673579403,-0.818709180916141,-0.497114519960288,0.417516411741722,-1.86769345992556,0.0618048107662356,0.153666051689556
"ENSGALG00010000800",3222.22941367906,0.0789958107524668,0.0673961735322878,0.164205104115088,0.443992399399186,0.65704807908238,0.781112675373418
"ENSGALG00010000810",388.719843418393,0.707840061008721,0.611334015506414,0.240352575484455,2.95409064753028,0.00313591878903002,0.0173762007794676
"ENSGALG00010000812",446.923226971251,0.48815735325015,0.42143507829648,0.199934145061987,2.38040208549106,0.0172937563187804,0.0611804860321664
"ENSGALG00010000816",1114.75379119962,0.0826131343632324,0.0658080124257729,0.192677807728058,0.382388724261599,0.702173052806582,0.811558601148425
"ENSGALG00010000818",572.282416462766,0.482886413123287,0.43566719487795,0.168901852245337,2.81318963009393,0.00490527142540288,0.0241489110079881
"ENSGALG00010000820",206.575891809174,0.701789351366155,0.486994367432486,0.346053599936233,1.95272135570462,0.0508526217580026,0.133270975396636
"ENSGALG00010000823",227.666803205836,0.454892209934226,0.352795142909928,0.246657893273318,1.72879068671132,0.0838465636027541,0.190926115938663
"ENSGALG00010000843",289.530737699421,0.489951558311028,0.443611693506945,0.167249992655454,2.88795817999002,0.00387751421950946,0.0203846830375609
"ENSGALG00010000859",150.946111048832,0.74770984723612,0.637106301554203,0.258651336587099,2.90907731835244,0.00362497197056956,0.0193531865036861
"ENSGALG00010000864",176.562202257278,1.22886185175689,1.12965112821041,0.275008519896715,4.58240795855791,4.59652044942055e-06,0.000114934830161698
"ENSGALG00010000870",53.5929538426536,0.418836633687514,0.158663547252991,0.357558413861398,0.75190988145263,0.452105255298664,0.614079497647558
"ENSGALG00010000901",159.286165086783,3.0330421501688,2.75595312793859,0.668433520184668,4.77744438708393,NA,NA
"ENSGALG00010001033",5.58326559949444,-2.15435610224834,-0.811080232247156,1.36018010502136,-2.36895471684372,0.0178384373680096,0.0625889932785646
"ENSGALG00010001057",58.2651911812108,1.10635780205618,0.885452603414594,0.396670603053357,2.94339629452692,0.00324632566479443,0.0178192721364176
"ENSGALG00010001058",15.2674403133112,0.124116467763353,0.0433885370104685,0.340843709678783,0.214136332923044,0.830440743293304,0.899113117721573
"ENSGALG00010001059",365.087270901295,1.17968090201878,1.11028598059964,0.226772272206975,5.29518601064515,1.18895322490043e-07,5.64235069462506e-06
"ENSGALG00010001065",39.2806023979095,-1.92002918265868,-1.29197531676481,0.859414263519699,-2.77076384391408,0.00559249710426034,0.0267407660328672
"ENSGALG00010001069",24.1682445919499,0.0557774950393215,0.0159443042285634,0.35874576958027,0.0800371850167413,0.936207681455447,0.962707576347877
"ENSGALG00010001075",11.9023127512303,0.00803852386257265,0.00185465399869759,0.379535656928074,0.00894008299631564,0.992866940823462,0.995765454454095
"ENSGALG00010001194",204.12444187609,1.34052316090499,1.28093653961169,0.219041702911162,6.20626720179081,5.42578962287848e-10,5.71625022735657e-08
"ENSGALG00010001196",12.3145604559488,-3.38246746028259,-2.43620290115589,1.35311571646741,-2.99870272034899,0.00271131715813507,0.0155524301451936
"ENSGALG00010001198",1327.03601112199,-0.0772481902582092,-0.0597888460031012,0.197834878840953,-0.345537755642178,0.729690131201714,0.831621840272957
"ENSGALG00010001200",855.290705436217,-0.594128185922658,-0.461196656740649,0.275595945526316,-2.08563296318622,0.0370118830668627,0.106364573214335
"ENSGALG00010001202",33.0333971786337,3.40040516728852,2.07361412498804,2.05205912526643,2.85041912089839,0.00436616530909141,0.0222084746361211
"ENSGALG00010001208",11.8699388794551,-0.493781327473805,-0.145961204585222,0.377242027415742,-0.74350027936318,0.457178852449768,0.618435646997207
"ENSGALG00010001210",17.4000790269528,1.72508794651287,1.45207352946102,0.515297349516725,3.5884919090804,0.00033259631318403,0.00323049756438059
"ENSGALG00010001214",207.973887274589,-0.696441608225271,-0.524045678244237,0.313949410246388,-2.17789078387393,0.0294141688129042,0.0898921117289354
"ENSGALG00010001219",164.71120990383,0.702815335691824,0.477724284460322,0.353398979641918,1.90074568973319,0.057335330852687,0.145206016330881
"ENSGALG00010001220",1587.45902705206,-0.00718534985228288,-0.00540952604663219,0.185772150651809,-0.0346552107099771,0.972354676130766,0.984124564294511
