"Pathway_ID","Description","Species","PNG_File","PDF_File"
"gga04820","Cytoskeleton in muscle cells","gga","pathview/gga04820.logFC_cytoskeleton_in_muscle_cells_labeled.png","pathview/gga04820.logFC_cytoskeleton_in_muscle_cells.pdf"
"gga04814","Motor proteins","gga","pathview/gga04814.logFC_motor_proteins_labeled.png","pathview/gga04814.logFC_motor_proteins.pdf"
"gga04510","Focal adhesion","gga","pathview/gga04510.logFC_focal_adhesion_labeled.png","pathview/gga04510.logFC_focal_adhesion.pdf"
"gga04270","Vascular smooth muscle contraction","gga","pathview/gga04270.logFC_vascular_smooth_muscle_contraction_labeled.png","pathview/gga04270.logFC_vascular_smooth_muscle_contraction.pdf"
"gga04512","ECM-receptor interaction","gga","pathview/gga04512.logFC_ecm_receptor_interaction_labeled.png","pathview/gga04512.logFC_ecm_receptor_interaction.pdf"
"gga04518","Integrin signaling","gga","pathview/gga04518.logFC_integrin_signaling_labeled.png","pathview/gga04518.logFC_integrin_signaling.pdf"
"gga04020","Calcium signaling pathway","gga","pathview/gga04020.logFC_calcium_signaling_pathway_labeled.png","pathview/gga04020.logFC_calcium_signaling_pathway.pdf"
"gga04517","IgSF CAM signaling","gga","pathview/gga04517.logFC_igsf_cam_signaling_labeled.png","pathview/gga04517.logFC_igsf_cam_signaling.pdf"
"gga00564","Glycerophospholipid metabolism","gga","pathview/gga00564.logFC_glycerophospholipid_metabolism_labeled.png","pathview/gga00564.logFC_glycerophospholipid_metabolism.pdf"
"gga04514","Cell adhesion molecule (CAM) interaction","gga","pathview/gga04514.logFC_cell_adhesion_molecule_cam_interaction_labeled.png","pathview/gga04514.logFC_cell_adhesion_molecule_cam_interaction.pdf"
