"ENTREZID","gene_label","Avg_LogFC","Avg_Padj","N_Records","Direction"
"768904","DPT",-22.7554026878243,1.4973439577448e-110,1,"Down"
"418657","MXRA5",-19.5481531841336,2.52401531179195e-81,1,"Down"
"373996","CAV1",-19.1505323816242,3.76886452964033e-78,1,"Down"
"396340","COL3A1",-18.8355347802503,1.02134584263418e-75,1,"Down"
"421058","EMILIN2",-18.829515623733,1.02134584263418e-75,1,"Down"
"428199","ANTXR1",-17.9522351169646,9.06733370378545e-69,1,"Down"
"416553","PKD1",-17.6655479157148,1.30258652908961e-66,1,"Down"
"404536","ADIPOQ",-17.3511944732511,2.84996512590991e-64,1,"Down"
"428435","CREB5",-17.26204415806,1.19118260232687e-63,1,"Down"
"769237","ABI3BP",-17.1409025503077,8.67457161882246e-63,1,"Down"
"415669","TPPP3",-17.112216549786,1.29105134033173e-62,1,"Down"
"428321","KANK3",-16.82750461688,1.50902004000332e-60,1,"Down"
"396292","COL6A2",-16.6646621893767,2.14998672622591e-59,1,"Down"
"769957","ISLR",-16.5785721383672,8.3934542524733e-59,1,"Down"
"422473","DCLK2",-16.5168680605544,2.18286470859364e-58,1,"Down"
"396000","COL6A1",-16.3284652142694,4.56756541552532e-57,1,"Down"
"771003","CAMKK1",-16.3047652703271,6.33760139293623e-57,1,"Down"
"373952","NBL1",-16.0438052181441,4.14137403618807e-55,1,"Down"
"428888","LTBP2",-15.8504202960634,8.67408380042945e-54,1,"Down"
"395333","MOXD1",-15.7051376660397,8.23039596160369e-53,1,"Down"
"418839","ENOX1",-15.6731505624244,1.297360367214e-52,1,"Down"
"769989","C1QTNF5",-15.5672098747482,6.52311592173301e-52,1,"Down"
"396441","ELN",-15.4225755064925,5.92196031627254e-51,1,"Down"
"395176","EBF2",-15.3944465115427,8.7700659672222e-51,1,"Down"
"418889","LHFPL1",-15.2931542672829,4.00960136077911e-50,1,"Down"
"430666","CILP2",-15.18134030879,2.13378904147948e-49,1,"Down"
"424050","HECW2",-14.9197228130191,1.07219074907195e-47,1,"Down"
"396548","COL6A3",-14.8633627625349,2.40217784449234e-47,1,"Down"
"418143","TMTC1",-14.6590395396831,4.7993161006446e-46,1,"Down"
"396006","PTRF",-14.6291798814867,7.19841182944934e-46,1,"Down"
"416271","MYOZ3",-14.622239033516,7.71414497659689e-46,1,"Down"
"770421","SYNPO",-14.622239033516,7.71414497659689e-46,1,"Down"
"374137","MEOX2",-14.5856952789929,1.27747444319177e-45,1,"Down"
"420384","AQP1",-14.4744736681954,6.28242803541025e-45,1,"Down"
"423805","MYOF",-14.4567534026768,7.88886001606941e-45,1,"Down"
"395643","PDLIM4",-14.0340122346031,3.16464195478008e-42,1,"Down"
"418625","ASB9",13.8532942130749,3.87581524179708e-41,1,"Up"
"395349","FSTL1",-13.7444961800346,1.70676404031983e-40,1,"Down"
"423611","MMRN2",-13.4966083866895,4.95509416985212e-39,1,"Down"
"373992","FBN1",-13.485769721369,5.59637821577109e-39,1,"Down"
"395774","GSN",-13.4596731856285,7.77516437599222e-39,1,"Down"
"395451","CXCL14",-13.3749707935444,2.37970348486865e-38,1,"Down"
"419017","PRSS23",-13.3624286411911,2.75122322380433e-38,1,"Down"
"423448","HHIPL1",-13.3027463046985,5.98468378483101e-38,1,"Down"
"416130","FGD5",-13.1364933540028,5.33550088105088e-37,1,"Down"
"423105","CD151",-13.1216093934959,6.3530627543712e-37,1,"Down"
"395155","DPYSL2",-13.0728715408287,1.18158429284954e-36,1,"Down"
"771674","PROK2",-12.9916404638949,3.35545946173722e-36,1,"Down"
"418256","MFAP5",-12.959130701712,5.02423247776754e-36,1,"Down"
"771337","SOX7",-12.9365305469633,6.60890657429814e-36,1,"Down"
"395429","POSTN",-12.9197107183658,8.06352068432284e-36,1,"Down"
"395347","MXRA8",-12.8892376056145,1.17459156294182e-35,1,"Down"
"100859431","AEBP1",-12.8388916164118,2.16994533677609e-35,1,"Down"
"396314","PRRX2",-12.8297557266145,2.39721883270659e-35,1,"Down"
"416911","MN1",-12.7845923963307,4.2130634378277e-35,1,"Down"
"417400","C17orf67",12.7600006082978,5.67736127141143e-35,1,"Up"
"378912","RGS2",-12.7534841426797,6.06617599425507e-35,1,"Down"
"419031","VWF",-12.707573961854,1.07365949888731e-34,1,"Down"
"418479","ADAMTS1",-12.6936286428616,1.26170567817264e-34,1,"Down"
"395241","HOPX",-12.6745484233061,1.5831816598994e-34,1,"Down"
"420561","TFPI2",-12.4388255571844,3.06188721554052e-33,1,"Down"
"421589","FNDC1",-12.2015075523,5.71595082921022e-32,1,"Down"
"396023","DKK3",-12.1873185471018,6.69718513629552e-32,1,"Down"
"417766","CTTNBP2",-12.1708805945985,8.06645943925824e-32,1,"Down"
"427583","FBLN2",-12.1318114501552,1.28117528931689e-31,1,"Down"
"395722","CLU",-12.0959128508845,1.95528314210807e-31,1,"Down"
"420519","VIM",-12.0827286503563,2.2618523113788e-31,1,"Down"
"417217","DNM1",-12.0616063544692,2.88147876220951e-31,1,"Down"
"395891","CACNA1C",-11.947474866043,1.12840565919629e-30,1,"Down"
"770907","KCNMB2",-11.9213585875978,1.52266523841087e-30,1,"Down"
"429400","HOXC12",-11.9086438434892,1.7489660525909e-30,1,"Down"
"100858652","FOXP4",-11.8842399700247,2.31075444652925e-30,1,"Down"
"396496","DBN1",-11.8626696763883,2.95020336631838e-30,1,"Down"
