"Pathway_ID","Description","PNG_File","PDF_File"
"gga04820","Cytoskeleton in muscle cells","pathview/gga04820.logFC.png","pathview/gga04820.logFC.pdf"
"gga04814","Motor proteins","pathview/gga04814.logFC.png","pathview/gga04814.logFC.pdf"
"gga04510","Focal adhesion","pathview/gga04510.logFC.png","pathview/gga04510.logFC.pdf"
"gga04270","Vascular smooth muscle contraction","pathview/gga04270.logFC.png","pathview/gga04270.logFC.pdf"
"gga04512","ECM-receptor interaction","pathview/gga04512.logFC.png","pathview/gga04512.logFC.pdf"
"gga04518","Integrin signaling","pathview/gga04518.logFC.png","pathview/gga04518.logFC.pdf"
"gga04020","Calcium signaling pathway","pathview/gga04020.logFC.png","pathview/gga04020.logFC.pdf"
"gga04517","IgSF CAM signaling","pathview/gga04517.logFC.png","pathview/gga04517.logFC.pdf"
"gga00564","Glycerophospholipid metabolism","pathview/gga00564.logFC.png","pathview/gga00564.logFC.pdf"
"gga04514","Cell adhesion molecule (CAM) interaction","pathview/gga04514.logFC.png","pathview/gga04514.logFC.pdf"
