"","baseMean","log2FC","log2FC_shrunken","lfcSE_shrunken","stat","pvalue","padj"
"gene-LOC107049418",20.5248968167577,0.158439441449067,4.84601565292706e-07,0.00144269071345568,0.271529566644672,0.785983762662467,0.999928957884558
"gene-LOC124417607",46.6974830526342,0.483689093281544,2.45622372763446e-06,0.00144268884787902,1.06627376826733,0.286299903869077,0.999928957884558
"ENSGALG00010017689",166.744934711221,0.25503085093486,4.20701405378247e-06,0.00144267442962634,1.01397577839483,0.310594310179075,0.999928957884558
"gene-RNF212B",1101.15519380248,-0.584936181637355,-1.38449874674659e-06,0.00144269201198603,-0.892199387609112,0.372286070379088,0.999928957884558
"gene-LOC124418405",31.8133939037713,0.468719852710674,3.07533752221973e-06,0.00144268725904538,1.17631041283527,0.239470856255127,0.999928957884558
"gene-LOC121109254",193.51508302384,0.230678620352094,1.85708055620765e-06,0.00144268411821054,0.639874589960129,0.522254134800579,0.999928957884558
"gene-LOC101750931",34.2749426431023,-0.0469557058170336,-2.1909653926175e-07,0.00144268814188716,-0.100888616453901,0.91963887975257,0.999928957884558
"gene-LOC121107878",127.427144029505,0.388419367242149,8.22329866809852e-06,0.00144269475105987,1.06693747029495,0.286000073112267,0.999928957884558
"gene-LOC121108053",14.3514373186953,0.979578295238357,1.9923836924695e-06,0.00144269291909462,1.37592264025293,0.168845584995111,0.999928957884558
"gene-LOC112532981",9.51962629679429,-0.0554328041560455,-1.03654177968606e-07,0.00144269226186956,-0.0752008204722822,0.940054931562341,0.999928957884558
"gene-LOC107057089",88.7799962607899,0.31612056099923,3.77155753824145e-06,0.00144268038773927,1.06992214529229,0.2846543541225,0.999928957884558
"gene-LOC121109473",14.2905180519489,0.46349890165207,1.10010158974158e-06,0.00144269186486542,0.700291245111177,0.483745438124956,0.999928957884558
"gene-LOC121109475",8.08704012510148,-0.629753277253489,-7.37668208601212e-07,0.00144269346969947,-0.663546056336396,0.506980892684774,0.999928957884558
"gene-LOC121109477",8.12414335804696,0.201873187292448,3.505895457204e-07,0.00144269258201743,0.26020079497598,0.794708891074801,0.999928957884558
"gene-LOC107051625",13.4147389620488,0.0916429487135846,1.98289406889737e-07,0.00144269198640046,0.130483598150388,0.896183829976741,0.999928957884558
"gene-LOC121109078",66.4581386972667,-0.0697507982613131,-6.2708571830133e-07,0.00144268198834907,-0.206291549038769,0.836563179458821,0.999928957884558
"gene-LOC107051628",103.242235337697,0.576835556355814,6.64987404177805e-06,0.00144268632724098,1.92491201311829,0.0542403667528205,0.999928957884558
"gene-LOC101752215",50.7050069378138,0.189044052104031,1.53101063946379e-06,0.00144268382531409,0.527578386743292,0.597791997361873,0.999928957884558
"gene-LOC121108798",35.4958039992992,0.57060818602324,3.51487336203771e-06,0.0014426892571932,1.3154493128828,0.188358941677198,0.999928957884558
"gene-LOC112533030",16.5014428585695,0.0796464911029555,2.09145647723424e-07,0.00144269131621714,0.125442498413675,0.900173244942303,0.999928957884558
"gene-LOC121108850",22.7176794547852,0.222889240755112,7.40706194459153e-07,0.00144269037102073,0.39793925234559,0.69067496510227,0.999928957884558
"gene-C12orf40",37.2240186066187,0.548531140853576,2.41755255764724e-06,0.00144268977465979,1.12668794349037,0.259874441700778,0.999928957884558
"gene-LOC107049700",70.172033793574,0.021441144142162,1.09979739081871e-07,0.00144268842181202,0.0450018828467054,0.964105808181772,0.999928957884558
"gene-LOC124417103",14.4402498435369,-0.215451216749651,-6.35444918626446e-07,0.00144269081814999,-0.365449945661684,0.714775564242014,0.999928957884558
"gene-LOC112533174",20.88389551052,0.385602391622324,4.81806385115033e-07,0.00144269331020821,0.42045666531741,0.674151880110067,0.999928957884558
"gene-LOC100859665",8.00153910424755,-0.54106582207306,-7.44552000727706e-07,0.00144269341493492,-0.5856391994109,0.558118000305577,0.999928957884558
"gene-LOC101747342",8.01567154633418,0.160666329783967,2.23164638890714e-07,0.00144269306208546,0.184163002325863,0.853885582876967,0.999928957884558
