Geneid,SYMBOL_display,SYMBOL_raw,HOX_cluster,HOX_num,Ensembl_GeneID,NCBI_GeneID
3598,HOXA1,HOXA1,A,1,,
3599,HOXA2,HOXA2,A,2,,
3600,HOXA3,HOXA3,A,3,,
3601,HOXA4,HOXA4,A,4,,
3602,HOXA5,HOXA5,A,5,,
3603,HOXA6,HOXA6,A,6,,
3604,HOXA7,HOXA7,A,7,,
3605,HOXA9,HOXA9,A,9,,
3606,HOXA10,HOXA10,A,10,,
254,HOXA10-AS,HOXA10-AS,A,10,,
3607,HOXA11,HOXA11,A,11,,
3608,HOXA13,HOXA13,A,13,,
13610,HOXB1,HOXB1,B,1,,
13609,HOXB2,HOXB2,B,2,,
13607,HOXB3,HOXB3,B,3,,
13608,HOXB4,HOXB4,B,4,,
13606,HOXB5,HOXB5,B,5,,
13605,HOXB6,HOXB6,B,6,,
13604,HOXB7,HOXB7,B,7,,
13603,HOXB8,HOXB8,B,8,,
14180,HOXC8,HOXC8,C,8,,
14181,HOXC9,HOXC9,C,9,,
14182,HOXC10,HOXC10,C,10,,
14183,HOXC11,HOXC11,C,11,,
14184,HOXC12,HOXC12,C,12,,
14185,HOXC13,HOXC13,C,13,,
7954,HOXD1,HOXD1,D,1,,
7955,HOXD3,HOXD3,D,3,,
7956,HOXD4,HOXD4,D,4,,
7957,HOXD8,HOXD8,D,8,,
7958,HOXD9,HOXD9,D,9,,
7960,HOXD10,HOXD10,D,10,,
7961,HOXD11,HOXD11,D,11,,
7962,HOXD12,HOXD12,D,12,,
7963,HOXD13,HOXD13,D,13,,
14269,GDF11,GDF11,Other,,,
