HOX_cluster,HOX_num,slot_symbol,in_annotation,ann_hits,status,mean_norm
A,1,HOXA1,TRUE,gene-HOXA1,plotted_in_schematic,362.723722634889
A,2,HOXA2,TRUE,gene-HOXA2,plotted_in_schematic,607.148431517775
A,3,HOXA3,TRUE,gene-HOXA3,plotted_in_schematic,1070.31154800203
A,4,HOXA4,TRUE,gene-HOXA4,plotted_in_schematic,692.821447309334
A,5,HOXA5,TRUE,gene-HOXA5,plotted_in_schematic,477.787551559964
A,6,HOXA6,TRUE,gene-HOXA6,plotted_in_schematic,177.625629561381
A,7,HOXA7,TRUE,gene-HOXA7,plotted_in_schematic,1224.72326165623
A,8,HOXA8,FALSE,"",missing_in_annotation,
A,9,HOXA9,TRUE,gene-HOXA9,plotted_in_schematic,2508.12319209078
A,10,HOXA10,TRUE,gene-HOXA10,present_expr_not_plotted,996.804027058148
A,11,HOXA11,TRUE,gene-HOXA11,plotted_in_schematic,925.344396198091
A,12,HOXA12,FALSE,"",missing_in_annotation,
A,13,HOXA13,TRUE,gene-HOXA13,plotted_in_schematic,86.9214425475907
B,1,HOXB1,TRUE,gene-HOXB1,plotted_in_schematic,370.051832921262
B,2,HOXB2,TRUE,gene-HOXB2,plotted_in_schematic,131.877943640423
B,3,HOXB3,TRUE,gene-HOXB3,plotted_in_schematic,1635.08646076836
B,4,HOXB4,TRUE,gene-HOXB4,plotted_in_schematic,976.827460535372
B,5,HOXB5,TRUE,gene-HOXB5,plotted_in_schematic,1722.78738740599
B,6,HOXB6,TRUE,gene-HOXB6,plotted_in_schematic,2524.91405008108
B,7,HOXB7,TRUE,gene-HOXB7,plotted_in_schematic,35.1055152453252
B,8,HOXB8,TRUE,gene-HOXB8,plotted_in_schematic,362.819017992474
B,9,HOXB9,FALSE,"",missing_in_annotation,
B,10,HOXB10,FALSE,"",missing_in_annotation,
B,11,HOXB11,FALSE,"",missing_in_annotation,
B,12,HOXB12,FALSE,"",missing_in_annotation,
B,13,HOXB13,FALSE,"",missing_in_annotation,
C,1,HOXC1,FALSE,"",missing_in_annotation,
C,2,HOXC2,FALSE,"",missing_in_annotation,
C,3,HOXC3,FALSE,"",missing_in_annotation,
C,4,HOXC4,FALSE,"",missing_in_annotation,
C,5,HOXC5,FALSE,"",missing_in_annotation,
C,6,HOXC6,FALSE,"",missing_in_annotation,
C,7,HOXC7,FALSE,"",missing_in_annotation,
C,8,HOXC8,TRUE,gene-HOXC8,plotted_in_schematic,399.058790000999
C,9,HOXC9,TRUE,gene-HOXC9,plotted_in_schematic,649.333898790001
C,10,HOXC10,TRUE,gene-HOXC10,plotted_in_schematic,2533.51764592367
C,11,HOXC11,TRUE,gene-HOXC11,plotted_in_schematic,400.465171960408
C,12,HOXC12,TRUE,gene-HOXC12,plotted_in_schematic,427.9008046537
C,13,HOXC13,TRUE,gene-HOXC13,plotted_in_schematic,122.203449222597
D,1,HOXD1,TRUE,gene-HOXD1,plotted_in_schematic,973.191061067475
D,2,HOXD2,FALSE,"",missing_in_annotation,
D,3,HOXD3,TRUE,gene-HOXD3,plotted_in_schematic,1369.92549897436
D,4,HOXD4,TRUE,gene-HOXD4,plotted_in_schematic,19.5337668097453
D,5,HOXD5,FALSE,"",missing_in_annotation,
D,6,HOXD6,FALSE,"",missing_in_annotation,
D,7,HOXD7,FALSE,"",missing_in_annotation,
D,8,HOXD8,TRUE,gene-HOXD8,plotted_in_schematic,1102.28261197613
D,9,HOXD9,TRUE,gene-HOXD9,plotted_in_schematic,574.493468058763
D,10,HOXD10,TRUE,gene-HOXD10,plotted_in_schematic,953.893655196875
D,11,HOXD11,TRUE,gene-HOXD11,plotted_in_schematic,577.889532313097
D,12,HOXD12,TRUE,gene-HOXD12,plotted_in_schematic,207.049113003821
D,13,HOXD13,TRUE,gene-HOXD13,plotted_in_schematic,116.993008706937
