"ENTREZID","gene_label","Avg_LogFC","Avg_Padj","N_Records","Direction"
"396340","COL3A1",-20.1013656523373,1.13450746437814e-85,1,"Down"
"373996","CAV1",-19.4709796717203,1.52921362833486e-80,1,"Down"
"418657","MXRA5",-19.2708969013647,4.96676738608234e-79,1,"Down"
"768904","DPT",-18.7243145430248,1.23928372446709e-74,1,"Down"
"416553","PKD1",-17.3489778273328,6.34601524993597e-64,1,"Down"
"428321","KANK3",-17.2711916935829,2.04187643347188e-63,1,"Down"
"373952","NBL1",-17.0018150009074,1.79739327055341e-61,1,"Down"
"415669","TPPP3",-16.843030575013,2.33160497900931e-60,1,"Down"
"404536","ADIPOQ",-16.7630623401824,7.98216614608973e-60,1,"Down"
"428199","ANTXR1",-16.4026337806296,2.89390450303269e-57,1,"Down"
"396292","COL6A2",-16.3181358685613,1.05364609795224e-56,1,"Down"
"421058","EMILIN2",-16.2343942447908,3.79374253273077e-56,1,"Down"
"769957","ISLR",-16.1032306341815,2.94331441801177e-55,1,"Down"
"418889","LHFPL1",-16.0610959525661,5.39593149803874e-55,1,"Down"
"396000","COL6A1",-15.765470004961,5.66493520954378e-53,1,"Down"
"769237","ABI3BP",-15.7272766233893,9.51085282020865e-53,1,"Down"
"395176","EBF2",-15.724775682355,9.51085282020865e-53,1,"Down"
"428888","LTBP2",-15.6925594711281,1.49301618037975e-52,1,"Down"
"100857892","LOC100857892",-15.4192958053417,1.00990417069426e-50,1,"Down"
"428435","CREB5",-15.0360863902335,3.29338594761644e-48,1,"Down"
"395155","DPYSL2",-15.032986756295,3.29338594761644e-48,1,"Down"
"771003","CAMKK1",-15.0312196524594,3.29338594761644e-48,1,"Down"
"430666","CILP2",-14.8028828193351,9.64234542729422e-47,1,"Down"
"396548","COL6A3",-14.5870673865295,2.23533389244768e-45,1,"Down"
"396441","ELN",-14.5554435980739,3.40933488794349e-45,1,"Down"
"421884","DST",-14.2884550119137,1.56982077566302e-43,1,"Down"
"396006","PTRF",-14.2766260334655,1.79138538362764e-43,1,"Down"
"374137","MEOX2",-14.2438294183205,2.76374493042763e-43,1,"Down"
"420384","AQP1",-14.2179159476997,3.86541859274102e-43,1,"Down"
"416911","MN1",-13.8329638603045,8.21947961085786e-41,1,"Down"
"423105","CD151",-13.3915258276506,3.24555072401433e-38,1,"Down"
"771337","SOX7",-13.3845163466324,3.4618150937438e-38,1,"Down"
"416271","MYOZ3",-13.365624372148,4.25469928119169e-38,1,"Down"
"770421","SYNPO",-13.365624372148,4.25469928119169e-38,1,"Down"
"423448","HHIPL1",-13.3649315631489,4.25469928119169e-38,1,"Down"
"422473","DCLK2",-13.3300576715275,6.61069253718717e-38,1,"Down"
"418625","ASB9",13.2606819547531,1.62738023153922e-37,1,"Up"
"395349","FSTL1",-13.1689190877545,5.36818911490239e-37,1,"Down"
"423611","MMRN2",-13.1403421530351,7.6387946052989e-37,1,"Down"
"423805","MYOF",-13.0766508841215,1.72575165958451e-36,1,"Down"
"395774","GSN",-12.8943407108632,1.82256708953158e-35,1,"Down"
"395347","MXRA8",-12.8677067458794,2.51389091920142e-35,1,"Down"
"395333","MOXD1",-12.8570848629582,2.8187152017477e-35,1,"Down"
"769989","C1QTNF5",-12.8072682912828,5.24303092090111e-35,1,"Down"
"378912","RGS2",-12.7338701789384,1.28897104957506e-34,1,"Down"
"373992","FBN1",-12.7056618127067,1.8108308076058e-34,1,"Down"
"771674","PROK2",-12.6873989952813,2.23996888012321e-34,1,"Down"
"418256","MFAP5",-12.5708040100789,9.65879768996548e-34,1,"Down"
"395241","HOPX",-12.5657682788337,1.0092098711106e-33,1,"Down"
"395451","CXCL14",-12.5585670173402,1.08413159357871e-33,1,"Down"
"420519","VIM",-12.5204126134023,1.72146052400015e-33,1,"Down"
"101747860","LOC101747860",-12.5139992417717,1.83173655929059e-33,1,"Down"
"100859431","AEBP1",-12.4309331566614,5.1014827897501e-33,1,"Down"
"427583","FBLN2",-12.3049914258282,2.36062081026636e-32,1,"Down"
"396314","PRRX2",-12.2652299762206,3.7931686724478e-32,1,"Down"
"395643","PDLIM4",-12.2404004980563,5.06492129815593e-32,1,"Down"
"395429","POSTN",-12.2233997560505,6.14018420122445e-32,1,"Down"
"419017","PRSS23",-12.2050274885472,7.57015006386906e-32,1,"Down"
"418479","ADAMTS1",-12.1933058974942,8.60113667021344e-32,1,"Down"
"420553","ACCSL",12.1608757085266,1.25966112324854e-31,1,"Up"
"418143","TMTC1",-12.1268851935357,1.8788001978204e-31,1,"Down"
