"Pathway_ID","Description","Species","PNG_File","PDF_File"
"gga04210","Apoptosis","gga","pathview/gga04210.logFC_apoptosis.png","pathview/gga04210.logFC_apoptosis.pdf"
"ko04210","Apoptosis","ko","pathview/ko04210.logFC_apoptosis_ko.png","pathview/ko04210.logFC_apoptosis_ko.pdf"
"gga04216","Pyroptosis","gga","pathview/gga04216.logFC_pyroptosis.png","pathview/gga04216.logFC_pyroptosis.pdf"
"ko04216","Pyroptosis","ko","pathview/ko04216.logFC_pyroptosis_ko.png","pathview/ko04216.logFC_pyroptosis_ko.pdf"
"gga04217","Necroptosis","gga","pathview/gga04217.logFC_necroptosis.png","pathview/gga04217.logFC_necroptosis.pdf"
"ko04217","Necroptosis","ko","pathview/ko04217.logFC_necroptosis_ko.png","pathview/ko04217.logFC_necroptosis_ko.pdf"
"gga04216","Pyroptosis","gga","pathview/gga04216.logFC_pyroptosis.png","pathview/gga04216.logFC_pyroptosis.pdf"
"ko04216","Pyroptosis","ko","pathview/ko04216.logFC_pyroptosis_ko.png","pathview/ko04216.logFC_pyroptosis_ko.pdf"
"gga04066","HIF-1 signaling","gga","pathview/gga04066.logFC_hif_1_signaling.png","pathview/gga04066.logFC_hif_1_signaling.pdf"
"ko04066","HIF-1 signaling","ko","pathview/ko04066.logFC_hif_1_signaling_ko.png","pathview/ko04066.logFC_hif_1_signaling_ko.pdf"
"gga04370","VEGF signaling","gga","pathview/gga04370.logFC_vegf_signaling.png","pathview/gga04370.logFC_vegf_signaling.pdf"
"ko04370","VEGF signaling","ko","pathview/ko04370.logFC_vegf_signaling_ko.png","pathview/ko04370.logFC_vegf_signaling_ko.pdf"
"gga04512","ECM-receptor interaction","gga","pathview/gga04512.logFC_ecm_receptor_interaction.png","pathview/gga04512.logFC_ecm_receptor_interaction.pdf"
"ko04512","ECM-receptor interaction","ko","pathview/ko04512.logFC_ecm_receptor_interaction_ko.png","pathview/ko04512.logFC_ecm_receptor_interaction_ko.pdf"
"gga04510","Focal adhesion","gga","pathview/gga04510.logFC_focal_adhesion.png","pathview/gga04510.logFC_focal_adhesion.pdf"
"ko04510","Focal adhesion","ko","pathview/ko04510.logFC_focal_adhesion_ko.png","pathview/ko04510.logFC_focal_adhesion_ko.pdf"
"gga00590","Arachidonic acid metabolism","gga","pathview/gga00590.logFC_arachidonic_acid_metabolism.png","pathview/gga00590.logFC_arachidonic_acid_metabolism.pdf"
"ko00590","Arachidonic acid metabolism","ko","pathview/ko00590.logFC_arachidonic_acid_metabolism_ko.png","pathview/ko00590.logFC_arachidonic_acid_metabolism_ko.pdf"
"gga04380","Osteoclast differentiation","gga","pathview/gga04380.logFC_osteoclast_differentiation.png","pathview/gga04380.logFC_osteoclast_differentiation.pdf"
"ko04380","Osteoclast differentiation","ko","pathview/ko04380.logFC_osteoclast_differentiation_ko.png","pathview/ko04380.logFC_osteoclast_differentiation_ko.pdf"
"gga04382","Development and regeneration","gga","pathview/gga04382.logFC_development_and_regeneration.png","pathview/gga04382.logFC_development_and_regeneration.pdf"
"ko04382","Development and regeneration","ko","pathview/ko04382.logFC_development_and_regeneration_ko.png","pathview/ko04382.logFC_development_and_regeneration_ko.pdf"
"gga04350","TGF-beta signaling","gga","pathview/gga04350.logFC_tgf_beta_signaling.png","pathview/gga04350.logFC_tgf_beta_signaling.pdf"
"ko04350","TGF-beta signaling","ko","pathview/ko04350.logFC_tgf_beta_signaling_ko.png","pathview/ko04350.logFC_tgf_beta_signaling_ko.pdf"
"ko04380","Osteoclast differentiation (forced ko map)","ko","pathview/ko04380.logFC_osteoclast_forced_ko.png","pathview/ko04380.logFC_osteoclast_forced_ko.pdf"
