gene,Exp_1,Free_1,Free_2,Exp_2,Pygo_1,Exp_3,Exp_4,Free_3,Pygo_2,Free_4,Pygo_3,Pygo_4
A1CF,2628,0,4,45,4,21,21,6,3,0,0,12
A4GALT,192,681,1679,407,806,220,283,319,918,783,838,470
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,931,436,696,1117,869,652,627,935,1579,486,1324,637
AACS,2217,1419,1213,3657,1117,2468,2167,1601,1838,1269,2073,2461
AADAC,1661,312,349,622,512,397,238,366,823,406,812,348
AADACL3C,115,53,77,67,29,111,114,89,50,62,84,145
AADAT,1164,472,585,412,244,480,491,308,354,583,426,298
AAED1,515,313,587,354,79,560,487,281,151,611,510,347
AAGAB,1929,1426,1835,2029,1276,1306,1315,1477,2014,1582,1711,1400
AAK1,7449,4709,6473,9316,6087,5655,5671,6743,9905,4834,8274,6031
AAMDC,574,471,753,480,365,349,289,436,456,460,402,349
AAMP,853,571,811,918,760,543,545,754,1127,864,1078,835
AANAT,3,18,6,17,10,15,10,2,11,4,16,6
AAR2,1113,986,1260,1081,670,828,770,903,1003,1030,907,727
AARS1,2594,2271,3115,3172,3545,2230,2189,3200,4672,2719,3382,2477
AARS2,506,477,637,744,768,474,383,602,1310,592,908,664
AARSD1,782,613,981,830,689,617,455,755,858,946,953,939
AASDH,1213,901,1373,1320,604,987,902,757,833,1046,876,994
AASDHPPT,357,185,134,464,108,263,171,134,201,201,201,180
AASS,459,1403,1004,471,372,178,164,277,521,644,434,321
AATF,379,222,248,533,328,245,276,275,603,386,566,565
AATK,216,851,790,440,568,296,321,703,833,644,734,464
ABAT,11339,1374,1410,2302,1168,1486,1454,1228,1592,987,1888,1344
ABCA1,2690,3891,4374,5310,5429,5154,4419,3728,8962,3800,7648,3370
ABCA12,91,51,58,53,30,16,10,30,40,6,84,34
ABCA13,20,17,9,4,20,8,8,12,4,4,0,2
ABCA2,3030,2294,3526,3581,3161,2008,2258,3173,5225,2316,3407,2944
