"","Exp_1","Free_1","Free_2","Exp_2","Pygo_1","Exp_3","Exp_4","Free_3","Pygo_2","Free_4","Pygo_3","Pygo_4"
"HALLMARK_ADIPOGENESIS",0.451773452045793,0.416973653670051,0.368710378555184,0.338165364219279,0.412180309781496,0.341782921520543,0.334552151393933,0.368000222499574,0.393935273003227,0.383079780034523,0.379608466934692,0.367794690185968
"HALLMARK_ALLOGRAFT_REJECTION",0.0746008883077635,0.191548202120761,0.185658550586943,0.248699286463722,0.241972496839487,0.241327545795909,0.232465707378319,0.17155981208819,0.275210949561185,0.155921707458979,0.232674080543469,0.206114985971455
"HALLMARK_ANDROGEN_RESPONSE",0.537031031344173,0.489127011831065,0.475934331303994,0.536999239842043,0.501876533855523,0.542487597816728,0.539404244498714,0.503397180624701,0.508172774546782,0.480398551310346,0.534573628069167,0.526792351295349
"HALLMARK_ANGIOGENESIS",0.610792910803243,0.720689970600584,0.705650531714848,0.539875521387698,0.552008426904977,0.538435439285684,0.486244491704061,0.697140143718568,0.550407337909704,0.694072753764228,0.545377404231408,0.547307325531586
"HALLMARK_APICAL_JUNCTION",0.339035914964716,0.478980049387057,0.454260402339403,0.347798067115539,0.406712668453788,0.341377016662942,0.330318896035927,0.416144744851662,0.390345863200627,0.44757048688637,0.391532689335472,0.379557507317652
"HALLMARK_APICAL_SURFACE",0.285870807176368,0.19712377683613,0.182406093986321,0.154803619837872,0.219776723475962,0.150980719617143,0.150934867347851,0.186389653740818,0.224707690894587,0.200337901655876,0.204235865138788,0.142997924876862
"HALLMARK_APOPTOSIS",0.292541716255906,0.382204269988825,0.370201980214542,0.357151066346683,0.367458321074784,0.347992615730653,0.338656275996003,0.379799126101275,0.375898801746057,0.349573092820172,0.359877371438994,0.35579609319103
"HALLMARK_BILE_ACID_METABOLISM",0.340055069416751,0.0590952880483853,0.0477733715774977,0.0653763654825089,0.109197762737974,0.0707958392007723,0.071186478593142,0.0681805920722468,0.0910630907804639,0.0629637492553667,0.0702875152913335,0.0730520774102418
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.467507126096051,0.389632224364674,0.388864093241371,0.448512094107636,0.41240450736553,0.461172904416023,0.475561527487503,0.434993334193571,0.417382503626088,0.403466190054703,0.422272943376158,0.448174711435027
"HALLMARK_COAGULATION",0.276857010994811,0.321754666615681,0.337666007250404,0.216450826023728,0.255615294398415,0.223348827960846,0.210060685733924,0.323013538086776,0.263413155625627,0.307354326044303,0.239771291377709,0.22864580784987
"HALLMARK_COMPLEMENT",0.242913033132938,0.347497454507595,0.31629043484194,0.291279068979224,0.310828928245839,0.29326284553951,0.282356316190709,0.292406352513839,0.3369625154684,0.285919929629019,0.297455423011541,0.297770657161288
"HALLMARK_DNA_REPAIR",0.118522634896427,0.103976816508828,0.109775766232523,0.160900912927519,0.16992174899469,0.162578911238652,0.16588993302375,0.118683018823266,0.169092973077619,0.135919824030128,0.170244238636875,0.16648761918098
"HALLMARK_E2F_TARGETS",0.11074197127654,0.0247095950509039,0.0641946697440592,0.289751311982701,0.217651483044829,0.278489238613648,0.284990086664089,0.106445943264148,0.247225451983482,0.0963796558621486,0.244096768886631,0.202670783408078
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.502183901921865,0.729509673769609,0.751576050520936,0.551696082196207,0.609508084003599,0.558363096765913,0.530050697654076,0.726232793853501,0.59895841463205,0.73019429356183,0.62821649602046,0.607936043535449
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.294370573383504,0.302393227519367,0.330490512122742,0.242069226728464,0.282950759801289,0.231781452680589,0.247966911320607,0.315935901123358,0.268262447775573,0.319859059387859,0.272958630293476,0.28490427070411
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.260356978590932,0.258812436532714,0.275033744497547,0.212677113020486,0.23498700809426,0.210376037182795,0.212635302107063,0.268233200718705,0.236842924263842,0.266519845560902,0.237513754855357,0.232070313677266
"HALLMARK_FATTY_ACID_METABOLISM",0.422455777445469,0.243371357002948,0.192580765129712,0.187344917806623,0.233794474196924,0.191656662696125,0.184458044590665,0.197783847576942,0.214626621145025,0.206140499809155,0.200088042585634,0.183483718458289
"HALLMARK_G2M_CHECKPOINT",0.290122054648714,0.227174830929033,0.256344183955928,0.45347002707934,0.371037632694638,0.44888689845969,0.454658359388852,0.285764362535588,0.406069793425591,0.292554612641129,0.417372566887852,0.376694228814046
"HALLMARK_GLYCOLYSIS",0.414878262679952,0.33532032297163,0.342055294257239,0.388427151034739,0.380551739730934,0.382643150791695,0.390575043900052,0.400216070643724,0.376235540670109,0.363431659756304,0.370212178872864,0.375744678320781
"HALLMARK_HEDGEHOG_SIGNALING",0.317021686571727,0.383685172229367,0.324100504810091,0.23717668349159,0.26936012943983,0.260961188954756,0.27709433623876,0.326509742035296,0.26454302947784,0.327967502479812,0.256732026687735,0.260612066777557
"HALLMARK_HEME_METABOLISM",0.426818501918449,0.437100861408846,0.391001498771124,0.552379087560739,0.52690860203984,0.535147750490192,0.54275201397936,0.446366745247723,0.55397730530191,0.396608566779623,0.529782164777604,0.52017884547324
"HALLMARK_HYPOXIA",0.429203492025495,0.450290344956425,0.452095941184931,0.42092604635342,0.454609058273003,0.398328135420809,0.410940851747206,0.473139425234967,0.427627994290287,0.449954593240071,0.419386268466533,0.438637482883783
"HALLMARK_IL2_STAT5_SIGNALING",0.237756166928226,0.314079122470299,0.319931087840954,0.289333917478467,0.267912828584266,0.293747810593742,0.298746181992679,0.304016972466191,0.2830305229897,0.287564021353137,0.265818868312075,0.284772048653112
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0831438132797133,0.290029548325345,0.298661576143796,0.318478401075724,0.321995236686147,0.293296909622073,0.300024000896011,0.291610100701063,0.363987124737257,0.233588789034742,0.312301433586208,0.296667303279111
