"","E-2-29-33","E-3-29-33","E-4-34-38","E-4-39-49","E-6-29-33","E-6-34-38","E-6-39-49","E-7-34-38","E-7-39-49"
"gene-LOC107049418",28.321881237348,18.4475033628843,25.3157053886859,18.5974909888832,23.1110033654366,8.10711598581268,20.3292725413014,27.814444335202,14.6796541452651
"gene-LOC124417607",63.7242327840331,73.7900134515371,53.9334593063308,52.4111109686709,42.3701728366338,53.0080660610829,25.9762926916629,33.609120238369,21.4548791353874
"gene-RNF212B",134.528935877403,184.475033628843,188.216766150665,190.201612386306,188.739860817732,191.452662126499,125.363847338025,161.091990108045,136.633703967467
"gene-LOC124418405",510.805358030741,492.406435916988,788.088915578221,950.162721432034,428.323929039425,391.636064545412,1645.54167181534,2212.40725982919,2491.02438803498
"gene-LOC121109254",38.4368388221152,35.4759680055467,26.4163882316722,21.1335124873673,36.2072386058507,36.1702097828566,22.588080601446,39.4037961415361,30.4885124555505
"gene-LOC101750931",176.000261974949,112.104058897528,209.129740167405,258.674192845376,258.072870914042,269.405700451621,155.857756149978,166.886666011212,135.504499802447
"gene-LOC121107878",41.4713260975453,31.2188518448811,37.4232166615357,16.0614694903991,38.5183389423943,32.4284639432507,39.5291410525305,26.6555091545685,45.1681666008156
"gene-LOC121108053",207.356630487727,178.798878747955,67.1416534221669,97.2141574418896,171.021424904231,173.367557235071,64.3760297141212,92.7148144506732,94.8531498617127
"gene-LOC112532981",14.160940618674,5.67615488088747,33.0204852895903,18.5974909888832,6.16293423078309,21.8268507310341,11.294040300723,13.907222167601,4.51681666008156
"gene-LOC107057089",12.1379491017206,8.51423232133121,4.40273137194537,11.8347669929257,10.7851349038704,10.6016132122166,11.294040300723,11.5893518063342,4.51681666008156
"gene-LOC121109473",94.0691055383345,99.3327104155308,70.4437019511259,61.7098564631125,91.6736466828985,110.381502268373,72.2818579246273,103.145231076374,95.9823540267331
"gene-LOC121109475",12.1379491017206,8.51423232133121,8.80546274389074,8.45340499494692,13.0962352404141,19.3323535046302,10.1646362706507,26.6555091545685,21.4548791353874
"gene-LOC121109477",11.1264533432439,5.67615488088747,2.20136568597269,11.8347669929257,13.0962352404141,11.8488618254185,11.294040300723,2.31787036126683,3.38761249506117
"gene-LOC107051625",6.06897455086029,9.93327104155308,13.2081941158361,10.1440859939363,7.70366778847887,4.36537014620683,5.64702015036151,9.27148144506732,6.77522499012234
"gene-LOC121109078",8.09196606781372,11.3523097617749,15.4095598018088,22.8241934863567,18.4888026923493,13.7197347452215,4.51761612028921,13.907222167601,12.4212458152243
"gene-LOC107051628",66.7587200594632,36.8950067257686,57.2355078352898,61.7098564631125,59.3182419712873,73.5876681789151,93.740534496001,81.1254626443391,67.7522499012234
"gene-LOC101752215",118.345003741776,112.104058897528,103.464187240716,56.6378134661444,105.54024870216,144.680839131426,77.9288780749888,105.463101437641,105.015987346896
"gene-LOC121108798",43.4943176144988,48.2473164875435,62.7389220502215,32.968279480293,45.4516399520253,48.0190716082751,66.6348377742658,59.1056942123042,49.6849832608971
"gene-LOC112533030",57.6552582331728,32.637890565103,30.8191196036176,31.2775984813036,39.2887057212422,45.5245743818712,28.2351007518075,37.0859257802693,16.9380624753058
"gene-LOC121108850",27.3103854788713,25.5426969639936,6.60409705791806,16.9068099898938,18.4888026923493,12.4724861320195,6.77642418043381,20.8608332514015,13.5504499802447
"gene-C12orf40",43.4943176144988,28.3807744044374,17.6109254877815,16.0614694903991,21.5702698077408,16.8378562782263,9.03523224057841,25.4965739739351,25.971695795469
"gene-LOC107049700",62.7127370255564,43.9902003268779,19.8122911737542,22.8241934863567,46.2220067308732,57.3734362072897,31.6233128420244,30.1323146964688,20.325674970367
"gene-LOC124417103",117.333507983299,36.8950067257686,90.2559931248801,96.3688169423949,45.4516399520253,61.7388063534965,45.1761612028921,66.0593052961047,72.2690665613049
"gene-LOC112533174",8.09196606781372,11.3523097617749,17.6109254877815,15.2161289909045,14.6369687981098,11.8488618254185,24.8468886615906,15.0661573482344,11.2920416502039
"gene-LOC100859665",33.3793600297316,22.7046195235499,26.4163882316722,36.3496414782718,10.7851349038704,19.3323535046302,0,23.1787036126683,15.8088583102855
"gene-LOC101747342",4.04598303390686,2.83807744044374,9.90614558687708,3.38136199797877,13.866602019262,6.23624306600975,15.8116564210122,4.63574072253366,11.2920416502039
"gene-LOC112533188",9.10346182629044,17.0284646426624,11.0068284298634,9.29874549444161,9.24440134617464,6.23624306600975,3.3882120902169,2.31787036126683,4.51681666008156
"gene-LOC112533189",11.1264533432439,8.51423232133121,16.5102426447951,6.76272399595754,3.85183389423943,7.4834916792117,18.0704644811568,8.11254626443391,5.64602082510195
"gene-LOC121107432",10.1149575847672,8.51423232133121,11.0068284298634,0.845340499494692,6.93330100963098,8.10711598581268,6.77642418043381,9.27148144506732,16.9380624753058
"gene-LOC107052654",10.1149575847672,7.09519360110934,13.2081941158361,10.989426493431,3.08146711539155,4.9889944528078,9.03523224057841,6.95361108380049,0
"gene-LOC107052656",17.1954278941042,14.1903872022187,13.2081941158361,11.8347669929257,18.4888026923493,24.321347957438,13.5528483608676,11.5893518063342,15.8088583102855
"gene-LOC121106849",18.2069236525809,15.6094259224405,11.0068284298634,18.5974909888832,9.24440134617464,14.9669833584234,4.51761612028921,5.79467590316708,18.0672666403262
"gene-LOC121106856",18.2069236525809,8.51423232133121,19.8122911737542,11.8347669929257,9.24440134617464,18.7087291980293,18.0704644811568,16.2250925288678,9.03363332016312
"gene-LOC107052695",6.06897455086029,14.1903872022187,4.40273137194537,8.45340499494692,9.24440134617464,7.4834916792117,9.03523224057841,6.95361108380049,11.2920416502039
"gene-LOC101749506",16.1839321356274,15.6094259224405,12.1075112728498,10.1440859939363,22.3406365865887,21.2032264244332,9.03523224057841,18.5429628901346,23.7132874654282
"gene-LOC124417321",10.1149575847672,22.7046195235499,14.3088769588225,10.1440859939363,22.3406365865887,31.1812153300488,13.5528483608676,34.7680554190025,11.2920416502039
"gene-LOC121107711",14.160940618674,29.7998131246592,6.60409705791806,16.0614694903991,15.4073355769577,24.321347957438,1.1294040300723,16.2250925288678,22.5840833004078
"gene-LOC101750768",2.02299151695343,5.67615488088747,8.80546274389074,8.45340499494692,0,7.4834916792117,29.3645047818798,11.5893518063342,13.5504499802447
"gene-LOC121109402",13.1494448601973,8.51423232133121,2.20136568597269,1.69068099898938,23.1110033654366,13.7197347452215,13.5528483608676,11.5893518063342,6.77522499012234
"gene-LOC121109403",38.4368388221152,39.7330841662123,34.1211681325766,44.8030464732187,41.5998060577859,53.0080660610829,23.7174846315183,47.51634240597,29.3593082905301
"gene-LOC124417168",79.9081649196605,42.571161606656,81.4505303809894,30.4322579818089,77.8070446636365,53.6316903676839,74.5406659847719,54.4699534897705,75.6566790563661
"gene-LOC121109185",386.391379738105,397.330841662123,303.788464664231,437.041038238756,336.650282356526,347.358738776743,380.609158134366,361.587776357626,372.637374456729
"gene-LOC121109193",17.1954278941042,8.51423232133121,0,1.69068099898938,10.0147681250225,4.36537014620683,4.51761612028921,5.79467590316708,11.2920416502039
"gene-LOC107052751",20.2299151695343,21.285580803328,26.4163882316722,28.7415769828195,20.7999030288929,39.2883313158614,27.1056967217352,39.4037961415361,27.1008999604894
"gene-LOC121109495",29.3333769958248,19.8665420831062,6.60409705791806,12.6801074924204,19.2591694711972,20.5796021178322,15.8116564210122,9.27148144506732,15.8088583102855
"gene-LOC101747919",20.2299151695343,28.3807744044374,28.6177539176449,15.2161289909045,30.8146711539155,31.8048396366497,27.1056967217352,11.5893518063342,10.1628374851835
"gene-LOC124417663",249.839452343749,166.027530265959,269.667296531654,178.36684539338,185.658393702341,193.323535046302,191.998685112291,97.3505551732069,88.0779248715904
"gene-LOC101749281",156.781842563891,76.6280908919809,117.773064199539,117.502329429762,94.75511379829,99.1562647495551,138.916695698893,139.07222167601,110.662008171998
"gene-LOC101749434",111.264533432439,17.0284646426624,144.189452431211,201.191038879737,38.5183389423943,54.2553146742848,51.9525853833259,44.0395368640698,81.3026998814681
"gene-LOC101749704",28.321881237348,18.4475033628843,6.60409705791806,10.1440859939363,15.4073355769577,9.9779889056156,15.8116564210122,10.4304166257007,22.5840833004078
"gene-LOC121109290",16.1839321356274,17.0284646426624,2.20136568597269,5.07204299696815,6.16293423078309,2.4944972264039,13.5528483608676,13.907222167601,12.4212458152243
"gene-LOC121113460",30.3448727543015,28.3807744044374,50.6314107773718,47.3390679717027,18.4888026923493,26.192220877241,9.03523224057841,4.63574072253366,15.8088583102855
"gene-LOC112533329",69.7932073348934,93.6565555346433,396.245823475083,130.182436922183,93.2143802405943,145.928087744628,95.9993425561456,106.622036618274,36.1345332806525
"gene-LOC112533343",15.1724363771507,14.1903872022187,11.0068284298634,11.8347669929257,12.3258684615662,12.4724861320195,4.51761612028921,11.5893518063342,4.51681666008156
"gene-LOC101751742",121.379491017206,127.713484819968,126.578526943429,212.180465373168,139.436386971467,133.455601612609,135.528483608676,139.07222167601,178.414258073222
"gene-LOC112533355",23.2644024449645,14.1903872022187,5.50341421493171,0.845340499494692,6.93330100963098,6.85986737261073,4.51761612028921,15.0661573482344,3.38761249506117
"gene-LOC121109064",21.241410928011,15.6094259224405,11.0068284298634,29.5869174823142,13.866602019262,10.6016132122166,6.77642418043381,6.95361108380049,1.12920416502039
"gene-LOC121109065",8.09196606781372,17.0284646426624,0,1.69068099898938,9.24440134617464,6.23624306600975,4.51761612028921,9.27148144506732,2.25840833004078
"gene-LOC121109066",72.8276946103235,42.571161606656,39.6245823475083,23.6695339858514,59.3182419712873,59.8679334336936,31.6233128420244,32.4501850577356,11.2920416502039
"gene-LOC107052984",235.678511725075,272.455434282599,514.018887674622,757.425087547244,286.576441731414,340.498871404132,353.50346141263,516.885090562503,1001.60409437309
"gene-LOC112533381",14.160940618674,22.7046195235499,17.6109254877815,21.978852986862,6.16293423078309,13.0961104386205,6.77642418043381,9.27148144506732,4.51681666008156
"gene-LOC121109484",20.2299151695343,21.285580803328,3.30204852895903,5.91738349646284,14.6369687981098,11.8488618254185,18.0704644811568,10.4304166257007,14.6796541452651
