"","baseMean","log2FC","log2FC_shrunken","lfcSE_shrunken","stat","pvalue","padj"
"gene-LOC107049418",20.5248968167577,0.387954416158377,0.0208734379717653,0.136217941318218,0.666552304525968,0.505058143394574,0.797499256103692
"gene-LOC124417607",46.6974830526342,0.824491497630027,0.08015628330517,0.164921024422577,1.82519962209256,0.06797091082663,0.388410537271116
"gene-RNF212B",166.744934711221,0.161597728889177,0.0382353070065674,0.126328660160035,0.639111809074799,0.522750198166166,0.809449410840907
"gene-LOC124418405",1101.15519380248,-1.82918319204398,-0.0804428437600791,0.172597436110376,-2.7869290295254,0.00532101309291834,0.142074526774233
"gene-LOC121109254",31.8133939037713,0.577351358553686,0.0680845680321579,0.152508453019488,1.44629184818899,0.148095361219805,0.516715337395792
"gene-LOC101750931",193.51508302384,-0.00628724021868148,-0.00112685548944577,0.128682064408432,-0.0173768390656247,0.986135986114473,0.996147419808894
"gene-LOC121107878",34.2749426431023,0.16225565774117,0.0132315486880653,0.132885141005019,0.349263229347553,0.726891701047532,0.904264315329338
"gene-LOC121108053",127.427144029505,1.1170891013485,0.813869601735902,0.444486344798447,3.09126754124682,0.00199303968109341,0.0850062477012534
"gene-LOC112532981",14.3514373186953,-0.416357023086067,-0.013686827608162,0.136407539651476,-0.555648642788644,0.578451071538527,0.837222555841812
"gene-LOC107057089",9.51962629679429,0.183900941885707,0.00635469041271614,0.135542733550959,0.250462367157148,0.802229804036049,0.935585514900227
"gene-LOC121109473",88.7799962607899,0.313212883748119,0.0580442119183816,0.138905760463031,1.05540594378964,0.291239705651377,0.65489433391459
"gene-LOC121109475",14.2905180519489,-0.219538094498303,-0.00854769358384686,0.135361551103845,-0.321623141827511,0.747738209985049,0.912008409805822
"gene-LOC121109477",8.08704012510148,0.18380073865043,0.00409023566582129,0.136286793413274,0.198304097942879,0.842807145663869,0.952232634856162
"gene-LOC107051625",8.12414335804696,0.0425940865962456,0.00125667845519631,0.135651234160289,0.0541059987817767,0.956850712913829,0.987053174764911
"gene-LOC121109078",13.4147389620488,-0.072360258317846,-0.00262342646140892,0.13519610075282,-0.101887856289663,0.918845689074226,0.976759301492352
"gene-LOC107051628",66.4581386972667,-0.435350749532527,-0.0659072364141162,0.147433627491201,-1.26575950535244,0.205599197004209,0.580848147387683
"gene-LOC101752215",103.242235337697,0.494467986065442,0.105490511683881,0.173630486928618,1.64119153214819,0.100757662936439,0.449616885942805
"gene-LOC121108798",50.7050069378138,-0.114240323112533,-0.0141707161381041,0.129733240585574,-0.313634435199771,0.753798702716792,0.914905644734317
"gene-LOC112533030",35.4958039992992,0.758790626221814,0.0801796434284268,0.16380732616664,1.75127955896375,0.0798977669739129,0.410279938458128
"gene-LOC121108850",16.5014428585695,0.917793247565708,0.0449186226552133,0.14504977199774,1.4800559710709,0.138858310251609,0.507073515409805
"gene-C12orf40",22.7176794547852,0.870393653530594,0.0543743856791558,0.149028302109861,1.57820209218411,0.114519189769169,0.470835860503717
"gene-LOC107049700",37.2240186066187,1.03669158958384,0.0927246824890374,0.179111383264164,2.14642714591024,0.0318389154832022,0.298513036102882
"gene-LOC124417103",70.172033793574,-0.098543225875867,-0.00745155563287208,0.132588235140439,-0.20597792007379,0.836808158712001,0.949648272975645
"gene-LOC112533174",14.4402498435369,-0.576314675819006,-0.0288925666921247,0.138555555807998,-0.952212276088733,0.340989336390562,0.6927399426947
"gene-LOC100859665",20.88389551052,0.339721130689417,0.00755078576890909,0.136494258465373,0.36950514024596,0.711751242481092,0.898400964687737
"gene-LOC101747342",8.00153910424755,-0.489624399895536,-0.0105763963851291,0.136807752123014,-0.527872351445356,0.597587935883852,0.846404888303601
"gene-LOC112533188",8.01567154633418,0.994132718343201,0.0256782049331492,0.139485264209737,1.16861800544235,0.24255757057967,0.614082189784348
"gene-LOC112533189",9.56422327216351,-0.386501646974328,-0.0104470644973154,0.136397786826402,-0.471407189936944,0.637349982522407,0.86571537362307
"gene-LOC121107432",8.72308265907857,0.0788765556197785,0.00177539477515287,0.136212659794806,0.0858131515896042,0.93161495158914,0.979838959911009
"gene-LOC107052654",7.2741196319691,-0.0108470886846567,-0.000129322056040743,0.136572740737953,-0.0101528200127685,0.99189936083209,NA
"gene-LOC107052656",15.5766650369288,0.292177151489888,0.0162260000091125,0.135200657740451,0.510872631766529,0.609440246249435,0.851974105905135
"gene-LOC121106849",12.8901791513498,0.0436843972694055,0.00160552106761788,0.135289929852358,0.0603675044549553,0.951862939127053,0.985957894529402
"gene-LOC121106856",14.4056150016648,-0.104296452583526,-0.0049806394549481,0.134489849888699,-0.169896882626039,0.865091232784944,0.95991978259252
"gene-LOC107052695",8.56936401332671,0.0159624784030385,0.000636715278528676,0.135242888730886,0.0222957495054148,0.982212039444164,0.995596322613622
"gene-LOC101749506",16.542255659113,0.358246862271325,0.0180490345427329,0.135894360077421,0.595441789564189,0.551548198574373,0.825622358096615
"gene-LOC124417321",18.9341486008652,0.658838945968451,0.0334818685616995,0.1400351176145,1.09237970835058,0.274666238237551,0.641639538633338
"gene-LOC121107711",16.2548426317105,0.561299025802957,0.0143859765443548,0.137056570210494,0.661251298687857,0.508451168126264,0.799753529806626
"gene-LOC101750768",9.66064582048321,-2.89893337821558,-0.0534384800979689,0.152594978946655,-2.87611423339265,0.00402603979705434,0.123454287544705
"gene-LOC121109402",10.4782096816081,1.06376008639892,0.0230497209730496,0.139119122131394,1.15253527198562,0.249101184234669,0.619195547273762
"gene-LOC121109403",39.1439050045567,0.279140928163191,0.0306163113565388,0.134541324601734,0.697935073896853,0.485217798571586,0.78594899553828
"gene-LOC124417168",63.3853498279271,0.16700690160058,0.0153468864636915,0.132421932627832,0.383342825606323,0.70146558974997,0.894567670614564
"gene-LOC121109185",369.266117153912,-0.0922818771094672,-0.038027246252623,0.109840697435881,-0.552434312232112,0.580650827616531,0.837864563982604
"gene-LOC121109193",7.04275701770159,1.05497977267576,0.0183663687474139,0.138367894032311,1.02475611005855,0.305478280401545,NA
"gene-LOC107052751",27.8191209284299,-0.415763683814553,-0.0418304014437307,0.139203035403227,-0.988205465239596,0.323052032124944,0.677325079469872
"gene-LOC121109495",16.5794323771849,0.633753637645164,0.0327458854391832,0.139732636422849,1.05983731239738,0.289218618687931,0.653925701670875
"gene-LOC101747919",22.657996587371,0.602934114713448,0.0329314430542625,0.139555296103762,1.04017609149807,0.298258097098044,0.658402283093226
"gene-LOC124417663",180.034468715608,0.391655652589529,0.0438509335498152,0.139248356461315,0.982717812660907,0.32574634140046,0.679755636330607
"gene-LOC101749281",116.805292353324,-0.155926337152413,-0.025446223598399,0.128817210589072,-0.496805797703484,0.6193260063785,0.856093679033666
"gene-LOC101749434",82.6379961257324,-1.00143116495891,-0.0392232685435484,0.143345592503411,-1.46023974703081,0.144224195048351,0.513432895467524
"gene-LOC101749704",15.3032276090868,0.367696869471101,0.0193986920256861,0.135989793822858,0.626931894257692,0.530703879475558,0.814841479649714
"gene-LOC121109290",9.8916170291234,0.338182998290431,0.00793899015982844,0.136438719769286,0.379993506119997,0.703950235615133,0.895779573925966
"gene-LOC121113460",25.6507756389779,0.08086546415829,0.00240272973045888,0.135734312242731,0.101042754969544,0.919516520273502,0.976908535871414
"gene-LOC112533329",129.752933745233,-0.0356870783676117,-0.00218279045012643,0.133256632017932,-0.0676461418307825,0.946067323627679,0.985317295276965
"gene-LOC112533343",10.8473953536055,0.957095074585201,0.0389467505131018,0.142967658135611,1.39891367798373,0.161838870383458,0.532920094202716
"gene-LOC101751742",145.973213343973,-0.439361203408457,-0.15893799140803,0.203075020478418,-1.86150111680448,0.0626734430681523,0.378808253245323
"gene-LOC112533355",8.95201096749289,2.38126374804659,0.0520099402820543,0.151361410593283,2.53481049545396,0.0112508171339604,0.20022730823748
"gene-LOC121109064",12.974670824818,0.409753334966667,0.0097459340337031,0.136592476817772,0.460196483908202,0.645375194540849,0.869587339270362
"gene-LOC121109065",6.48214022411636,2.02742779671277,0.0308665112980211,0.141952550346703,1.8503117948953,0.0642686236304126,NA
"gene-LOC121109066",41.4716319450316,1.395569249077,0.946126029135489,0.631560659455365,2.95927416483329,0.00308364625819366,0.10975739494885
"gene-LOC107052984",475.405097857034,-1.41046845588268,-1.22904405795564,0.363912155877726,-4.18529261737603,2.84798980741407e-05,0.00649686886976155
"gene-LOC112533381",12.9199006190949,0.316701141680145,0.00926085800109195,0.136151186528557,0.397577358984974,0.690941752583868,0.892256542319471
"gene-LOC121109484",13.3779215415484,0.546586659537979,0.0213434559569041,0.137409605532243,0.798014108714337,0.424862302734282,0.751318631661658
"gene-LOC107052954",15.1883479451666,0.300281287339072,0.00955391936265566,0.136005339926991,0.394550876117652,0.693174373308776,0.893300179809405
"gene-LOC107053813",24.0710158531286,1.07562401694769,0.0624254025198982,0.15476740533547,1.86317882122152,0.0624371115454926,0.378470631087453
"gene-LOC124417604",17.530876998333,-0.320887335519907,-0.0143559228473801,0.135649554028562,-0.504242443943372,0.614091017627218,0.853559302196768
"gene-LOC121109326",12.8492199160736,-0.078914164943211,-0.00172060500151882,0.136173622057971,-0.0861321970081788,0.931361329210274,0.979838959911009
"gene-LOC121109327",143.754581044249,0.226263244218201,0.0692344935855859,0.132626420109782,1.02620592634258,0.304794528510627,0.663435943509614
"gene-LOC101748546",309.711549770203,0.0567190955466831,0.0185755636864209,0.113684157280652,0.289426301118301,0.772255170453218,0.921826136262835
"gene-LOC107053731",23.5607460437351,0.56150291123073,0.0372495650381854,0.140225938810843,1.06406290636528,0.287300203235661,0.652594662363243
"gene-LOC101749129",27.3642224382005,0.297795329136231,0.0128680629883101,0.135594549754306,0.457474934196027,0.647329714787025,0.870429238709784
"gene-LOC107053686",27.234023689554,-0.215105458429499,-0.0130126474385586,0.134307542463346,-0.398213172313079,0.690473057074918,0.892102524509352
"gene-LOC121109332",8.4583055064784,0.111374090061848,0.00263082945213513,0.136149470554759,0.124282615816199,0.901091511147993,0.973123080237584
"gene-LOC121109334",14.9001374720571,1.41251362286997,0.0531515797539779,0.150622691870273,1.98114388361554,0.047575140207787,0.341398532965751
"gene-LOC124417587",82.4664750403811,-1.64392821273789,-1.2455852603647,0.606161519450708,-3.27792686844774,0.00104572484326392,0.0619859576385099
"gene-LOC107053682",35.585394098378,1.4692333938064,0.105973259025961,0.199786924919026,2.64298002893565,0.00821798823849097,0.174759930676158
"gene-LOC121108499",7.44101265991354,-0.412734061636515,-0.00853555233699655,0.136659257544175,-0.433711293723892,0.66449810439422,NA
"gene-LOC107053630",45.3289543545128,0.288259021495574,0.0174862007060366,0.135037719108198,0.528408479855789,0.597215853164472,0.846273023501123
"gene-LOC107053589",173.375951760758,-0.0908815701120271,-0.0123552779344107,0.128617909088668,-0.262149821883038,0.793205937149708,0.9303834625374
"gene-LOC101749091",6.62617983640644,0.159221331385144,0.00229261991114951,0.136760538667025,0.138459254760882,0.889877469387338,NA
"gene-LOC112533502",8.92878257382166,0.264622160298394,0.00801082698698527,0.135965744383564,0.338426850600885,0.735041542745653,0.906863111402186
"gene-LOC121107117",29.8492246676343,0.259652326140673,0.0124135464592995,0.135182961455608,0.420000996019363,0.674484726079262,0.885511164618885
"gene-LOC121107114",27.1325145767964,0.717805467753084,0.0477588968845076,0.144985103738892,1.35932891155643,0.174042386475291,0.547281155131994
"gene-LOC121109113",81.1409140348931,0.458466034298221,0.0711690874241334,0.150559931018737,1.34631933929859,0.178199551503124,0.552051943915852
"gene-LOC121109120",23.958631426672,-0.77308095217029,-0.0205011766858146,0.138150673529938,-0.933789639228708,0.350412414991974,0.699651306101446
"gene-LOC121109132",10.3724094616333,0.412420887748472,0.00969615246288797,0.13659590558143,0.464818887210913,0.642061161022395,0.86837190813639
"gene-LOC112533565",9.44305312364797,0.239485958969107,0.00606247385893977,0.136157579673021,0.277673038322171,0.781263359282325,0.925468224811541
"gene-LOC121109483",21.3243689275575,1.02192898212046,0.0559859105379863,0.15076007139959,1.72711927859968,0.0841462439502412,0.418085442883909
"gene-LOC121109080",11.60439769051,0.376406795069237,0.0142287783077566,0.136158964175649,0.540655918179441,0.588744767772197,0.842327784455354
"gene-LOC107053437",33.0519891375147,-0.181722820023582,-0.0130586774355227,0.133486747772338,-0.365977405413729,0.714381935591262,0.899529598342884
"gene-LOC121107292",20.0993253444714,1.28287317877227,0.0776705249940423,0.167096867083562,2.21338556666363,0.0268710748816601,0.279979863957283
"gene-LOC121108239",24.9915706080817,0.952064969216003,0.0763698164957218,0.163461153465065,1.90040887153184,0.0573794835925331,0.365989551350646
"gene-LOC107053357",7.54599005685608,-0.0896892395821142,-0.00168448362181275,0.136379127919274,-0.0917199705093799,0.926920530100214,NA
"gene-LOC107053352",118.108181167094,0.27365763724609,0.044087699588602,0.13506207713663,0.848529453943488,0.396143176291861,0.73176868742774
"gene-LOC107054199",36.6058653749617,0.0713335576013077,0.00593342930104683,0.132122726264366,0.154730308945199,0.877033934661354,0.964615597944434
"gene-LOC101747667",16.4192858599451,0.545747893172921,0.0238454476599909,0.137635673114171,0.842695843363535,0.39939857248529,0.733013366456163
"gene-LOC101748166",34.803948953038,0.317361761336276,0.0286543025169954,0.13542558648186,0.717901877367234,0.472817790237776,0.778611337485698
"gene-LOC121108365",9.89849470559796,-0.923082994064586,-0.02816318253693,0.139840696177765,-1.18770105126773,0.234951209465535,0.606866633860647
"gene-LOC121109058",1954.20708847395,0.18894194991292,0.113276473589742,0.113465476709077,1.44204194978853,0.14929053969417,0.517788151493994
"gene-LOC107054089",55.0453923816004,0.161235464199734,0.0234999822006902,0.129852854697091,0.478650692297143,0.632187149067865,0.863011549042081
"gene-LOC121109063",12.4397977131286,1.74630680364936,0.0511447623901445,0.150234546249279,2.1832603140344,0.0290166453390183,0.289156269914616
"gene-LOC121107178",15.1981883383751,1.53191006544491,0.067377719742008,0.159980352240973,2.28178438279912,0.022502073258749,0.263477821000847
"gene-LOC107054014",12.6170623923591,-0.375565102882375,-0.016607207025663,0.136050866820811,-0.586798532748337,0.557339022354828,0.827707271707861
"gene-LOC107053999",14.680019230561,-0.68795606689707,-0.0206590834473667,0.137878262790002,-0.883907975476387,0.376745891543702,0.715587140478407
"gene-LOC107053991",30.4728224522622,-0.0670190693370187,-0.0040898923605882,0.133417037827641,-0.125437180010705,0.900177455159071,0.972703080100897
"gene-LOC121106764",51.8603590998205,-0.501436158577287,-0.0310117002091356,0.138356162203336,-0.925814615721435,0.35454233024335,0.702897841094913
"gene-LOC101751866",15.2148394328152,-0.0713582165186811,-0.00290089575465297,0.13485615194252,-0.107706358512721,0.914228625495515,0.976055273780089
"gene-LOC107054297",34.4177504333366,-0.21639513050516,-0.0174518532309443,0.133522826236707,-0.464397104851012,0.642363263954087,0.86837190813639
