,baseMean,log2FC,log2FC_shrunken,lfcSE_shrunken,stat,pvalue,padj
A2ML1,170.3042861,0.441971928,3.49E-06,0.001442686,1.21980981,0.222536982,0.999928958
A2ML3,27.36341354,0.366027722,1.46E-06,0.00144269,0.715329503,0.474405462,0.999928958
A2ML4,308.8988545,0.009453798,1.12E-07,0.001442679,0.030601589,0.975587275,0.999928958
A4GALT,74.52162751,-0.477595403,-9.49E-06,0.001442695,-1.540277012,0.123492845,0.999928958
AAAS,2519.364582,-0.116576058,-3.99E-06,0.001442648,-0.669509823,0.503170317,0.999928958
AACS,509.5235125,0.248150212,-4.63E-07,0.001442681,0.76858671,0.442138697,0.999928958
AADAC,16.78335254,0.004907974,-8.46E-07,0.001442691,0.008190074,0.993465339,0.999928958
AADACL3C,22.70690621,-0.415513001,-1.04E-06,0.001442692,-0.655717192,0.512006105,0.999928958
AADAT,272.2577499,0.048714037,1.26E-06,0.001442658,0.241750917,0.808973173,0.999928958
AAED1,95.12702937,0.022971432,2.18E-07,0.001442682,0.068011792,0.945776247,0.999928958
AAGAB,2177.759398,-0.12693022,-6.20E-06,0.001442631,-0.87071776,0.383908279,0.999928958
AAK1,1624.475978,0.016752008,3.93E-07,0.001442662,0.078311725,0.937580091,0.999928958
AAMDC,327.8214072,-0.044090464,-7.71E-07,0.00144267,-0.182077332,0.855522038,0.999928958
AAMP,1017.395048,0.070079905,3.86E-06,0.001442618,0.509067173,0.61070514,0.999928958
AAR2,1142.81569,-0.157951941,-4.36E-06,0.001442659,-0.81480556,0.415183618,0.999928958
AARS1,5137.366387,-0.269492179,-1.13E-05,0.001442657,-1.712776289,0.086753704,0.999928958
AARS2,532.808702,0.014476973,4.35E-07,0.001442653,0.076847831,0.938744599,0.999928958
AARSD1,559.5325003,-0.161850073,-5.20E-06,0.001442653,-0.900728179,0.367732862,0.999928958
AASDH,587.5891462,0.100221407,2.80E-05,0.001442784,0.54372784,0.586628772,0.999928958
AASDHPPT,131.6231894,-0.077937815,-1.04E-06,0.001442676,-0.279852765,0.779590468,0.999928958
AASS,252.504721,0.271135309,4.65E-06,0.001442674,1.100460708,0.27113144,0.999928958
AATF,1060.704449,-0.11124443,-4.40E-06,0.001442641,-0.686419063,0.492448887,0.999928958
AATK,157.3205709,0.423004976,8.11E-06,0.001442679,1.816076496,0.069358639,0.999928958
ABAT,742.9390447,-0.195502105,-7.92E-06,0.001442648,-1.220970734,0.222097101,0.999928958
ABCA1,1347.073978,0.007419074,2.90E-07,0.001442641,0.044575083,0.964446004,0.999928958
ABCA12,13.87829686,-0.844392857,-1.99E-06,0.001442692,-1.275404287,0.202166182,0.999928958
ABCA13,10.47972416,0.045179478,8.04E-08,0.001442693,0.05762182,0.954049868,0.999928958
ABCA2,1048.894678,0.049705092,1.05E-06,0.001442665,0.223100944,0.823456943,0.999928958
ABCA3,1450.025399,0.069432345,2.20E-06,0.00144265,0.382323612,0.702221343,0.999928958
ABCA4,61.65009555,-0.799785053,-5.11E-06,0.001442691,-1.997864211,0.045731384,0.999928958
ABCA5,498.1420425,0.221703041,3.57E-06,0.001442674,0.870405829,0.384078662,0.999928958
ABCA7,17.55943684,0.421115735,1.17E-06,0.001442691,0.686558191,0.492361182,0.999928958
ABCA8,16.30615548,-0.615335407,-1.18E-06,0.001442693,-0.838544399,0.401725023,0.999928958
ABCA9,30.78219138,0.82891378,3.02E-06,0.001442692,1.559895182,0.118784653,0.999928958
ABCB1,10.01333157,0.92504901,1.23E-06,0.001442693,1.049556133,0.293922235,0.999928958
ABCB10,493.3037824,-0.024976935,-1.09E-06,0.001442632,-0.162624557,0.87081405,0.999928958
ABCB11,77.16197908,-0.17412057,-1.51E-06,0.001442683,-0.503174339,0.614841705,0.999928958
ABCB1LA,12.85944467,-0.954111515,-2.58E-06,0.001442692,-1.53726644,0.124228076,0.999928958
ABCB6,252.7718403,-0.011145486,-6.36E-08,0.001442686,-0.028024267,0.977642797,0.999928958
ABCB7,1409.527434,0.087785806,3.36E-06,0.001442642,0.531657487,0.594963241,0.999928958
ABCB8,998.6991738,-0.150685556,-2.20E-06,0.001442675,-0.565789759,0.571536709,0.999928958
ABCB9,31.9381096,0.706670608,3.04E-06,0.001442691,1.441914716,0.149326434,0.999928958
ABCC1,1094.683112,-0.019745436,-5.61E-07,0.001442653,-0.104148025,0.917051879,0.999928958
ABCC10,403.0377563,0.086691777,1.55E-06,0.00144267,0.358556422,0.719926952,0.999928958
ABCC13,196.9173955,0.283107607,3.36E-06,0.00144268,0.955458995,0.339345632,0.999928958
ABCC2,11.61124905,0.798659474,1.27E-06,0.001442693,0.991516847,0.32143327,0.999928958
ABCC3,633.4495948,0.182860438,4.27E-06,0.001442665,0.865228478,0.386913398,0.999928958
ABCC4,438.9156858,-0.04059575,-8.02E-07,0.001442666,-0.177862478,0.858830979,0.999928958
ABCC5,689.4673632,0.191583629,5.35E-06,0.00144266,0.991166873,0.321604103,0.999928958
ABCC6,99.28881489,0.079629139,5.85E-07,0.001442685,0.210036358,0.833639297,0.999928958
ABCC8,296.0855474,0.226632269,1.13E-06,0.001442688,0.494823839,0.620724476,0.999928958
