baseMean,log2FC,log2FC_shrunken,lfcSE_shrunken,stat,pvalue,padj,Geneid,SYMBOL_display,contrast
171.7550416,0.265531706,3.5e-06,0.001442678,0.943906988,0.345217181,0.999928958,gene-GDF11,GDF11,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
362.7237226,-0.511121526,-3.39e-06,0.001442688,-1.297745976,0.194374639,0.999928958,gene-HOXA1,HOXA1,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
996.8040271,0.550112228,1.1e-05,0.001442688,2.423244996,0.015382549,0.678527063,gene-HOXA10,HOXA10,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
595.6179854,-0.168036791,-2.55e-06,0.001442674,-0.643481553,0.519911681,0.999928958,gene-HOXA10-AS,HOXA10-AS,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
925.3443962,-1.006119173,-9.77e-07,0.001442694,-0.998388347,0.318091082,0.999928958,gene-HOXA11,HOXA11,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
86.92144255,-4.355880807,-2.09e-06,0.001442696,-3.754527976,0.000173668,0.078388597,gene-HOXA13,HOXA13,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
607.1484315,-0.239813519,-2.18e-06,0.001442683,-0.711486518,0.476782803,0.999928958,gene-HOXA2,HOXA2,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
1070.311548,0.054801871,2.33e-06,0.001442635,0.349340325,0.726833828,0.999928958,gene-HOXA3,HOXA3,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
692.8214473,0.193328591,3.98e-06,0.001442665,0.910802514,0.362399438,0.999928958,gene-HOXA4,HOXA4,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
477.7875516,-0.117248512,-1.28e-06,0.001442679,-0.381824656,0.702591429,0.999928958,gene-HOXA5,HOXA5,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
177.6256296,0.037264628,6.72e-07,0.001442669,0.154193613,0.877457078,0.999928958,gene-HOXA6,HOXA6,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
1224.723262,-0.019367345,-1.94e-07,0.00144268,-0.06177356,0.950743159,0.999928958,gene-HOXA7,HOXA7,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
2508.123192,-0.080607665,-1.43e-06,0.00144267,-0.334541273,0.737971152,0.999928958,gene-HOXA9,HOXA9,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
370.0518329,-0.77296904,-5.18e-06,0.00144269,-1.984612608,0.047187589,0.999928958,gene-HOXB1,HOXB1,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
131.8779436,-0.216726792,-1.61e-06,0.001442685,-0.580758178,0.561403446,0.999928958,gene-HOXB2,HOXB2,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
1635.086461,0.300430668,7.92e-06,0.001442668,1.51353583,0.130143607,0.999928958,gene-HOXB3,HOXB3,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
976.8274605,0.431431539,9.5e-06,0.001442679,1.989806256,0.046612282,0.999928958,gene-HOXB4,HOXB4,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
1722.787387,0.073994655,-3.25e-06,0.00144265,0.410173616,0.681678594,0.999928958,gene-HOXB5,HOXB5,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
2524.91405,0.391992698,1.05e-05,0.001442676,1.997356845,0.045786432,0.999928958,gene-HOXB6,HOXB6,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
35.10551525,0.173690185,5.57e-07,0.001442691,0.304419153,0.760808578,0.999928958,gene-HOXB7,HOXB7,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
362.819018,0.155625639,1.86e-06,0.001442678,0.526957848,0.598222861,0.999928958,gene-HOXB8,HOXB8,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
2533.517646,0.74613207,1e-05,0.001442694,2.703888412,0.00685333,0.496381516,gene-HOXC10,HOXC10,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
400.465172,-1.928745328,-1.4e-06,0.001442695,-1.726996596,0.084168275,0.999928958,gene-HOXC11,HOXC11,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
427.9008047,-7.026728281,-1.07e-06,0.001442695,-4.169365853,3.05e-05,0.029313495,gene-HOXC12,HOXC12,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
122.2034492,-8.969489834,-5.83e-07,0.001442695,-3.648375066,0.000263904,0.087770789,gene-HOXC13,HOXC13,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
399.05879,-0.069420545,-4.6e-07,0.001442685,-0.17680381,0.859662496,0.999928958,gene-HOXC8,HOXC8,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
649.3338988,-0.075371231,-4.22e-07,0.001442687,-0.177307438,0.859266909,0.999928958,gene-HOXC9,HOXC9,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
973.1910611,-0.189207853,-2.01e-06,0.00144268,-0.606977193,0.543866048,0.999928958,gene-HOXD1,HOXD1,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
953.8936552,0.834075905,2.08e-06,0.001442692,1.304436031,0.192084957,0.999928958,gene-HOXD10,HOXD10,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
577.8895323,-2.02346661,-9.5e-07,0.001442695,-1.469905555,0.141587335,0.999928958,gene-HOXD11,HOXD11,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
207.049113,-3.985194882,-1.35e-06,0.001442695,-2.837655673,0.004544618,0.420377159,gene-HOXD12,HOXD12,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
116.9930087,-2.348290138,-1.04e-06,0.001442695,-1.688636245,0.09128916,0.999928958,gene-HOXD13,HOXD13,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
1369.925499,0.195630262,6.79e-06,0.001442653,1.129879153,0.258527149,0.999928958,gene-HOXD3,HOXD3,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
19.53376681,0.695249931,1.92e-06,0.001442692,1.139985601,0.2542923,0.999928958,gene-HOXD4,HOXD4,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
1102.282612,0.093596172,1.14e-06,0.001442678,0.318202547,0.750331301,0.999928958,gene-HOXD8,HOXD8,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
574.4934681,0.575479899,8.34e-06,0.001442681,2.441502214,0.014626299,0.669812394,gene-HOXD9,HOXD9,posterior.sacral_vs_sacralized.caudal_by_SYMBOL_edited_MAIN
