"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-LOC107049418",20.5248968167577,-0.387954416158377,0.58203146778448,0.455057287442038,0.79649960645822,0.972850692345598
"gene-LOC124417607",46.6974830526342,-0.824491497630027,0.451726752323541,3.31609497640218,0.19051059137324,0.743815959315259
"gene-RNF212B",166.744934711221,-0.161597728889177,0.252847352520543,1.04667000964251,0.592541121609247,0.93326379970065
"gene-LOC124418405",1101.15519380248,1.82918319204398,0.656343657360904,7.31177351408948,0.0258385747830199,0.398284120757277
"gene-LOC121109254",31.8133939037713,-0.577351358553686,0.399194228520773,2.29192878501218,0.317917172963823,0.833862768353528
"gene-LOC101750931",193.51508302384,0.00628724021868148,0.361817255424725,0.573391987641685,0.750739923724735,0.966021037046786
"gene-LOC121107878",34.2749426431023,-0.16225565774117,0.464565531402417,0.226667888874502,0.892852447217483,0.985885080026987
"gene-LOC121108053",127.427144029505,-1.1170891013485,0.361369272132926,10.1618254029478,0.00621423468569481,0.204771865051921
"gene-LOC112532981",14.3514373186953,0.416357023086067,0.749317088216914,4.14476754859625,0.125885341514891,0.678228842058145
"gene-LOC107057089",9.51962629679429,-0.183900941885707,0.734245802964571,0.119696784865724,0.94190732303771,NA
"gene-LOC121109473",88.7799962607899,-0.313212883748119,0.296770058564829,1.4691651123114,0.479705667362023,0.9034594966769
"gene-LOC121109475",14.2905180519489,0.219538094498303,0.68259421026377,1.12254493192876,0.57048268200262,0.927319132280321
"gene-LOC121109477",8.08704012510148,-0.18380073865043,0.926863037915502,0.806234997354132,0.66823357814918,NA
"gene-LOC107051625",8.12414335804696,-0.0425940865962456,0.787234087814151,0.0770828490520046,0.962191845573124,NA
"gene-LOC121109078",13.4147389620488,0.072360258317846,0.710195119937834,0.0563440098639276,0.972221125589942,0.996498506042209
"gene-LOC107051628",66.4581386972667,0.435350749532527,0.343944286170939,1.80781253680742,0.404984587399392,0.883913589123636
"gene-LOC101752215",103.242235337697,-0.494467986065442,0.301285972038999,4.15636441767924,0.125157515766598,0.677330773782654
"gene-LOC121108798",50.7050069378138,0.114240323112533,0.36424674809629,0.729524936647721,0.694361564157321,0.954071615149122
"gene-LOC112533030",35.4958039992992,-0.758790626221814,0.433277840958069,3.22448362911128,0.199440005028121,0.752629647216173
