,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSGALG00010000711,273.9962497,-1.118994148,0.229176739,-4.882668963,1.05E-06,9.72E-06
2,ENSGALG00010000715,64.23415313,-2.159819123,0.452703983,-4.770930241,1.83E-06,1.61E-05
3,ENSGALG00010000717,2262.622449,0.129605495,0.211987385,0.611383051,0.54094602,0.684061508
4,ENSGALG00010000720,1897.175376,-0.004431923,0.181706968,-0.024390498,0.980541128,0.989166093
5,ENSGALG00010000724,413.5974722,-0.563169817,0.216127236,-2.605732746,0.009167796,0.02948726
6,ENSGALG00010000729,93.42448063,-2.758377879,0.3665087,-7.526091134,5.23E-14,1.46E-12
7,ENSGALG00010000734,3.749624838,-1.37670471,1.159816305,-1.187002377,0.235226683,0.385324845
8,ENSGALG00010000757,8.975269319,-2.182114854,0.715329038,-3.050505065,0.002284568,0.009150548
9,ENSGALG00010000762,0.789650838,-2.480800441,3.232317426,-0.767499015,0.442784878,NA
10,ENSGALG00010000777,6978.241454,0.254360396,0.107010385,2.376969263,0.017455543,0.050639624
11,ENSGALG00010000784,497.8350583,-0.880107173,0.16649536,-5.286076278,1.25E-07,1.40E-06
12,ENSGALG00010000785,376.7437533,0.308234688,0.208657042,1.477231181,0.139613678,0.261726696
13,ENSGALG00010000788,574.7094171,-0.198851335,0.186134788,-1.068319023,0.28537663,0.441963232
14,ENSGALG00010000791,13.11717409,-1.347895472,0.704676108,-1.912787247,0.055775294,0.129279689
15,ENSGALG00010000795,163.1280787,-0.595933483,0.284166414,-2.097128491,0.035982203,0.091140493
16,ENSGALG00010000796,101.4614161,0.040212267,0.357150664,0.112591888,0.910354117,0.946476918
17,ENSGALG00010000800,3214.086327,0.560884232,0.198038196,2.832202283,0.004622859,0.01664195
18,ENSGALG00010000804,1.387656867,2.398497527,2.013282997,1.191336504,0.233521509,0.383503973
19,ENSGALG00010000810,395.8030707,-0.509644355,0.220578686,-2.310487762,0.020861165,0.058488515
20,ENSGALG00010000812,455.1120124,-0.515347502,0.21140798,-2.437691815,0.01478137,0.044023293
21,ENSGALG00010000816,1155.866045,0.142212915,0.220838778,0.643967133,0.519596747,0.668225343
22,ENSGALG00010000818,570.5652076,0.328473344,0.199466516,1.646759317,0.099607527,0.20249579
23,ENSGALG00010000820,201.2472982,-1.356007987,0.374844909,-3.617517419,0.000297442,0.00157128
24,ENSGALG00010000823,228.2227194,-0.393863635,0.286324869,-1.375583047,0.168950758,0.301695559
25,ENSGALG00010000843,293.8085553,-0.280898668,0.187853681,-1.495305642,0.134834693,0.254887938
26,ENSGALG00010000859,159.1906483,0.858488868,0.255762859,3.356581449,0.000789125,0.003687275
27,ENSGALG00010000864,176.7868874,-0.768089592,0.270699491,-2.837425329,0.004547898,0.016420895
28,ENSGALG00010000870,46.17862819,0.218306856,0.45263957,0.482297329,0.629594744,0.755617195
29,ENSGALG00010000876,0.592869874,-2.113781393,2.992774005,-0.706295026,0.480004686,NA
30,ENSGALG00010000901,100.3541733,-2.200179218,0.386503732,-5.69251739,1.25E-08,1.66E-07
31,ENSGALG00010000902,0.105926409,-0.899920443,3.816920368,-0.235771344,0.813610106,NA
32,ENSGALG00010000903,0.597622154,-3.428655594,3.676831975,-0.932502659,0.351076813,NA
33,ENSGALG00010000912,0.266900406,1.739303866,3.794055193,0.45842872,0.646644462,NA
34,ENSGALG00010000913,0.105926409,-0.899920443,3.816920368,-0.235771344,0.813610106,NA
35,ENSGALG00010000916,0.190229196,-0.178583432,3.816920368,-0.046787309,0.962682744,NA
36,ENSGALG00010000923,0.133450203,0.783183235,3.816920368,0.205187208,0.837425863,NA
37,ENSGALG00010000931,0.398478316,-1.762666154,3.719002144,-0.473962124,0.635526917,NA
38,ENSGALG00010000932,0.293309391,0.061825638,3.816920368,0.01619778,0.987076606,NA
39,ENSGALG00010000936,0.105926409,-0.899920443,3.816920368,-0.235771344,0.813610106,NA
40,ENSGALG00010000939,0.118353887,0.061838217,3.816920368,0.016201076,0.987073977,NA
41,ENSGALG00010000941,5.197827816,1.742442986,1.066404445,1.633941976,0.102271035,0.206654287
42,ENSGALG00010000943,0.16946131,1.435722349,3.808416903,0.376986655,0.706183522,NA
43,ENSGALG00010000944,0.218180858,1.514026776,3.805173069,0.397886443,0.690713894,NA
44,ENSGALG00010000947,0.769423625,0.583693656,2.879255296,0.202723828,0.839350898,NA
45,ENSGALG00010000953,0.938210248,0.791417317,2.51959536,0.314104927,0.753441347,NA
46,ENSGALG00010000954,0.105926409,-0.899920443,3.816920368,-0.235771344,0.813610106,NA
47,ENSGALG00010000963,5.913095048,0.581749916,0.892028571,0.652165115,0.514294661,0.664049447
48,ENSGALG00010000970,0.391684638,0.469786706,3.808593187,0.123349143,0.901830627,NA
49,ENSGALG00010000982,1.414963944,-2.97329696,1.970654102,-1.508786832,0.131353267,0.250185635
50,ENSGALG00010000983,0.10967193,0.783183235,3.816920368,0.205187208,0.837425863,NA
51,ENSGALG00010000992,0.081949291,-0.899920443,3.816920368,-0.235771344,0.813610106,NA
52,ENSGALG00010001002,0.104725176,-0.899920443,3.816920368,-0.235771344,0.813610106,NA
53,ENSGALG00010001004,0.105926409,-0.899920443,3.816920368,-0.235771344,0.813610106,NA
54,ENSGALG00010001014,1.992508398,-0.878544235,1.852713504,-0.474193248,0.635362108,0.759831454
55,ENSGALG00010001026,0.945453552,0.918301983,3.222316741,0.284981911,0.775658,NA
56,ENSGALG00010001027,1.258476151,2.815476013,2.102879029,1.338867321,0.18061387,NA
57,ENSGALG00010001033,6.224629281,2.892458135,1.08874986,2.656678307,0.007891471,0.02595054
58,ENSGALG00010001037,0.133450203,0.783183235,3.816920368,0.205187208,0.837425863,NA
59,ENSGALG00010001042,0.105926409,-0.899920443,3.816920368,-0.235771344,0.813610106,NA
