gene_ID,log2FC,padj
ENSGALG00010000711,-1.118994148,9.72E-06
ENSGALG00010000715,-2.159819123,1.61E-05
ENSGALG00010000717,0.129605495,0.684061508
ENSGALG00010000720,-0.004431923,0.989166093
ENSGALG00010000724,-0.563169817,0.02948726
ENSGALG00010000729,-2.758377879,1.46E-12
ENSGALG00010000734,-1.37670471,0.385324845
ENSGALG00010000757,-2.182114854,0.009150548
ENSGALG00010000762,-2.480800441,NA
ENSGALG00010000777,0.254360396,0.050639624
ENSGALG00010000784,-0.880107173,1.40E-06
ENSGALG00010000785,0.308234688,0.261726696
ENSGALG00010000788,-0.198851335,0.441963232
ENSGALG00010000791,-1.347895472,0.129279689
ENSGALG00010000795,-0.595933483,0.091140493
ENSGALG00010000796,0.040212267,0.946476918
ENSGALG00010000800,0.560884232,0.01664195
ENSGALG00010000804,2.398497527,0.383503973
ENSGALG00010000810,-0.509644355,0.058488515
ENSGALG00010000812,-0.515347502,0.044023293
ENSGALG00010000816,0.142212915,0.668225343
ENSGALG00010000818,0.328473344,0.20249579
ENSGALG00010000820,-1.356007987,0.00157128
ENSGALG00010000823,-0.393863635,0.301695559
ENSGALG00010000843,-0.280898668,0.254887938
ENSGALG00010000859,0.858488868,0.003687275
ENSGALG00010000864,-0.768089592,0.016420895
ENSGALG00010000870,0.218306856,0.755617195
ENSGALG00010000876,-2.113781393,NA
ENSGALG00010000901,-2.200179218,1.66E-07
ENSGALG00010000902,-0.899920443,NA
ENSGALG00010000903,-3.428655594,NA
ENSGALG00010000912,1.739303866,NA
ENSGALG00010000913,-0.899920443,NA
ENSGALG00010000916,-0.178583432,NA
ENSGALG00010000923,0.783183235,NA
ENSGALG00010000931,-1.762666154,NA
ENSGALG00010000932,0.061825638,NA
ENSGALG00010000936,-0.899920443,NA
ENSGALG00010000939,0.061838217,NA
ENSGALG00010000941,1.742442986,0.206654287
ENSGALG00010000943,1.435722349,NA
ENSGALG00010000944,1.514026776,NA
ENSGALG00010000947,0.583693656,NA
ENSGALG00010000953,0.791417317,NA
ENSGALG00010000954,-0.899920443,NA
ENSGALG00010000963,0.581749916,0.664049447
ENSGALG00010000970,0.469786706,NA
ENSGALG00010000982,-2.97329696,0.250185635
ENSGALG00010000983,0.783183235,NA
ENSGALG00010000992,-0.899920443,NA
ENSGALG00010001002,-0.899920443,NA
ENSGALG00010001004,-0.899920443,NA
ENSGALG00010001014,-0.878544235,0.759831454
ENSGALG00010001026,0.918301983,NA
ENSGALG00010001027,2.815476013,NA
ENSGALG00010001033,2.892458135,0.02595054
ENSGALG00010001037,0.783183235,NA
ENSGALG00010001042,-0.899920443,NA
ENSGALG00010001049,-1.909325917,NA
ENSGALG00010001052,-0.899920443,NA
ENSGALG00010001053,-3.273786759,0.093388135
ENSGALG00010001055,-1.252188547,NA
ENSGALG00010001056,-0.899937908,NA
ENSGALG00010001057,0.073610784,0.907119032
ENSGALG00010001058,1.294012501,0.099394991
ENSGALG00010001059,0.100975209,0.800701955
ENSGALG00010001060,-0.899920443,NA
ENSGALG00010001064,3.318346025,0.207650144
ENSGALG00010001065,2.806215523,6.22E-09
ENSGALG00010001067,-1.851781809,NA
ENSGALG00010001068,0.061838217,NA
ENSGALG00010001069,3.363328929,3.28E-05
ENSGALG00010001075,-0.724342019,0.572432593
ENSGALG00010001076,-0.17859637,NA
ENSGALG00010001077,0.061833286,NA
ENSGALG00010001078,-0.899920443,NA
ENSGALG00010001080,0.377110581,NA
ENSGALG00010001081,0.488445435,NA
ENSGALG00010001083,-3.590315722,0.033534135
ENSGALG00010001085,-1.35308944,0.650621582
ENSGALG00010001086,-0.899943511,NA
ENSGALG00010001088,0.891971055,NA
ENSGALG00010001095,1.874750065,NA
ENSGALG00010001098,0.061824592,NA
ENSGALG00010001101,-1.771705313,NA
ENSGALG00010001107,-3.826690025,NA
ENSGALG00010001108,-3.920510169,NA
ENSGALG00010001110,-0.121466296,0.965684828
ENSGALG00010001194,-0.873323034,0.00144762
