#NICE,C14S1_experimental_1,C16F_controlF_3,C17F_controlF_4,C18S2_experimental_2,C1P_controlP_1,C20S1_experimental_3,C20S3_experimental_4,C2F_controlF_1,C2P_controlP_2,C3F_controlF_2,C4P_controlP_3,C9P_controlP_4
#CLASS,Exp,ConF,ConF,Exp,ConP,Exp,Exp,ConF,ConP,ConF,ConP,ConP
ENSGALG00010000711,140,399,477,239,219,176,159,356,217,514,205,168
ENSGALG00010000715,91,122,208,122,22,30,35,46,24,66,48,18
ENSGALG00010000717,3772,1613,2468,3906,1098,3002,3477,1526,2043,1245,2355,1971
ENSGALG00010000720,1984,1593,2242,3034,981,2075,1926,1259,1940,1640,2117,2032
ENSGALG00010000724,500,520,678,547,217,393,317,251,316,415,456,409
ENSGALG00010000726,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000729,364,305,288,55,28,19,35,182,30,129,38,39
ENSGALG00010000734,0,8,8,3,5,0,1,5,1,7,5,0
ENSGALG00010000757,76,21,27,6,2,5,2,7,2,15,9,5
ENSGALG00010000762,0,0,0,5,0,1,0,0,0,3,0,0
ENSGALG00010000777,6508,5708,7680,11092,5558,6679,6068,4542,8464,5614,8496,6590
ENSGALG00010000784,543,607,1086,565,291,354,312,532,497,645,454,373
ENSGALG00010000785,739,244,426,637,213,414,388,287,386,281,521,399
ENSGALG00010000788,387,707,839,539,583,342,274,558,782,684,680,446
ENSGALG00010000791,4,24,24,15,5,17,4,6,22,18,4,4
ENSGALG00010000793,0,0,0,0,0,0,0,1,0,0,0,0
ENSGALG00010000795,59,160,289,118,89,106,102,200,260,277,171,118
ENSGALG00010000796,25,93,157,102,62,81,60,158,242,98,94,77
ENSGALG00010000800,4090,2195,3012,4672,2502,3410,3277,2480,3146,2221,3782,4386
ENSGALG00010000804,1,0,2,0,1,0,0,0,3,0,6,3
ENSGALG00010000810,511,520,439,693,211,456,404,214,299,351,325,354
ENSGALG00010000812,486,439,645,816,244,457,400,329,315,524,459,419
ENSGALG00010000816,1171,1289,1319,1753,924,1141,1082,670,1298,658,1164,1187
ENSGALG00010000818,754,399,613,976,303,697,693,421,619,335,732,537
ENSGALG00010000820,247,291,473,349,124,120,157,214,79,238,89,171
ENSGALG00010000823,280,259,339,362,99,208,243,173,159,185,253,252
ENSGALG00010000843,327,243,394,427,167,367,304,212,255,295,307,254
ENSGALG00010000859,169,72,83,406,111,265,175,59,179,86,194,92
ENSGALG00010000864,261,216,219,304,62,300,194,100,127,141,173,88
ENSGALG00010000870,167,65,41,78,45,24,32,24,73,30,72,22
ENSGALG00010000876,9,3,1,0,0,1,0,8,1,0,0,0
ENSGALG00010000901,884,228,175,189,15,100,94,79,32,111,74,31
ENSGALG00010000902,0,1,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000903,0,1,6,0,0,0,0,2,0,0,0,0
ENSGALG00010000905,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000906,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000907,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000908,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000910,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000912,0,0,0,0,2,0,0,0,0,0,0,0
ENSGALG00010000913,0,1,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000914,2,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000916,0,1,0,0,0,0,0,0,1,0,0,0
ENSGALG00010000917,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000918,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000920,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000921,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000922,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000923,0,0,0,0,1,0,0,1,0,0,0,0
ENSGALG00010000925,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000926,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000927,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000928,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000930,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000931,0,0,0,0,0,0,0,0,1,3,0,0
ENSGALG00010000932,0,0,0,4,0,0,0,0,0,0,0,0
ENSGALG00010000933,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000935,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000936,0,1,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000938,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000939,0,0,0,0,0,0,1,0,0,0,0,0
ENSGALG00010000941,0,1,2,7,10,6,2,0,7,4,1,10
ENSGALG00010000942,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000943,0,0,0,0,0,0,0,0,0,0,2,0
ENSGALG00010000944,0,0,0,0,1,0,0,0,0,0,1,0
ENSGALG00010000947,1,0,0,2,0,0,0,0,1,2,0,3
ENSGALG00010000948,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000951,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000953,2,1,1,3,0,1,0,1,5,0,0,0
ENSGALG00010000954,0,1,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000956,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000957,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000958,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000960,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000961,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000963,8,4,7,7,2,12,4,0,4,2,11,8
ENSGALG00010000964,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000967,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000968,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000969,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000970,0,0,0,0,0,0,1,0,2,1,0,0
ENSGALG00010000972,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000973,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000974,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000975,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000976,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000977,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000979,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000981,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000982,13,7,3,0,1,0,0,0,0,2,1,0
ENSGALG00010000983,0,0,0,0,0,0,0,0,0,0,0,1
ENSGALG00010000984,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000986,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000987,106,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000988,14,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000989,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000991,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000992,0,0,1,0,0,0,0,0,0,0,0,0
ENSGALG00010000994,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000996,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000998,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010000999,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001000,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001002,0,0,0,0,0,0,0,0,0,1,0,0
ENSGALG00010001003,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001004,0,1,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001006,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001008,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001009,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001011,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001014,0,4,0,5,1,5,3,0,0,0,2,0
ENSGALG00010001017,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001018,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001023,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001024,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001025,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001026,0,1,0,8,0,0,0,2,3,0,0,0
ENSGALG00010001027,0,0,0,1,0,1,0,2,1,1,4,5
ENSGALG00010001028,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001029,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001030,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001031,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001032,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001033,4,0,0,4,6,3,1,1,23,5,12,11
ENSGALG00010001034,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001035,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001036,1,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001037,0,0,0,0,1,0,0,0,0,0,0,0
ENSGALG00010001038,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001039,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001040,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001041,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001042,0,1,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001043,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001044,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001045,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001046,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001047,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001048,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001049,6,2,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001050,6,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001051,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001052,0,0,1,0,0,0,0,0,0,0,0,0
ENSGALG00010001053,0,17,0,7,0,2,6,2,2,3,0,1
ENSGALG00010001054,0,0,0,0,0,0,0,1,0,0,0,0
ENSGALG00010001055,5,3,3,0,0,0,1,0,3,1,0,1
ENSGALG00010001056,0,0,0,0,0,0,2,0,0,1,0,0
ENSGALG00010001057,97,41,40,93,40,75,89,71,49,36,24,42
ENSGALG00010001058,13,3,9,22,6,26,16,17,32,10,22,13
ENSGALG00010001059,599,250,299,953,139,553,436,213,238,212,345,335
ENSGALG00010001060,0,0,1,0,0,0,0,0,0,0,0,0
ENSGALG00010001061,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001062,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001063,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001064,0,0,1,0,1,0,4,0,6,0,1,6
ENSGALG00010001065,0,10,13,20,84,37,29,11,103,14,90,54
ENSGALG00010001067,0,0,4,0,0,0,0,0,0,0,0,1
ENSGALG00010001068,0,0,0,1,0,0,0,0,0,0,0,0
ENSGALG00010001069,16,4,5,97,16,21,22,15,32,1,70,20
ENSGALG00010001071,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001072,0,0,0,0,0,0,0,5,0,0,0,0
ENSGALG00010001073,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001074,0,0,0,0,0,0,0,2,0,0,0,0
ENSGALG00010001075,5,24,32,9,11,20,8,6,9,0,8,12
ENSGALG00010001076,0,0,1,2,0,0,0,0,0,0,1,0
ENSGALG00010001077,0,0,0,2,0,0,0,0,0,0,0,0
ENSGALG00010001078,0,0,1,0,0,0,0,0,0,0,0,0
ENSGALG00010001079,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001080,0,0,1,0,0,1,0,0,0,1,0,3
ENSGALG00010001081,0,2,0,0,1,0,4,0,0,0,3,0
ENSGALG00010001083,4,5,5,12,0,2,9,6,0,9,0,2
ENSGALG00010001084,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001085,2,2,0,4,2,1,4,4,0,2,0,0
ENSGALG00010001086,0,1,0,1,0,3,0,0,0,0,0,0
ENSGALG00010001087,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001088,12,0,3,0,1,0,0,0,2,0,0,3
ENSGALG00010001089,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001090,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001091,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001092,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001093,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001094,77,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001095,0,0,0,1,0,0,0,0,0,0,3,0
ENSGALG00010001096,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001097,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001098,12,0,0,1,0,1,3,3,0,0,0,0
ENSGALG00010001099,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001100,1,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001101,0,0,0,0,0,0,0,0,0,5,1,1
ENSGALG00010001102,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001103,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001105,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001106,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001107,2,1,2,1,0,0,0,0,0,5,0,0
ENSGALG00010001108,0,8,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001109,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00010001110,14,3,0,6,4,3,1,1,3,3,0,0
ENSGALG00010001194,375,178,306,456,64,210,219,168,134,186,159,116
ENSGALG00010001196,0,58,10,4,16,0,1,5,5,21,8,13
ENSGALG00010001198,1013,992,1045,2292,1043,1473,1455,780,1607,918,1631,1945
ENSGALG00010001200,223,1553,3714,238,213,196,210,984,316,2260,415,335
ENSGALG00010001202,224,55,43,13,1,1,2,9,14,49,5,3
ENSGALG00010001207,120,0,0,0,0,3,1,0,5,0,0,7
ENSGALG00010001208,9,19,10,9,2,13,9,14,22,4,20,15
ENSGALG00010001210,36,26,18,33,10,24,20,14,10,10,7,5
ENSGALG00010001214,89,397,337,222,173,121,110,147,321,295,184,149
ENSGALG00010001219,431,47,48,274,121,209,195,109,262,56,178,106
ENSGALG00010001220,2111,2184,2581,1744,1007,1235,860,1445,1585,1715,1895,1219
ENSGALG00010001222,154,123,114,156,23,110,78,63,53,89,48,56
ENSGALG00010001223,13,26,15,0,0,2,8,9,2,8,10,6
ENSGALG00010001224,916,699,692,1353,300,910,727,398,411,437,433,554
ENSGALG00010001228,236,303,310,422,181,255,189,181,273,197,286,216
ENSGALG00010001232,251,264,296,276,66,196,190,172,146,240,148,177
ENSGALG00010001234,197,647,460,211,164,86,77,128,215,254,179,139
ENSGALG00010001236,7,6,3,14,4,4,5,3,6,0,9,0
ENSGALG00010001248,17,773,370,7,9,78,280,137,27,226,14,44
ENSGALG00010001251,135,105,122,157,68,108,84,88,54,72,81,95
ENSGALG00010001264,1434,1187,1909,1913,261,1247,1053,985,546,1451,809,1223
ENSGALG00010001281,7,137,0,11,0,19,17,0,3,7,14,4
ENSGALG00010001298,580,700,705,1214,433,784,568,439,805,412,808,573
ENSGALG00010001305,3,5,4,4,0,3,1,0,1,0,0,1
ENSGALG00010001320,1046,840,1281,1766,774,1016,929,993,1011,624,1322,1372
ENSGALG00010001349,311,469,698,536,199,446,310,323,461,483,486,265
ENSGALG00010001367,78,49,77,117,25,69,77,44,43,52,68,72
ENSGALG00010001381,2128,2008,2254,3867,717,2443,2416,1194,1746,1421,1584,1827
ENSGALG00010001407,849,828,1595,876,274,642,577,609,513,727,527,494
ENSGALG00010001419,30,130,45,10,11,8,23,18,5,27,9,3
ENSGALG00010001421,0,0,1,0,0,0,0,0,0,0,0,0
ENSGALG00010001427,1,18,2,1,3,0,0,0,2,20,5,8
ENSGALG00010001443,508,464,535,658,242,433,397,390,362,488,492,339
ENSGALG00010001448,24,129,55,4,13,17,13,23,6,38,7,3
ENSGALG00010001454,68,690,1471,20,78,5,5,749,27,970,39,23
ENSGALG00010001456,30,24,20,49,16,24,35,37,15,48,43,40
ENSGALG00010001461,964,158,192,1252,425,578,625,130,517,113,532,455
ENSGALG00010001466,583,696,737,749,138,387,438,386,326,467,230,303
ENSGALG00010001468,47,1145,1782,77,105,76,36,551,120,1110,330,137
ENSGALG00010001470,142,88,36,215,31,111,67,21,55,19,21,68
ENSGALG00010001475,1260,347,476,1683,319,807,647,371,471,353,469,796
ENSGALG00010001477,6,74,53,1,2,5,14,18,1,48,5,4
ENSGALG00010001479,788,480,640,1148,479,720,697,466,688,568,739,617
ENSGALG00010001484,0,0,1,0,0,0,1,0,2,0,3,0
