gene_ID,log2FC,padj
ENSGALG00010000711,-1.284817346,1.84E-06
ENSGALG00010000715,-1.162156547,0.04595885
ENSGALG00010000717,1.024456125,4.63E-05
ENSGALG00010000720,0.367246953,0.145954445
ENSGALG00010000724,-0.356305839,0.255421347
ENSGALG00010000729,-2.755227096,5.41E-11
ENSGALG00010000734,-2.639546306,0.138154373
ENSGALG00010000757,-2.286223457,0.013701976
ENSGALG00010000762,0.631707745,NA
ENSGALG00010000777,0.310023599,0.024554727
ENSGALG00010000784,-0.917911394,2.62E-06
ENSGALG00010000785,0.608953201,0.022683328
ENSGALG00010000788,-0.977491221,1.03E-05
ENSGALG00010000791,-0.896083831,0.397694883
ENSGALG00010000795,-1.115598428,0.001535485
ENSGALG00010000796,-0.497358173,0.361097795
ENSGALG00010000800,0.62956861,0.012034694
ENSGALG00010000804,-1.696176127,0.650929591
ENSGALG00010000810,0.215514992,0.542574462
ENSGALG00010000812,0.026192643,0.952178491
ENSGALG00010000816,0.280323394,0.406768639
ENSGALG00010000818,0.844718803,0.000433028
ENSGALG00010000820,-0.721625975,0.168788752
ENSGALG00010000823,0.062635228,0.913559115
ENSGALG00010000843,0.266728292,0.338708606
ENSGALG00010000859,1.764899711,7.64E-10
ENSGALG00010000864,0.485927264,0.197422252
ENSGALG00010000870,-0.128773675,0.884744686
ENSGALG00010000876,-1.916782932,NA
ENSGALG00010000901,-0.479435563,0.400309133
ENSGALG00010000902,-0.943370784,NA
ENSGALG00010000903,-3.472100671,NA
ENSGALG00010000912,0.018379916,NA
ENSGALG00010000913,-0.943370784,NA
ENSGALG00010000916,-0.943376789,NA
ENSGALG00010000923,0.018387876,NA
ENSGALG00010000931,-2.527456214,NA
ENSGALG00010000932,2.491066122,NA
ENSGALG00010000936,-0.943370784,NA
ENSGALG00010000939,0.980174561,NA
ENSGALG00010000941,1.048408748,0.547420465
ENSGALG00010000943,0.018382443,NA
ENSGALG00010000944,0.018381791,NA
ENSGALG00010000947,-0.356761032,NA
ENSGALG00010000953,0.83870173,NA
ENSGALG00010000954,-0.943370784,NA
ENSGALG00010000963,0.899304693,0.52279031
ENSGALG00010000970,0.018398492,NA
ENSGALG00010000982,-4.461495053,0.107744277
ENSGALG00010000983,0.018387876,NA
ENSGALG00010000992,-0.943370784,NA
ENSGALG00010001002,-0.943370784,NA
ENSGALG00010001004,-0.943370784,NA
ENSGALG00010001014,1.612674701,0.552899053
ENSGALG00010001026,2.520975927,NA
ENSGALG00010001027,0.839034391,NA
ENSGALG00010001033,0.573082051,0.785107687
ENSGALG00010001037,0.018387876,NA
ENSGALG00010001042,-0.943370784,NA
ENSGALG00010001049,-1.952774157,NA
ENSGALG00010001052,-0.943370784,NA
ENSGALG00010001053,-0.543181724,0.83150133
ENSGALG00010001055,-2.665413517,NA
ENSGALG00010001056,1.154397087,NA
