"Pathway_ID","Description","PNG_File","PDF_File"
"gga04820","Cytoskeleton in muscle cells","pathview/gga04820.logFC.png","pathview/gga04820.logFC.pdf"
"gga04020","Calcium signaling pathway","pathview/gga04020.logFC.png","pathview/gga04020.logFC.pdf"
"gga04512","ECM-receptor interaction","pathview/gga04512.logFC.png","pathview/gga04512.logFC.pdf"
"gga04080","Neuroactive ligand-receptor interaction","pathview/gga04080.logFC.png","pathview/gga04080.logFC.pdf"
"gga04510","Focal adhesion","pathview/gga04510.logFC.png","pathview/gga04510.logFC.pdf"
"gga04814","Motor proteins","pathview/gga04814.logFC.png","pathview/gga04814.logFC.pdf"
"gga00910","Nitrogen metabolism","pathview/gga00910.logFC.png","pathview/gga00910.logFC.pdf"
"gga04514","Cell adhesion molecules","pathview/gga04514.logFC.png","pathview/gga04514.logFC.pdf"
"gga04382","Cornified envelope formation","pathview/gga04382.logFC.png","pathview/gga04382.logFC.pdf"
"gga04082","Neuroactive ligand signaling","pathview/gga04082.logFC.png","pathview/gga04082.logFC.pdf"
