gene_ID,log2FC,padj
ENSGALG00010000711,-0.165823049,0.651566318
ENSGALG00010000715,0.997662693,0.098588601
ENSGALG00010000717,0.894850825,0.000442109
ENSGALG00010000720,0.371679024,0.12198493
ENSGALG00010000724,0.20686413,0.527469401
ENSGALG00010000729,0.003150879,0.996011421
ENSGALG00010000734,-1.262841353,0.536739379
ENSGALG00010000757,-0.104108798,0.943129095
ENSGALG00010000762,3.112468335,NA
ENSGALG00010000777,0.055663268,0.75025129
ENSGALG00010000784,-0.037804129,0.900083939
ENSGALG00010000785,0.300718672,0.299038261
ENSGALG00010000788,-0.778639739,0.000642544
ENSGALG00010000791,0.451811859,0.69639437
ENSGALG00010000795,-0.519664699,0.185130617
ENSGALG00010000796,-0.537570036,0.285043071
ENSGALG00010000800,0.068684588,0.84181928
ENSGALG00010000804,-4.094658956,NA
ENSGALG00010000810,0.725159492,0.008085614
ENSGALG00010000812,0.541540287,0.044912315
ENSGALG00010000816,0.138110693,0.695057789
ENSGALG00010000818,0.516245611,0.040530569
ENSGALG00010000820,0.634382294,0.217897847
ENSGALG00010000823,0.456499098,0.245845527
ENSGALG00010000843,0.547627069,0.019921845
ENSGALG00010000859,0.906411036,0.002425888
ENSGALG00010000864,1.254017005,8.91E-05
ENSGALG00010000870,-0.347079979,0.624783695
ENSGALG00010000876,0.196978562,NA
ENSGALG00010000901,1.72074372,0.000217328
ENSGALG00010000902,-0.043472713,NA
ENSGALG00010000903,-0.043488503,NA
ENSGALG00010000912,-1.720892368,NA
ENSGALG00010000913,-0.043472713,NA
ENSGALG00010000916,-0.764800716,NA
ENSGALG00010000923,-0.764794711,NA
ENSGALG00010000931,-0.764810607,NA
ENSGALG00010000932,2.429210625,NA
ENSGALG00010000936,-0.043472713,NA
ENSGALG00010000939,0.918315973,NA
ENSGALG00010000941,-0.694031745,0.65669023
ENSGALG00010000943,-1.417326253,NA
ENSGALG00010000944,-1.495628919,NA
ENSGALG00010000947,-0.940449305,NA
ENSGALG00010000953,0.047287198,NA
ENSGALG00010000954,-0.043472713,NA
ENSGALG00010000963,0.317555739,0.828111714
ENSGALG00010000970,-0.451387128,NA
ENSGALG00010000982,-1.488205775,NA
ENSGALG00010000983,-0.764794711,NA
ENSGALG00010000992,-0.043472713,NA
ENSGALG00010001002,-0.043472713,NA
ENSGALG00010001004,-0.043472713,NA
ENSGALG00010001014,2.491212808,NA
ENSGALG00010001026,1.602670565,NA
ENSGALG00010001027,-1.976429452,NA
ENSGALG00010001033,-2.319371943,0.083287022
ENSGALG00010001037,-0.764794711,NA
ENSGALG00010001042,-0.043472713,NA
ENSGALG00010001049,-0.043479016,NA
ENSGALG00010001052,-0.043472713,NA
ENSGALG00010001053,2.730596987,0.206189858
ENSGALG00010001055,-1.41322644,NA
ENSGALG00010001056,2.05429983,NA
ENSGALG00010001057,1.088321717,0.017021714
ENSGALG00010001058,0.287510362,0.762220106
ENSGALG00010001059,1.21178284,4.66E-05
ENSGALG00010001060,-0.043472713,NA
ENSGALG00010001064,-1.197232254,NA
ENSGALG00010001065,-1.510011113,0.002664436
ENSGALG00010001067,-0.764811164,NA
ENSGALG00010001068,0.918315973,NA
ENSGALG00010001069,0.308475114,0.744936218
ENSGALG00010001075,0.261467231,0.868191541
ENSGALG00010001076,0.789189938,NA
ENSGALG00010001077,1.510525835,NA
ENSGALG00010001078,-0.043472713,NA
ENSGALG00010001080,-1.209331291,NA
ENSGALG00010001081,0.669125227,NA
ENSGALG00010001083,3.800256303,0.032890038
ENSGALG00010001085,2.434323226,NA
ENSGALG00010001086,2.838611512,NA
ENSGALG00010001088,-3.119462799,NA
ENSGALG00010001095,-0.8945736,NA
ENSGALG00010001098,3.258168497,NA
ENSGALG00010001101,-1.494727645,NA
ENSGALG00010001107,0.918316528,NA
ENSGALG00010001108,-0.043491574,NA
ENSGALG00010001110,0.652148347,NA
ENSGALG00010001194,1.249083144,7.59E-06
ENSGALG00010001196,-2.938373411,0.02644311
ENSGALG00010001198,0.092389167,0.772233089
ENSGALG00010001200,-0.585439201,0.059572705
ENSGALG00010001202,-0.220066102,0.879716553
ENSGALG00010001207,-1.032287436,NA
ENSGALG00010001208,-0.416655576,0.731020505
ENSGALG00010001210,1.599557116,0.023864015
ENSGALG00010001214,-0.531777321,0.126921069
ENSGALG00010001219,0.432064333,0.218264557
ENSGALG00010001220,-0.21170629,0.370169166
ENSGALG00010001222,1.291780303,0.000268444
ENSGALG00010001223,-0.189582454,0.929158059
ENSGALG00010001224,1.140466355,5.48E-05
ENSGALG00010001228,0.18861601,0.547071602
ENSGALG00010001232,0.683371045,0.033592666
ENSGALG00010001234,-0.628958746,0.158131118
ENSGALG00010001236,0.604753638,0.739351802
ENSGALG00010001248,2.56458677,0.069341783
ENSGALG00010001251,0.529983421,0.209007626
ENSGALG00010001264,0.913726446,0.041799491
ENSGALG00010001281,1.777069597,0.482472578
ENSGALG00010001298,0.32604851,0.249643197
ENSGALG00010001305,2.29674095,NA
ENSGALG00010001320,0.050124502,0.90143786
ENSGALG00010001349,0.287119097,0.327559253
ENSGALG00010001367,0.702408255,0.115875153
ENSGALG00010001381,0.947411582,0.000797231
ENSGALG00010001407,0.594126154,0.031723504
ENSGALG00010001419,0.963247873,0.365294341
ENSGALG00010001421,-0.043472713,NA
ENSGALG00010001427,-3.720332862,0.062228268
ENSGALG00010001443,0.421030315,0.04853634
ENSGALG00010001448,0.647137333,0.566259474
ENSGALG00010001454,-2.338194367,0.00023738
ENSGALG00010001456,0.272246778,0.750274354
ENSGALG00010001461,0.646212721,0.009361138
ENSGALG00010001466,1.008961118,0.000773582
ENSGALG00010001468,-1.471790769,0.00022653
ENSGALG00010001470,1.411886589,0.038675182
ENSGALG00010001475,0.876149524,0.016786287
ENSGALG00010001477,1.272380952,0.275330956
ENSGALG00010001479,0.374763802,0.029888557
ENSGALG00010001484,-1.623987327,NA
ENSGALG00010001486,-3.93884346,0.054424888
ENSGALG00010001488,1.410964251,0.084947992
ENSGALG00010001492,0.305566842,0.540301891
ENSGALG00010001501,0.866424345,0.001423308
ENSGALG00010001510,0.471311721,0.011194888
ENSGALG00010001513,0.062466189,0.836680204
ENSGALG00010001514,-0.297351031,0.645729012
ENSGALG00010001516,1.9735848,0.103849476
ENSGALG00010001517,-0.035836162,0.958483506
ENSGALG00010001524,1.709759059,NA
