gene_id	symbol	label	log2FC_used	padj	present_in_data	node_status	signif_flag
ENSGALG00010009447	DDX41	DDX41	-0.173704493801283	0.298916962991534	TRUE	Present; not significant	FALSE
NA	IFI16	IFI16	NA	NA	FALSE	Missing gene	FALSE
NA	MB21D1	cGAS	0.747166054905138	5.11951413769527e-6	TRUE	Present; significant	TRUE
NA	ZBP1	ZBP1	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010011969	STING1	STING1	0.907281811886253	1.7387029570341e-4	TRUE	Present; significant	TRUE
ENSGALG00010017049	TRAF3	TRAF3	0.535077983861574	0.03044263758762	TRUE	Present; significant	TRUE
ENSGALG00010025204	TRAF6	TRAF6	0.288952501553179	0.161897883318631	TRUE	Present; not significant	FALSE
ENSGALG00010013089	TBK1	TBK1	-0.105385533564654	0.687662914253715	TRUE	Present; not significant	FALSE
ENSGALG00010017955	IKBKB	IKKβ	-0.12709821079716	0.478257098897909	TRUE	Present; not significant	FALSE
NA	IKBKG	NEMO	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010008527	CHUK	IKKα	0.900080310948275	1.99324159761982e-8	TRUE	Present; significant	TRUE
ENSGALG00010023005	IRF7	IRF7	-1.06823065102569	1.4888668263317e-4	TRUE	Present; significant	TRUE
NA	IRF3	IRF3	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010005476	NFKB1	NF-κB	0.610106933530188	1.06775327346124e-5	TRUE	Present; significant	TRUE
ENSGALG00010001277	RELA	RelA	0.254400649593365	0.202068083504206	TRUE	Present; not significant	FALSE
NA	IFNB1	IFNβ	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010012049	IFNAR1	IFNAR1	-0.894315640298338	7.0399855988037e-4	TRUE	Present; significant	TRUE
ENSGALG00010010156	IFNAR2	IFNAR2	-0.215701557652838	0.188362727896964	TRUE	Present; not significant	FALSE
ENSGALG00010024493	JAK1	JAK1	-0.351641795919	0.0763809362406104	TRUE	Present; not significant	FALSE
ENSGALG00010002443	TYK2	TYK2	-0.212598596703167	0.155330979657732	TRUE	Present; not significant	FALSE
ENSGALG00010013934	STAT1	STAT1	-0.333381196106721	0.00812135773756911	TRUE	Present; significant	TRUE
ENSGALG00010024965	STAT2	STAT2	-0.141111473617378	0.633624101388304	TRUE	Present; not significant	FALSE
NA	IRF9	IRF9	-1.65361249475505	1.1297533440035e-4	TRUE	Present; significant	TRUE
NA	CXCL10	CXCL10	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010029947	CCL5	CCL5	-2.73948425702566	8.1197213323491e-4	TRUE	Present; significant	TRUE
NA	ISG15	ISG15	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010013809	MX1	MX1	-1.42720844436219	0.00530547653933296	TRUE	Present; significant	TRUE
ENSGALG00010027634	OASL	OASL	-1.1088064919645	0.00722992926689531	TRUE	Present; significant	TRUE
ENSGALG00010018016	IFIT5	IFIT5	-1.19856292318417	0.00304676372720362	TRUE	Present; significant	TRUE
ENSGALG00010003583	RSAD2	RSAD2	-0.286912490323127	0.584421820136347	TRUE	Present; not significant	FALSE
ENSGALG00010001941	IL6	IL6	0.328102325149921	0.391159794227582	TRUE	Present; not significant	FALSE
NA	TNF	TNF	NA	NA	FALSE	Missing gene	FALSE
