gene_id	symbol	label	log2FC_used	padj	present_in_data	node_status	signif_flag
ENSGALG00010018503	BMP2	BMP2	0.465045943966925	0.22812449222512	TRUE	Present; not significant	FALSE
ENSGALG00010018174	BMP4	BMP4	-0.231419483717287	0.590954457071543	TRUE	Present; not significant	FALSE
ENSGALG00010015033	BMP7	BMP7	0.994884584593551	4.5146756758966e-4	TRUE	Present; significant	TRUE
ENSGALG00010010465	BMPR1A	BMPR1A	0.736188908559173	0.00117054584606473	TRUE	Present; significant	TRUE
ENSGALG00010025207	BMPR2	BMPR2	0.255732683967185	0.296711524507958	TRUE	Present; not significant	FALSE
ENSGALG00010006404	SMAD1	SMAD1	0.266658775828682	0.142709795278562	TRUE	Present; not significant	FALSE
ENSGALG00010015829	SMAD5	SMAD5	0.666252250221157	0.0028926834798672	TRUE	Present; significant	TRUE
ENSGALG00010012103	SMAD4	SMAD4	1.65958683972956	4.69866730685771e-13	TRUE	Present; significant	TRUE
NA	WNT3A	Wnt3a	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010004791	FZD1	Fzd1	0.710890244023576	0.0118563830474004	TRUE	Present; significant	TRUE
ENSGALG00010025790	LRP5	LRP5	0.586306626760536	0.0562181288037364	TRUE	Present; not significant	FALSE
ENSGALG00010021562	LRP6	LRP6	0.673541211785137	0.00339802116194046	TRUE	Present; significant	TRUE
NA	DVL2	DVL2	NA	NA	FALSE	Missing gene	FALSE
NA	GSK3B	GSK3β	-0.118689538898227	0.452031996448803	TRUE	Present; not significant	FALSE
ENSGALG00010008333	APC	APC	0.272770014182881	0.160410198836954	TRUE	Present; not significant	FALSE
ENSGALG00010029221	AXIN2	Axin2	0.843385955426143	0.00151000589553428	TRUE	Present; significant	TRUE
ENSGALG00010016258	CTNNB1	β-catenin	-0.666983944137463	0.0139381670931587	TRUE	Present; significant	TRUE
ENSGALG00010008166	RUNX2	RUNX2	-1.14607059190778	0.0683945948713598	TRUE	Present; not significant	FALSE
NA	SP7	Osterix	-0.587284793140008	0.260594909218303	TRUE	Present; not significant	FALSE
ENSGALG00010012407	ATF4	ATF4	0.871550244277185	2.34361576474392e-9	TRUE	Present; significant	TRUE
ENSGALG00010025092	COL1A1	COL1A1	2.62523345750131	5.25073018523773e-15	TRUE	Present; significant	TRUE
ENSGALG00010021115	ALPL	ALP	-1.67071351487861	0.0180351222098247	TRUE	Present; significant	TRUE
ENSGALG00010028181	BGLAP	OCN	-5.24340599070571	2.8977247835495e-11	TRUE	Present; significant	TRUE
ENSGALG00010003220	SPP1	OPN	-2.26072371094015	1.77802210603782e-6	TRUE	Present; significant	TRUE
ENSGALG00010002428	IBSP	BSP	-5.06548056546235	5.23180654482383e-7	TRUE	Present; significant	TRUE
ENSGALG00010024290	SOST	Sclerostin	-6.52307958551043	1.09142598721629e-33	TRUE	Present; significant	TRUE
NA	DKK1	DKK1	-6.17032941163546	9.717520726610589e-30	TRUE	Present; significant	TRUE
