gene_id	symbol	label	log2FC_used	padj	present_in_data	node_status	signif_flag
ENSGALG00010027734	CSF1	M-CSF	-1.06005408652475	4.95669435452131e-6	TRUE	Present; significant	TRUE
ENSGALG00010016804	CSF1R	CSF1R	-3.13975642961999	1.0993933883265e-23	TRUE	Present; significant	TRUE
ENSGALG00010003276	TNFSF11	RANKL	-0.888126565859417	0.0153187713283829	TRUE	Present; significant	TRUE
ENSGALG00010011976	TNFRSF11A	RANK	-1.1361609269956	2.9771309484062897e-19	TRUE	Present; significant	TRUE
ENSGALG00010009219	TNFRSF11B	OPG	2.1451979775222	2.98184394291662e-9	TRUE	Present; significant	TRUE
ENSGALG00010025204	TRAF6	TRAF6	0.288952501553179	0.161897883318631	TRUE	Present; not significant	FALSE
ENSGALG00010003218	MAP3K7	TAK1	-0.129857398182727	0.483995368892617	TRUE	Present; not significant	FALSE
ENSGALG00010027041	MAPK14	p38	-0.931736982801504	2.5307590179317e-4	TRUE	Present; significant	TRUE
NA	MAPK1	ERK	0.0252146844260956	0.91387677478537	TRUE	Present; not significant	FALSE
ENSGALG00010005476	NFKB1	NF-κB	0.610106933530188	1.06775327346124e-5	TRUE	Present; significant	TRUE
ENSGALG00010026886	JUN	c-Jun	1.96638563571754	7.54279183660488e-10	TRUE	Present; significant	TRUE
ENSGALG00010006212	FOS	c-Fos	1.04084061666603	0.00502165185919665	TRUE	Present; significant	TRUE
ENSGALG00010007252	NFATC1	NFATc1	1.78701607027921	8.04002721412418e-14	TRUE	Present; significant	TRUE
ENSGALG00010003260	ACP5	TRAP	-4.02901158706641	8.2315441076987e-4	TRUE	Present; significant	TRUE
ENSGALG00010028763	CTSK	CathK	-1.83159076427999	4.63774481284828e-15	TRUE	Present; significant	TRUE
ENSGALG00010015061	MMP9	MMP9	-1.23119294277269	0.0580821054801319	TRUE	Present; not significant	FALSE
ENSGALG00010003255	CALCR	CTR	2.29427769175334	2.01563235716954e-6	TRUE	Present; significant	TRUE
ENSGALG00010013013	DCSTAMP	DC-STAMP	-3.90871353758576	3.5614084356424597e-20	TRUE	Present; significant	TRUE
