pathway,gene_id,symbol,label,module,log2FC_used,padj,present_in_data,node_status,signif_flag
apoptosis,NA,TNF,TNF,Ligand/Receptor,NA,NA,FALSE,Missing gene,FALSE
apoptosis,ENSGALG00010024837,TNFRSF1A,TNFRSF1A,Ligand/Receptor,0.750361808862701,1.26104762481224e-8,TRUE,Present; significant,TRUE
apoptosis,ENSGALG00010024696,TRADD,TRADD,Adaptor,-0.344645436352405,0.0254594224501849,TRUE,Present; significant,TRUE
apoptosis,ENSGALG00010025338,FADD,FADD,Caspase axis,0.0278074225268045,0.894525192042679,TRUE,Present; not significant,FALSE
apoptosis,ENSGALG00010024903,CASP8,CASP8,Caspase axis,-0.658928374766502,0.0323770313154309,TRUE,Present; significant,TRUE
apoptosis,ENSGALG00010019034,CASP7,CASP7,Executioners,-0.572893514404502,0.0275938960502035,TRUE,Present; significant,TRUE
apoptosis,ENSGALG00010007067,CASP3,CASP3,Executioners,-0.337650911672699,0.309999088301308,TRUE,Present; not significant,FALSE
apoptosis,ENSGALG00010012415,BID,BID,Mitochondrial axis,-1.45296785325133,1.1164744233129502e-9,TRUE,Present; significant,TRUE
apoptosis,NA,BAX,BAX,Mitochondrial axis,NA,NA,FALSE,Missing gene,FALSE
apoptosis,ENSGALG00010002409,CYCS,CYCS,Mitochondrial axis,-0.924693584961354,4.37016039908798e-7,TRUE,Present; significant,TRUE
apoptosis,ENSGALG00010010618,APAF1,APAF1,Mitochondrial axis,-0.739025243641958,0.0177573123447454,TRUE,Present; significant,TRUE
apoptosis,NA,CASP9,CASP9,Mitochondrial axis,-0.164989288919988,0.500027984415049,TRUE,Present; not significant,FALSE
cgas_sting,ENSGALG00010009447,DDX41,DDX41,Sensors,-0.173704493801283,0.298916962991534,TRUE,Present; not significant,FALSE
cgas_sting,NA,IFI16,IFI16,Sensors,NA,NA,FALSE,Missing gene,FALSE
cgas_sting,NA,MB21D1,cGAS,Sensors,0.747166054905138,5.11951413769527e-6,TRUE,Present; significant,TRUE
cgas_sting,NA,ZBP1,ZBP1,Sensors,NA,NA,FALSE,Missing gene,FALSE
cgas_sting,ENSGALG00010011969,STING1,STING1,STING,0.907281811886253,1.7387029570341e-4,TRUE,Present; significant,TRUE
cgas_sting,ENSGALG00010017049,TRAF3,TRAF3,Trafficking,0.535077983861574,0.03044263758762,TRUE,Present; significant,TRUE
cgas_sting,ENSGALG00010025204,TRAF6,TRAF6,Trafficking,0.288952501553179,0.161897883318631,TRUE,Present; not significant,FALSE
cgas_sting,ENSGALG00010013089,TBK1,TBK1,Kinases,-0.105385533564654,0.687662914253715,TRUE,Present; not significant,FALSE
cgas_sting,ENSGALG00010017955,IKBKB,IKKβ,Kinases,-0.12709821079716,0.478257098897909,TRUE,Present; not significant,FALSE
cgas_sting,NA,IKBKG,NEMO,Kinases,NA,NA,FALSE,Missing gene,FALSE
cgas_sting,ENSGALG00010008527,CHUK,IKKα,Kinases,0.900080310948275,1.99324159761982e-8,TRUE,Present; significant,TRUE
cgas_sting,ENSGALG00010023005,IRF7,IRF7,TFs,-1.06823065102569,1.4888668263317e-4,TRUE,Present; significant,TRUE
cgas_sting,NA,IRF3,IRF3,TFs,NA,NA,FALSE,Missing gene,FALSE
cgas_sting,ENSGALG00010005476,NFKB1,NF-κB,TFs,0.610106933530188,1.06775327346124e-5,TRUE,Present; significant,TRUE
cgas_sting,ENSGALG00010001277,RELA,RelA,TFs,0.254400649593365,0.202068083504206,TRUE,Present; not significant,FALSE
cgas_sting,NA,IFNB1,IFNβ,IFN,NA,NA,FALSE,Missing gene,FALSE
cgas_sting,ENSGALG00010012049,IFNAR1,IFNAR1,IFNAR/JAK-STAT,-0.894315640298338,7.0399855988037e-4,TRUE,Present; significant,TRUE
cgas_sting,ENSGALG00010010156,IFNAR2,IFNAR2,IFNAR/JAK-STAT,-0.215701557652838,0.188362727896964,TRUE,Present; not significant,FALSE
cgas_sting,ENSGALG00010024493,JAK1,JAK1,IFNAR/JAK-STAT,-0.351641795919,0.0763809362406104,TRUE,Present; not significant,FALSE
cgas_sting,ENSGALG00010002443,TYK2,TYK2,IFNAR/JAK-STAT,-0.212598596703167,0.155330979657732,TRUE,Present; not significant,FALSE
cgas_sting,ENSGALG00010013934,STAT1,STAT1,IFNAR/JAK-STAT,-0.333381196106721,0.00812135773756911,TRUE,Present; significant,TRUE
cgas_sting,ENSGALG00010024965,STAT2,STAT2,IFNAR/JAK-STAT,-0.141111473617378,0.633624101388304,TRUE,Present; not significant,FALSE
cgas_sting,NA,IRF9,IRF9,IFNAR/JAK-STAT,-1.65361249475505,1.1297533440035e-4,TRUE,Present; significant,TRUE
cgas_sting,NA,CXCL10,CXCL10,ISGs/Outputs,NA,NA,FALSE,Missing gene,FALSE
cgas_sting,ENSGALG00010029947,CCL5,CCL5,ISGs/Outputs,-2.73948425702566,8.1197213323491e-4,TRUE,Present; significant,TRUE
cgas_sting,NA,ISG15,ISG15,ISGs/Outputs,NA,NA,FALSE,Missing gene,FALSE
cgas_sting,ENSGALG00010013809,MX1,MX1,ISGs/Outputs,-1.42720844436219,0.00530547653933296,TRUE,Present; significant,TRUE
cgas_sting,ENSGALG00010027634,OASL,OASL,ISGs/Outputs,-1.1088064919645,0.00722992926689531,TRUE,Present; significant,TRUE
cgas_sting,ENSGALG00010018016,IFIT5,IFIT5,ISGs/Outputs,-1.19856292318417,0.00304676372720362,TRUE,Present; significant,TRUE
cgas_sting,ENSGALG00010003583,RSAD2,RSAD2,ISGs/Outputs,-0.286912490323127,0.584421820136347,TRUE,Present; not significant,FALSE
