gene_id	symbol	label	log2FC_used	padj	present_in_data	node_status	signif_flag
NA	TNF	TNF	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010024837	TNFRSF1A	TNFRSF1A	0.750361808862701	1.26104762481224e-8	TRUE	Present; significant	TRUE
ENSGALG00010024696	TRADD	TRADD	-0.344645436352405	0.0254594224501849	TRUE	Present; significant	TRUE
ENSGALG00010025338	FADD	FADD	0.0278074225268045	0.894525192042679	TRUE	Present; not significant	FALSE
ENSGALG00010024903	CASP8	CASP8	-0.658928374766502	0.0323770313154309	TRUE	Present; significant	TRUE
ENSGALG00010019034	CASP7	CASP7	-0.572893514404502	0.0275938960502035	TRUE	Present; significant	TRUE
ENSGALG00010007067	CASP3	CASP3	-0.337650911672699	0.309999088301308	TRUE	Present; not significant	FALSE
ENSGALG00010012415	BID	BID	-1.45296785325133	1.1164744233129502e-9	TRUE	Present; significant	TRUE
NA	BAX	BAX	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010002409	CYCS	CYCS	-0.924693584961354	4.37016039908798e-7	TRUE	Present; significant	TRUE
ENSGALG00010010618	APAF1	APAF1	-0.739025243641958	0.0177573123447454	TRUE	Present; significant	TRUE
NA	CASP9	CASP9	-0.164989288919988	0.500027984415049	TRUE	Present; not significant	FALSE
