"ENTREZID","gene_label","Avg_LogFC","Avg_Padj","N_Records","Direction"
"768904","DPT",19.940702985769,2.13038065004961e-84,1,"Up"
"421058","EMILIN2",16.8684606528651,4.53025968073349e-60,1,"Up"
"428435","CREB5",16.0826494229687,1.32821892732687e-54,1,"Up"
"423611","MMRN2",14.2259637202597,1.86552072486734e-42,1,"Up"
"396340","COL3A1",13.8583700768142,2.39684082953714e-40,1,"Up"
"373996","CAV1",13.8530915383828,2.39684082953714e-40,1,"Up"
"416130","FGD5",13.3511684243286,1.96596806790759e-37,1,"Up"
"415669","TPPP3",13.2428267015957,7.32381394998786e-37,1,"Up"
"771003","CAMKK1",13.1441213113751,2.41193159424473e-36,1,"Up"
"422473","DCLK2",13.031144584878,8.88079605994441e-36,1,"Up"
"771674","PROK2",13.0239964991194,8.88079605994441e-36,1,"Up"
"420172","PREX2",13.0232065132612,8.88079605994441e-36,1,"Up"
"423105","CD151",12.7083163194166,4.82673105425131e-34,1,"Up"
"428201","STC1",12.4565077670207,1.08656182077143e-32,1,"Up"
"395451","CXCL14",12.4054899571986,1.91991418851907e-32,1,"Up"
"418657","MXRA5",12.3558687700806,3.34024203221772e-32,1,"Up"
"420561","TFPI2",12.2317640081068,1.46012246739686e-31,1,"Up"
"424050","HECW2",12.1842087246178,2.47381372426672e-31,1,"Up"
"418839","ENOX1",12.1291182517576,4.59920039971526e-31,1,"Up"
"428321","KANK3",12.0001764035498,2.09214032716955e-30,1,"Up"
"395333","MOXD1",11.9949504207069,2.12235485559394e-30,1,"Up"
"417209","PKN3",11.9550423976535,3.27786517115197e-30,1,"Up"
"396000","COL6A1",11.812349040174,1.72931128968481e-29,1,"Up"
"428199","ANTXR1",11.7421708337949,3.80968466839349e-29,1,"Up"
"395612","GSTA4",-11.6508473786362,1.07251093483161e-28,1,"Down"
"419031","VWF",11.515502927674,5.00289633157299e-28,1,"Up"
"416553","PKD1",11.4799848352981,7.26958125399556e-28,1,"Up"
"423796","PCGF5",11.4727349497241,7.62289194647751e-28,1,"Up"
"417015","MTMR3",-11.4309648292426,1.19174473731401e-27,1,"Down"
"418143","TMTC1",11.409244781384,1.47910307974649e-27,1,"Up"
"420384","AQP1",11.3741453864664,2.14153539517515e-27,1,"Up"
"100857227","ITGA2",11.2351033625497,9.8652261262949e-27,1,"Up"
"419710","CDON",11.2345662745009,9.8652261262949e-27,1,"Up"
"396006","PTRF",11.2309158431609,9.97904576654821e-27,1,"Up"
"430666","CILP2",11.212553775223,1.19313032797374e-26,1,"Up"
"100858171","XKR4",11.1847098002003,1.58831251924115e-26,1,"Up"
"771337","SOX7",11.1798286318816,1.6327823123465e-26,1,"Up"
"374100","FLT1",11.1770732353235,1.63994222680818e-26,1,"Up"
"396292","COL6A2",11.1731957526396,1.66922349517972e-26,1,"Up"
"374103","ZIC1",11.0100927628624,1.00804354980567e-25,1,"Up"
"373952","NBL1",10.8262274956253,7.4436289800174e-25,1,"Up"
