bucket,gene_label,ENTREZID,logFC,padj,Regulation,Present_in_input
DAMP_alarmins,HMGB1,395724,0.369851524480466,0.803006773109737,NoChange,TRUE
DAMP_alarmins,S100A8,NA,NA,NA,NoChange,FALSE
DAMP_alarmins,S100A9,NA,NA,NA,NoChange,FALSE
DAMP_alarmins,HSPA1A,NA,NA,NA,NoChange,FALSE
DAMP_alarmins,HSP90AA1,423463,0.0685013558181751,0.965511591799177,NoChange,TRUE
DAMP_alarmins,IL33,NA,NA,NA,NoChange,FALSE
PRR_sensing,TLR2,NA,NA,NA,NoChange,FALSE
PRR_sensing,TLR4,417241,-2.21363328511908,0.0669761397089717,NoChange,TRUE
PRR_sensing,NOD1,420677,1.2772193310438,0.325718429708376,NoChange,TRUE
PRR_sensing,NOD2,NA,NA,NA,NoChange,FALSE
PRR_sensing,NLRP3,423021,-2.29586051969573,0.0561828516330765,NoChange,TRUE
PRR_sensing,AIM2,NA,NA,NA,NoChange,FALSE
PRR_sensing,TMEM173,768990,0.553496958481264,0.699606783834103,NoChange,TRUE
PRR_sensing,MB21D1,NA,NA,NA,NoChange,FALSE
Inflammasome_IL1,CASP1,395764,-0.59375958143734,0.678138470349745,NoChange,TRUE
Inflammasome_IL1,IL1B,NA,NA,NA,NoChange,FALSE
Inflammasome_IL1,PYCARD,NA,NA,NA,NoChange,FALSE
Inflammasome_IL1,NLRC4,NA,NA,NA,NoChange,FALSE
Inflammasome_IL1,GSDMD,NA,NA,NA,NoChange,FALSE
Lipid_FA,PPARA,374120,3.22125629544448,0.00546152555546744,Up,TRUE
Lipid_FA,PPARG,373928,2.64184159260708,0.0254618766072859,Up,TRUE
Lipid_FA,CPT1A,423118,1.8569995440833,0.132177428977773,NoChange,TRUE
Lipid_FA,ACSL1,422547,2.32690050096991,0.0525278732697861,NoChange,TRUE
Lipid_FA,ACOX1,417366,-1.48221510919042,0.24413115381492,NoChange,TRUE
Lipid_FA,FASN,396061,-4.35351582093262,1.1318043839269e-4,Down,TRUE
Lipid_FA,SCD,395706,-4.34331836834257,1.17723496211447e-4,Down,TRUE
Lipid_FA,ELOVL6,428772,-0.789681345283872,0.567085768562811,NoChange,TRUE
Eicosanoid,PLA2G4A,396394,4.12454676069245,2.73489462739846e-4,Up,TRUE
Eicosanoid,PTGS1,427752,1.9973479424843401,0.10242283533841,NoChange,TRUE
Eicosanoid,PTGS2,396451,3.98064862790644,4.6060288458387e-4,Up,TRUE
Eicosanoid,ALOX5,423769,-2.74822821897215,0.0195942261467866,Down,TRUE
Eicosanoid,ALOX12,NA,NA,NA,NoChange,FALSE
Eicosanoid,ALOX15,NA,NA,NA,NoChange,FALSE
