gene_id	symbol	log2FC_used	padj	present_in_data
NA	MB21D1	NA	NA	FALSE
ENSGALG00010011969	TMEM173	-0.620459418979223	0.0378683835608999	TRUE
ENSGALG00010009447	DDX41	-0.121361191004137	0.579419462781971	TRUE
NA	IFI16	NA	NA	FALSE
NA	ZBP1	NA	NA	FALSE
ENSGALG00010017049	TRAF3	-0.269914479647618	0.167608870816363	TRUE
ENSGALG00010025204	TRAF6	-0.0546385584253013	0.733706227567682	TRUE
ENSGALG00010013089	TBK1	-0.262722337004554	0.11643569549783	TRUE
ENSGALG00010017955	IKBKB	0.0111858002866335	0.947410728487791	TRUE
ENSGALG00010008527	CHUK	-0.260594265187412	0.021635439349736	TRUE
NA	IKBKG	NA	NA	FALSE
NA	IRF3	NA	NA	FALSE
ENSGALG00010023005	IRF7	0.222748376717808	0.594733036044371	TRUE
ENSGALG00010005476	NFKB1	-0.238764475207694	0.115935795046349	TRUE
NA	RELA	NA	NA	FALSE
NA	IFNB1	NA	NA	FALSE
ENSGALG00010012049	IFNAR1	0.42092700572387	0.210681963255972	TRUE
ENSGALG00010010156	IFNAR2	0.0136940756787019	0.964776115023059	TRUE
ENSGALG00010024493	JAK1	0.442359565974922	0.00306212580980068	TRUE
ENSGALG00010002443	TYK2	-0.0482929472461814	0.872642873573972	TRUE
ENSGALG00010013934	STAT1	0.322429724473027	0.0514890877208288	TRUE
ENSGALG00010024965	STAT2	0.260006612494123	0.386685926008449	TRUE
NA	IRF9	NA	NA	FALSE
NA	ISG15	NA	NA	FALSE
ENSGALG00010027634	OASL	0.66844001850217	0.168370187095702	TRUE
ENSGALG00010013809	MX1	1.71364560563179	1.3099353851685e-4	TRUE
ENSGALG00010018016	IFIT5	0.523859811649969	0.253282487666582	TRUE
ENSGALG00010003583	RSAD2	0.970017428592397	0.0415270853502727	TRUE
NA	CXCL10	NA	NA	FALSE
ENSGALG00010029947	CCL5	0.0255695994520445	0.965345730516597	TRUE
ENSGALG00010001941	IL6	-0.141179848309872	0.724552462380165	TRUE
NA	TNF	NA	NA	FALSE
