gene_id	symbol	label	log2FC_used	padj	present_in_data	node_status	signif_flag
NA	TNF	TNF	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010024837	TNFRSF1A	TNFRSF1A	-1.55926103557226	1.01505220337067e-16	TRUE	Present; significant	TRUE
ENSGALG00010024696	TRADD	TRADD	0.199143933157156	0.339900939930969	TRUE	Present; not significant	FALSE
ENSGALG00010025338	FADD	FADD	0.356392152916107	0.113917709302479	TRUE	Present; not significant	FALSE
ENSGALG00010024903	CASP8	CASP8	-0.37552110659131	0.145016435438269	TRUE	Present; not significant	FALSE
ENSGALG00010019034	CASP7	CASP7	-0.121738042757474	0.76338071710391	TRUE	Present; not significant	FALSE
ENSGALG00010007067	CASP3	CASP3	0.160169204099024	0.564920989695952	TRUE	Present; not significant	FALSE
ENSGALG00010012415	BID	BID	0.174306123533823	0.476885026229962	TRUE	Present; not significant	FALSE
NA	BAX	BAX	NA	NA	FALSE	Missing gene	FALSE
ENSGALG00010002409	CYCS	CYCS	0.43548977016295	0.108825231157646	TRUE	Present; not significant	FALSE
ENSGALG00010010618	APAF1	APAF1	0.603211932379475	0.0026094257207407	TRUE	Present; significant	TRUE
NA	CASP9	CASP9	NA	NA	FALSE	Missing gene	FALSE
