#NAME,C14S1_experimental_1,C16F_controlF_3,C17F_controlF_4,C18S2_experimental_2,C1P_controlP_1,C20S1_experimental_3,C20S3_experimental_4,C2F_controlF_1,C2P_controlP_2,C3F_controlF_2,C4P_controlP_3,C9P_controlP_4
#CLASS:Group,Exp,ConF,ConF,Exp,ConP,Exp,Exp,ConF,ConP,ConF,ConP,ConP
SPRY2,140,399,477,239,219,176,159,356,217,514,205,168
PCDH20,91,122,208,122,22,30,35,46,24,66,48,18
NDFIP2,3772,1613,2468,3906,1098,3002,3477,1526,2043,1245,2355,1971
RBM26,1984,1593,2242,3034,981,2075,1926,1259,1940,1640,2117,2032
RNF219,500,520,678,547,217,393,317,251,316,415,456,409
POU4F1,0,0,0,0,0,0,0,0,0,0,0,0
EDNRB,364,305,288,55,28,19,35,182,30,129,38,39
SLAIN1,0,8,8,3,5,0,1,5,1,7,5,0
SCEL,76,21,27,6,2,5,2,7,2,15,9,5
,0,0,0,5,0,1,0,0,0,3,0,0
MYCBP2,6508,5708,7680,11092,5558,6679,6068,4542,8464,5614,8496,6590
FBXL3,543,607,1086,565,291,354,312,532,497,645,454,373
CLN5,739,244,426,637,213,414,388,287,386,281,521,399
GATD3AL1,387,707,839,539,583,342,274,558,782,684,680,446
ACOD1,4,24,24,15,5,17,4,6,22,18,4,4
,0,0,0,0,0,0,0,1,0,0,0,0
,59,160,289,118,89,106,102,200,260,277,171,118
KCTD12,25,93,157,102,62,81,60,158,242,98,94,77
LMO7,4090,2195,3012,4672,2502,3410,3277,2480,3146,2221,3782,4386
,1,0,2,0,1,0,0,0,3,0,6,3
UCHL3,511,520,439,693,211,456,404,214,299,351,325,354
COMMD6,486,439,645,816,244,457,400,329,315,524,459,419
TBC1D4,1171,1289,1319,1753,924,1141,1082,670,1298,658,1164,1187
KLF12,754,399,613,976,303,697,693,421,619,335,732,537
KLF5,247,291,473,349,124,120,157,214,79,238,89,171
PIBF1,280,259,339,362,99,208,243,173,159,185,253,252
DIS3,327,243,394,427,167,367,304,212,255,295,307,254
BORA,169,72,83,406,111,265,175,59,179,86,194,92
MZT1,261,216,219,304,62,300,194,100,127,141,173,88
DACH1,167,65,41,78,45,24,32,24,73,30,72,22
KLHL1,9,3,1,0,0,1,0,8,1,0,0,0
PCDH9,884,228,175,189,15,100,94,79,32,111,74,31
,0,1,0,0,0,0,0,0,0,0,0,0
,0,1,6,0,0,0,0,2,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,2,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,1,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,1,0,0,1,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,1,3,0,0
,0,0,0,4,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0
,0,1,2,7,10,6,2,0,7,4,1,10
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,2,0
,0,0,0,0,1,0,0,0,0,0,1,0
,1,0,0,2,0,0,0,0,1,2,0,3
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,2,1,1,3,0,1,0,1,5,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,8,4,7,7,2,12,4,0,4,2,11,8
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
