ENTREZ_ID,GENE_SYM
100008585,TICAM1
100034745,PTGER2
100049058,DAG1
100049617,FAAP100
100049618,FCER1G
100049619,CFTR
100113359,CENPA
100125831,NSMCE3
100125976,MCPH1
100134845,CKS1B
100170842,WNT11B
100189558,ANGPTL3
100190948,CDK5
100194427,CD14
100216000,CNN2
100216364,PSMD4
100272165,CHIR1AB3
100272166,NANOG
100310814,SELENOW
100315694,gga-mir-1329
100315695,gga-mir-1397
100315696,gga-mir-454
100315698,gga-mir-1434
100315699,gga-mir-1452
100315700,gga-mir-1453
100315701,gga-mir-1454
100315703,gga-mir-1459
100315704,gga-mir-1460
100315706,gga-mir-1465
100315707,MIR1466
100315708,gga-mir-1551
100315709,gga-mir-1553
100315711,gga-mir-1557
100315713,gga-mir-1559
100315714,gga-mir-1563
100315715,gga-mir-1564
100315717,gga-mir-1567
100315719,gga-mir-1571
100315720,gga-mir-1572
100315721,gga-mir-1574
100315722,gga-mir-1577
100315723,gga-mir-1578
100315724,gga-mir-1582
100315725,gga-mir-1583
100315726,gga-mir-1584
100315727,gga-mir-1586
100315728,gga-mir-1588
100315730,gga-mir-1592
100315731,gga-mir-1593
100315732,gga-mir-1594
100315733,gga-mir-1598
100315735,gga-mir-1601
100315739,gga-mir-1609
100315743,gga-mir-1614
100315747,gga-mir-1622
100315748,gga-mir-1623
100315749,gga-mir-1627
100315751,gga-mir-1629
100315752,gga-mir-1632
100315753,gga-mir-1633
100315756,gga-mir-1815
100315758,gga-mir-1641
100315759,gga-mir-1642
100315760,gga-mir-1643
100315761,gga-mir-1647
100315762,gga-mir-1648
100315763,gga-mir-1649
100315764,gga-mir-1652
100315765,gga-mir-1654
100315766,gga-mir-1655
100315767,gga-mir-135b
100315768,gga-mir-1657
100315769,gga-mir-1660
100315772,gga-mir-1665
100315773,gga-mir-1666
100315774,gga-mir-1669
100315777,gga-mir-1674
100315778,gga-mir-1677
100315780,gga-mir-1682
100315781,gga-mir-1683
100315783,MIR1687
100315784,gga-mir-1689
100315785,gga-mir-1690
100315789,gga-mir-1698-1
100315790,gga-mir-1699
100315791,gga-mir-1700
100315792,gga-mir-1703
100315793,gga-mir-1705
100315794,gga-mir-1706
100315795,gga-mir-1708
100315796,gga-mir-449c
100315797,gga-mir-1709
100315798,gga-mir-1713
100315800,gga-mir-1715
100315801,gga-mir-1717
100315803,gga-mir-1722
100315804,gga-mir-1723
100315805,gga-mir-1725
100315807,gga-mir-1728
100315808,gga-mir-1731
100315809,gga-mir-1732-1
100315810,gga-mir-1733
100315811,gga-mir-1736
100315812,gga-mir-1738
100315813,gga-mir-1741
100315814,gga-mir-1742
100315815,gga-mir-1743
100315816,gga-mir-1746
100315817,gga-mir-1747
100315818,gga-mir-1748
100315820,gga-mir-1751
100315821,gga-mir-1753
100315822,gga-mir-1754
100315823,gga-mir-1756a
100315825,gga-mir-1760
100315829,gga-mir-1767
100315831,gga-mir-1770
100315832,gga-mir-1771
100315833,gga-mir-1773
100315834,gga-mir-1776
100315835,gga-mir-1777
100315836,gga-mir-1780
100315837,gga-mir-1782
100315839,gga-mir-1786
100315840,gga-mir-1788
100315841,gga-mir-1789
100315844,gga-mir-1794
100315845,gga-mir-1756b
100315846,gga-mir-1798
100315847,gga-mir-1799
100315848,gga-mir-1802
