ENSEMBL_ID	ENTREZ_ID	GENE_SYM
ENSGALG00010000002	NA	
ENSGALG00010000003	NA	
ENSGALG00010000004	NA	
ENSGALG00010000005	NA	
ENSGALG00010000006	NA	
ENSGALG00010000007	63549479	ND1
ENSGALG00010000008	NA	
ENSGALG00010000009	NA	
ENSGALG00010000010	NA	
ENSGALG00010000011	63549482	ND2
ENSGALG00010000012	NA	
ENSGALG00010000013	NA	
ENSGALG00010000014	NA	
ENSGALG00010000015	NA	
ENSGALG00010000016	NA	
ENSGALG00010000017	63549487	COX1
ENSGALG00010000018	NA	
ENSGALG00010000019	NA	
ENSGALG00010000020	63549489	COX2
ENSGALG00010000021	NA	
ENSGALG00010000022	63549490	ATP8
ENSGALG00010000023	63549466	ATP6
ENSGALG00010000024	63549467	COX3
ENSGALG00010000025	NA	
ENSGALG00010000026	63549491	ND3
ENSGALG00010000027	NA	
ENSGALG00010000028	63549492	ND4L
ENSGALG00010000029	63549470	ND4
ENSGALG00010000030	NA	
ENSGALG00010000031	NA	
ENSGALG00010000032	NA	
ENSGALG00010000033	63549495	ND5
ENSGALG00010000034	63549472	CYTB
ENSGALG00010000035	NA	
ENSGALG00010000036	NA	
ENSGALG00010000037	63549497	ND6
ENSGALG00010000038	NA	
ENSGALG00010000039	373899	PDIA3
ENSGALG00010000040	NA	
ENSGALG00010000041	NA	
ENSGALG00010000042	374002	CKMT1B
ENSGALG00010000043	415587	PPIP5K1
ENSGALG00010000044	415588	MAP1A
ENSGALG00010000045	415589	TP53BP1
ENSGALG00010000046	415590	TUBGCP4
ENSGALG00010000047	415591	IQGAP3
ENSGALG00010000048	415585	MAN2A2
ENSGALG00010000049	429374	FES
ENSGALG00010000050	770162	CIB1
ENSGALG00010000051	NA	GDPGP1
ENSGALG00010000052	431480	TTLL6
ENSGALG00010000053	107056801	HDDC3
ENSGALG00010000054	425858	VPS33B
ENSGALG00010000055	770336	PRC1
ENSGALG00010000056	415584	UNC45A
ENSGALG00010000057	101751992	
ENSGALG00010000058	395457	FURIN
ENSGALG00010000059	415586	MFAP1
ENSGALG00010000060	770307	HYPK
ENSGALG00010000061	430755	SERINC4
ENSGALG00010000062	NA	
ENSGALG00010000063	107054222	SERF2
ENSGALG00010000064	NA	
ENSGALG00010000065	NA	
ENSGALG00010000066	114483010	gga-mir-12218
ENSGALG00010000067	NA	
ENSGALG00010000068	NA	
ENSGALG00010000069	NA	
ENSGALG00010000070	NA	
ENSGALG00010000071	112532885	
ENSGALG00010000072	NA	
ENSGALG00010000073	NA	
ENSGALG00010000074	NA	
ENSGALG00010000075	NA	
ENSGALG00010000076	112530990	
ENSGALG00010000077	NA	
ENSGALG00010000078	112531388	
ENSGALG00010000078	112531412	
ENSGALG00010000079	NA	
ENSGALG00010000080	121107999	
ENSGALG00010000080	430596	
ENSGALG00010000081	396078	ALDOA
ENSGALG00010000082	NA	
ENSGALG00010000083	121108709	
ENSGALG00010000084	121108732	TLCD3B
ENSGALG00010000085	121108716	PIP4P1
ENSGALG00010000086	NA	
ENSGALG00010000087	NA	
ENSGALG00010000088	NA	
ENSGALG00010000089	NA	
ENSGALG00010000090	NA	
ENSGALG00010000091	NA	
ENSGALG00010000092	121108647	INPPL1
ENSGALG00010000093	NA	
ENSGALG00010000094	NA	
ENSGALG00010000095	NA	
ENSGALG00010000096	NA	
ENSGALG00010000097	NA	
ENSGALG00010000098	NA	
ENSGALG00010000099	NA	
ENSGALG00010000100	NA	
ENSGALG00010000101	NA	
ENSGALG00010000102	NA	
ENSGALG00010000103	NA	
ENSGALG00010000104	NA	
ENSGALG00010000105	101752139	CACNA1F
ENSGALG00010000106	NA	
ENSGALG00010000107	NA	
ENSGALG00010000108	107057280	
ENSGALG00010000108	121112483	
ENSGALG00010000109	NA	
ENSGALG00010000110	NA	
ENSGALG00010000111	NA	
ENSGALG00010000112	NA	
ENSGALG00010000113	121108785	
ENSGALG00010000114	NA	
ENSGALG00010000115	NA	
ENSGALG00010000116	NA	
ENSGALG00010000117	NA	
ENSGALG00010000118	NA	
ENSGALG00010000119	NA	
ENSGALG00010000120	NA	
ENSGALG00010000121	121108659	
ENSGALG00010000122	121112494	
ENSGALG00010000123	NA	
ENSGALG00010000124	112530176	MRPS24
ENSGALG00010000125	NA	
ENSGALG00010000126	121108714	
ENSGALG00010000127	121108660	PPT2
