#NAME,C14S1_experimental_1,C16F_controlF_3,C17F_controlF_4,C18S2_experimental_2,C20S1_experimental_3,C20S3_experimental_4,C2F_controlF_1,C3F_controlF_2
#CLASS,Exp,ConF,ConF,Exp,Exp,Exp,ConF,ConF
ENSGALG00010000711,140,399,477,239,176,159,356,514
ENSGALG00010000715,91,122,208,122,30,35,46,66
ENSGALG00010000717,3772,1613,2468,3906,3002,3477,1526,1245
ENSGALG00010000720,1984,1593,2242,3034,2075,1926,1259,1640
ENSGALG00010000724,500,520,678,547,393,317,251,415
ENSGALG00010000726,0,0,0,0,0,0,0,0
ENSGALG00010000729,364,305,288,55,19,35,182,129
ENSGALG00010000734,0,8,8,3,0,1,5,7
ENSGALG00010000757,76,21,27,6,5,2,7,15
ENSGALG00010000762,0,0,0,5,1,0,0,3
ENSGALG00010000777,6508,5708,7680,11092,6679,6068,4542,5614
ENSGALG00010000784,543,607,1086,565,354,312,532,645
ENSGALG00010000785,739,244,426,637,414,388,287,281
ENSGALG00010000788,387,707,839,539,342,274,558,684
ENSGALG00010000791,4,24,24,15,17,4,6,18
ENSGALG00010000793,0,0,0,0,0,0,1,0
ENSGALG00010000795,59,160,289,118,106,102,200,277
ENSGALG00010000796,25,93,157,102,81,60,158,98
ENSGALG00010000800,4090,2195,3012,4672,3410,3277,2480,2221
ENSGALG00010000804,1,0,2,0,0,0,0,0
ENSGALG00010000810,511,520,439,693,456,404,214,351
ENSGALG00010000812,486,439,645,816,457,400,329,524
ENSGALG00010000816,1171,1289,1319,1753,1141,1082,670,658
ENSGALG00010000818,754,399,613,976,697,693,421,335
ENSGALG00010000820,247,291,473,349,120,157,214,238
ENSGALG00010000823,280,259,339,362,208,243,173,185
ENSGALG00010000843,327,243,394,427,367,304,212,295
ENSGALG00010000859,169,72,83,406,265,175,59,86
ENSGALG00010000864,261,216,219,304,300,194,100,141
ENSGALG00010000870,167,65,41,78,24,32,24,30
ENSGALG00010000876,9,3,1,0,1,0,8,0
ENSGALG00010000901,884,228,175,189,100,94,79,111
ENSGALG00010000902,0,1,0,0,0,0,0,0
ENSGALG00010000903,0,1,6,0,0,0,2,0
ENSGALG00010000905,0,0,0,0,0,0,0,0
ENSGALG00010000906,0,0,0,0,0,0,0,0
ENSGALG00010000907,0,0,0,0,0,0,0,0
ENSGALG00010000908,0,0,0,0,0,0,0,0
ENSGALG00010000910,0,0,0,0,0,0,0,0
ENSGALG00010000912,0,0,0,0,0,0,0,0
ENSGALG00010000913,0,1,0,0,0,0,0,0
ENSGALG00010000914,2,0,0,0,0,0,0,0
ENSGALG00010000916,0,1,0,0,0,0,0,0
ENSGALG00010000917,0,0,0,0,0,0,0,0
ENSGALG00010000918,0,0,0,0,0,0,0,0
ENSGALG00010000920,0,0,0,0,0,0,0,0
ENSGALG00010000921,0,0,0,0,0,0,0,0
