pathway,gene,group,sample,norm_expr
Angiogenesis,MMP2,Sacral,Sacral_1,47341.802904805
Angiogenesis,MMP2,Sacral,Sacral_2,43025.8839310366
Angiogenesis,MMP2,Sacral,Sacral_3,48523.5955660906
Angiogenesis,MMP2,Sacral,Sacral_4,51960.0487183955
Angiogenesis,MMP2,Free,Free_1,34817.6824302938
Angiogenesis,MMP2,Free,Free_2,52132.2610944975
Angiogenesis,MMP2,Free,Free_3,44140.6578174065
Angiogenesis,MMP2,Free,Free_4,43573.135489657
Angiogenesis,MMP2,Pygo,Pygo_1,20113.2431115458
Angiogenesis,MMP2,Pygo,Pygo_2,21170.5624245614
Angiogenesis,MMP2,Pygo,Pygo_3,31714.1138540321
Angiogenesis,MMP2,Pygo,Pygo_4,33889.9073556159
Angiogenesis,HIF1A,Sacral,Sacral_1,24579.0470629592
Angiogenesis,HIF1A,Sacral,Sacral_2,25864.6872877645
Angiogenesis,HIF1A,Sacral,Sacral_3,31754.8866307299
Angiogenesis,HIF1A,Sacral,Sacral_4,34570.0445818314
Angiogenesis,HIF1A,Free,Free_1,23807.0362572117
Angiogenesis,HIF1A,Free,Free_2,32490.4551309993
Angiogenesis,HIF1A,Free,Free_3,23223.3399157794
Angiogenesis,HIF1A,Free,Free_4,29327.094690745
Angiogenesis,HIF1A,Pygo,Pygo_1,13562.6550962268
Angiogenesis,HIF1A,Pygo,Pygo_2,15241.5043008079
Angiogenesis,HIF1A,Pygo,Pygo_3,16644.590870863
Angiogenesis,HIF1A,Pygo,Pygo_4,26456.7769861817
Angiogenesis,NOTCH1,Sacral,Sacral_1,3640.03007409175
Angiogenesis,NOTCH1,Sacral,Sacral_2,4709.86712198055
Angiogenesis,NOTCH1,Sacral,Sacral_3,3836.72870269259
Angiogenesis,NOTCH1,Sacral,Sacral_4,4118.15149066471
Angiogenesis,NOTCH1,Free,Free_1,5972.29728119755
Angiogenesis,NOTCH1,Free,Free_2,6121.93327809799
Angiogenesis,NOTCH1,Free,Free_3,6415.29961495262
Angiogenesis,NOTCH1,Free,Free_4,6208.79067063169
Angiogenesis,NOTCH1,Pygo,Pygo_1,6015.32595959257
Angiogenesis,NOTCH1,Pygo,Pygo_2,6692.33130118001
Angiogenesis,NOTCH1,Pygo,Pygo_3,4386.307582601
Angiogenesis,NOTCH1,Pygo,Pygo_4,3648.20837393375
Angiogenesis,PECAM1,Sacral,Sacral_1,1893.56040171422
Angiogenesis,PECAM1,Sacral,Sacral_2,2546.81145158481
Angiogenesis,PECAM1,Sacral,Sacral_3,1838.20054792381
Angiogenesis,PECAM1,Sacral,Sacral_4,1523.42973742145
