pathway,gene,group,sample,norm_expr
Osteogenesis,COL1A2,Sacral,Sacral_1,168467.294697645
Osteogenesis,COL1A2,Sacral,Sacral_2,484322.414079532
Osteogenesis,COL1A2,Sacral,Sacral_3,311410.768414686
Osteogenesis,COL1A2,Sacral,Sacral_4,195595.494149311
Osteogenesis,COL1A2,Free,Free_1,671223.518797137
Osteogenesis,COL1A2,Free,Free_2,1550747.79603569
Osteogenesis,COL1A2,Free,Free_3,1791178.01980075
Osteogenesis,COL1A2,Free,Free_4,1555075.37387792
Osteogenesis,COL1A2,Pygo,Pygo_1,1285612.2597757
Osteogenesis,COL1A2,Pygo,Pygo_2,1321636.6000862
Osteogenesis,COL1A2,Pygo,Pygo_3,870671.123014669
Osteogenesis,COL1A2,Pygo,Pygo_4,572398.403795638
Osteogenesis,COL1A1,Sacral,Sacral_1,155302.67442201
Osteogenesis,COL1A1,Sacral,Sacral_2,478774.918916489
Osteogenesis,COL1A1,Sacral,Sacral_3,293573.208767026
Osteogenesis,COL1A1,Sacral,Sacral_4,218634.237367074
Osteogenesis,COL1A1,Free,Free_1,719315.375094056
Osteogenesis,COL1A1,Free,Free_2,1509978.63358177
Osteogenesis,COL1A1,Free,Free_3,1570846.77787007
Osteogenesis,COL1A1,Free,Free_4,1334845.15458058
Osteogenesis,COL1A1,Pygo,Pygo_1,782464.585883915
Osteogenesis,COL1A1,Pygo,Pygo_2,1034541.49150877
Osteogenesis,COL1A1,Pygo,Pygo_3,782025.83137266
Osteogenesis,COL1A1,Pygo,Pygo_4,490603.828146005
Osteogenesis,SPP1,Sacral,Sacral_1,19825.5960250276
Osteogenesis,SPP1,Sacral,Sacral_2,34933.0851976703
Osteogenesis,SPP1,Sacral,Sacral_3,40228.8686841812
Osteogenesis,SPP1,Sacral,Sacral_4,38919.6333231302
Osteogenesis,SPP1,Free,Free_1,5054.5632736434
Osteogenesis,SPP1,Free,Free_2,6198.59586262962
Osteogenesis,SPP1,Free,Free_3,39556.5452572967
Osteogenesis,SPP1,Free,Free_4,4443.10666030279
Osteogenesis,SPP1,Pygo,Pygo_1,56625.0911584305
Osteogenesis,SPP1,Pygo,Pygo_2,52785.6454810373
Osteogenesis,SPP1,Pygo,Pygo_3,73447.1058789055
Osteogenesis,SPP1,Pygo,Pygo_4,61892.5171021897
Osteogenesis,POSTN,Sacral,Sacral_1,2879.44066986337
Osteogenesis,POSTN,Sacral,Sacral_2,4553.04747072843
Osteogenesis,POSTN,Sacral,Sacral_3,5436.66461266625
Osteogenesis,POSTN,Sacral,Sacral_4,2414.58244991465
Osteogenesis,POSTN,Free,Free_1,45173.267580316
Osteogenesis,POSTN,Free,Free_2,94237.0561322579
Osteogenesis,POSTN,Free,Free_3,46608.6823470879
Osteogenesis,POSTN,Free,Free_4,117409.018765826
Osteogenesis,POSTN,Pygo,Pygo_1,5940.20146054324
Osteogenesis,POSTN,Pygo,Pygo_2,5869.16000444875
Osteogenesis,POSTN,Pygo,Pygo_3,5933.62467462282
Osteogenesis,POSTN,Pygo,Pygo_4,7392.22393148511
Osteogenesis,ALPL,Sacral,Sacral_1,16287.0399350985
Osteogenesis,ALPL,Sacral,Sacral_2,9621.79033307439
Osteogenesis,ALPL,Sacral,Sacral_3,10576.0551209741
Osteogenesis,ALPL,Sacral,Sacral_4,11965.5444528873
Osteogenesis,ALPL,Free,Free_1,1105.82083595748
Osteogenesis,ALPL,Free,Free_2,2414.01960625153
Osteogenesis,ALPL,Free,Free_3,9454.2433545331
Osteogenesis,ALPL,Free,Free_4,2378.49194845094
Osteogenesis,ALPL,Pygo,Pygo_1,18766.3681643043
Osteogenesis,ALPL,Pygo,Pygo_2,19940.9396039763
Osteogenesis,ALPL,Pygo,Pygo_3,17858.0574816171
Osteogenesis,ALPL,Pygo,Pygo_4,25811.9623458789
Osteogenesis,RUNX2,Sacral,Sacral_1,10639.873073349
Osteogenesis,RUNX2,Sacral,Sacral_2,13487.9978889438
Osteogenesis,RUNX2,Sacral,Sacral_3,13586.6512939517
Osteogenesis,RUNX2,Sacral,Sacral_4,16453.5183543591
Osteogenesis,RUNX2,Free,Free_1,1290.66478800903
Osteogenesis,RUNX2,Free,Free_2,2349.28231264704
Osteogenesis,RUNX2,Free,Free_3,6187.37883448409
Osteogenesis,RUNX2,Free,Free_4,1638.14024434577
Osteogenesis,RUNX2,Pygo,Pygo_1,7186.46323941512
Osteogenesis,RUNX2,Pygo,Pygo_2,7725.14601547796
Osteogenesis,RUNX2,Pygo,Pygo_3,9457.9757249834
Osteogenesis,RUNX2,Pygo,Pygo_4,10159.8674043041
Osteogenesis,SMAD5,Sacral,Sacral_1,9399.84236780163
Osteogenesis,SMAD5,Sacral,Sacral_2,10144.2711903711
Osteogenesis,SMAD5,Sacral,Sacral_3,9232.19802748895
Osteogenesis,SMAD5,Sacral,Sacral_4,9275.38465814546
Osteogenesis,SMAD5,Free,Free_1,7082.44195229075
Osteogenesis,SMAD5,Free,Free_2,8123.67854086831
Osteogenesis,SMAD5,Free,Free_3,6553.8396971982
Osteogenesis,SMAD5,Free,Free_4,6657.18672291611
Osteogenesis,SMAD5,Pygo,Pygo_1,4216.3625091435
Osteogenesis,SMAD5,Pygo,Pygo_2,5185.46575695574
Osteogenesis,SMAD5,Pygo,Pygo_3,5569.50059807638
Osteogenesis,SMAD5,Pygo,Pygo_4,8487.009389228
Osteogenesis,IBSP,Sacral,Sacral_1,2917.60978317226
Osteogenesis,IBSP,Sacral,Sacral_2,3594.03498807128
Osteogenesis,IBSP,Sacral,Sacral_3,3784.39955323625
Osteogenesis,IBSP,Sacral,Sacral_4,3518.08480474224
Osteogenesis,IBSP,Free,Free_1,722.080467663342
Osteogenesis,IBSP,Free,Free_2,539.193511205792
Osteogenesis,IBSP,Free,Free_3,5057.83026069149
Osteogenesis,IBSP,Free,Free_4,684.551306487557
Osteogenesis,IBSP,Pygo,Pygo_1,7022.79915220051
Osteogenesis,IBSP,Pygo,Pygo_2,8011.80130072221
Osteogenesis,IBSP,Pygo,Pygo_3,10018.8781708413
Osteogenesis,IBSP,Pygo,Pygo_4,9097.37650283686
Osteogenesis,SMAD1,Sacral,Sacral_1,2217.53238784822
Osteogenesis,SMAD1,Sacral,Sacral_2,2656.13284308267
Osteogenesis,SMAD1,Sacral,Sacral_3,3176.49071061577
Osteogenesis,SMAD1,Sacral,Sacral_4,2832.12388147104
Osteogenesis,SMAD1,Free,Free_1,2825.62626118559
Osteogenesis,SMAD1,Free,Free_2,2866.32885498814
Osteogenesis,SMAD1,Free,Free_3,2551.81893426538
Osteogenesis,SMAD1,Free,Free_4,3649.94386559523
Osteogenesis,SMAD1,Pygo,Pygo_1,1998.84827827675
Osteogenesis,SMAD1,Pygo,Pygo_2,2243.61241167293
Osteogenesis,SMAD1,Pygo,Pygo_3,2542.98200340978
Osteogenesis,SMAD1,Pygo,Pygo_4,2782.71426574764
Osteogenesis,BMP2,Sacral,Sacral_1,1613.34325278798
Osteogenesis,BMP2,Sacral,Sacral_2,2225.63274277038
Osteogenesis,BMP2,Sacral,Sacral_3,1678.9863272375
Osteogenesis,BMP2,Sacral,Sacral_4,1864.62073577895
Osteogenesis,BMP2,Free,Free_1,824.771552136422
Osteogenesis,BMP2,Free,Free_2,1423.36865280392
Osteogenesis,BMP2,Free,Free_3,1379.81452881687
Osteogenesis,BMP2,Free,Free_4,750.316060822606
Osteogenesis,BMP2,Pygo,Pygo_1,916.250586619474
Osteogenesis,BMP2,Pygo,Pygo_2,841.140732522689
Osteogenesis,BMP2,Pygo,Pygo_3,1152.9194201967
Osteogenesis,BMP2,Pygo,Pygo_4,1554.4446420656
Osteogenesis,DLX5,Sacral,Sacral_1,919.782535345945
Osteogenesis,DLX5,Sacral,Sacral_2,790.129781308726
Osteogenesis,DLX5,Sacral,Sacral_3,1065.5105538238
Osteogenesis,DLX5,Sacral,Sacral_4,1342.0974585741
Osteogenesis,DLX5,Free,Free_1,76.7480736588283
