pathway,sample,score,group,replicate,sample_order,method
necroptosis,norm_Sacral_1,-0.3614597476651319,Sacral,1,1,gsva
necroptosis,norm_Free_1,-0.058839538418473225,Free,1,2,gsva
necroptosis,norm_Free_2,0.2818185819946436,Free,2,3,gsva
necroptosis,norm_Sacral_2,0.3710012662904136,Sacral,2,4,gsva
necroptosis,norm_Pygo_1,-0.12059520665922285,Pygo,1,5,gsva
necroptosis,norm_Sacral_3,0.2656474202275586,Sacral,3,6,gsva
necroptosis,norm_Sacral_4,0.05304551713861844,Sacral,4,7,gsva
necroptosis,norm_Free_3,-0.28864633142313045,Free,3,8,gsva
necroptosis,norm_Pygo_2,0.09149616116748438,Pygo,2,9,gsva
necroptosis,norm_Free_4,-0.1035257417803748,Free,4,10,gsva
necroptosis,norm_Pygo_3,-0.03865410561047872,Pygo,3,11,gsva
necroptosis,norm_Pygo_4,7.228608744686005e-5,Pygo,4,12,gsva
TNF_NFkB,norm_Sacral_1,-0.6078893222629332,Sacral,1,1,gsva
TNF_NFkB,norm_Free_1,-0.1149614248444979,Free,1,2,gsva
TNF_NFkB,norm_Free_2,0.22473601762257647,Free,2,3,gsva
TNF_NFkB,norm_Sacral_2,0.3210681369667605,Sacral,2,4,gsva
TNF_NFkB,norm_Pygo_1,0.40628664664512787,Pygo,1,5,gsva
TNF_NFkB,norm_Sacral_3,-0.04840717706707659,Sacral,3,6,gsva
TNF_NFkB,norm_Sacral_4,-0.27553157671711986,Sacral,4,7,gsva
TNF_NFkB,norm_Free_3,0.09245376333246752,Free,3,8,gsva
TNF_NFkB,norm_Pygo_2,0.4832978850153174,Pygo,2,9,gsva
TNF_NFkB,norm_Free_4,-0.38077788946393415,Free,4,10,gsva
TNF_NFkB,norm_Pygo_3,0.29869080548046867,Pygo,3,11,gsva
TNF_NFkB,norm_Pygo_4,0.3422692540933898,Pygo,4,12,gsva
TLR_cGAS_STING,norm_Sacral_1,-0.49241354672000065,Sacral,1,1,gsva
TLR_cGAS_STING,norm_Free_1,0.2950727116998563,Free,1,2,gsva
TLR_cGAS_STING,norm_Free_2,0.20009436410389486,Free,2,3,gsva
TLR_cGAS_STING,norm_Sacral_2,0.26608957107284187,Sacral,2,4,gsva
TLR_cGAS_STING,norm_Pygo_1,0.31754736078616796,Pygo,1,5,gsva
TLR_cGAS_STING,norm_Sacral_3,-0.16861495248125496,Sacral,3,6,gsva
TLR_cGAS_STING,norm_Sacral_4,-0.22903479311503577,Sacral,4,7,gsva
TLR_cGAS_STING,norm_Free_3,0.08546379959313238,Free,3,8,gsva
TLR_cGAS_STING,norm_Pygo_2,0.31498701776061216,Pygo,2,9,gsva
TLR_cGAS_STING,norm_Free_4,-0.30559701382491977,Free,4,10,gsva
TLR_cGAS_STING,norm_Pygo_3,-0.08938335088483809,Pygo,3,11,gsva
TLR_cGAS_STING,norm_Pygo_4,-0.29013818847957096,Pygo,4,12,gsva
complement,norm_Sacral_1,-0.5049301993104431,Sacral,1,1,gsva
complement,norm_Free_1,0.45800221257764423,Free,1,2,gsva
complement,norm_Free_2,0.5965514318850235,Free,2,3,gsva
complement,norm_Sacral_2,-0.5195974181467636,Sacral,2,4,gsva
complement,norm_Pygo_1,0.22029396742523127,Pygo,1,5,gsva
complement,norm_Sacral_3,-0.5791279458730509,Sacral,3,6,gsva
complement,norm_Sacral_4,-0.4586255268777443,Sacral,4,7,gsva
complement,norm_Free_3,-0.41466031082449417,Free,3,8,gsva
complement,norm_Pygo_2,0.7212308644145542,Pygo,2,9,gsva
complement,norm_Free_4,0.11464726937097094,Free,4,10,gsva
complement,norm_Pygo_3,0.09590170693493856,Pygo,3,11,gsva
complement,norm_Pygo_4,-0.20562395426798102,Pygo,4,12,gsva
heterophil_myeloid,norm_Sacral_1,-0.6965198598466461,Sacral,1,1,gsva
heterophil_myeloid,norm_Free_1,-0.3240091002548361,Free,1,2,gsva
heterophil_myeloid,norm_Free_2,-0.46509224255081283,Free,2,3,gsva
heterophil_myeloid,norm_Sacral_2,0.1774242559167037,Sacral,2,4,gsva
heterophil_myeloid,norm_Pygo_1,0.4839889952347739,Pygo,1,5,gsva
heterophil_myeloid,norm_Sacral_3,0.5325660485599069,Sacral,3,6,gsva
heterophil_myeloid,norm_Sacral_4,0.20597995079863002,Sacral,4,7,gsva
heterophil_myeloid,norm_Free_3,-0.2950215988053431,Free,3,8,gsva
heterophil_myeloid,norm_Pygo_2,0.7825718936516549,Pygo,2,9,gsva
heterophil_myeloid,norm_Free_4,-0.6175342410543081,Free,4,10,gsva
heterophil_myeloid,norm_Pygo_3,0.5362355422774018,Pygo,3,11,gsva
heterophil_myeloid,norm_Pygo_4,-0.2728754549184125,Pygo,4,12,gsva
angiogenesis,norm_Sacral_1,-0.28236693522493195,Sacral,1,1,gsva
angiogenesis,norm_Free_1,0.5707204774438117,Free,1,2,gsva
angiogenesis,norm_Free_2,0.6471556351384282,Free,2,3,gsva
angiogenesis,norm_Sacral_2,-0.08750515463917527,Sacral,2,4,gsva
angiogenesis,norm_Pygo_1,-0.46838704641826934,Pygo,1,5,gsva
angiogenesis,norm_Sacral_3,-0.19157149123583483,Sacral,3,6,gsva
angiogenesis,norm_Sacral_4,-0.060216264613338094,Sacral,4,7,gsva
angiogenesis,norm_Free_3,0.5686685546352233,Free,3,8,gsva
angiogenesis,norm_Pygo_2,-0.4981871367923836,Pygo,2,9,gsva
angiogenesis,norm_Free_4,0.5694062810000375,Free,4,10,gsva
angiogenesis,norm_Pygo_3,-0.48877070434706893,Pygo,3,11,gsva
angiogenesis,norm_Pygo_4,-0.5601304290883307,Pygo,4,12,gsva
osteogenesis,norm_Sacral_1,-0.3145938218812572,Sacral,1,1,gsva
osteogenesis,norm_Free_1,-0.5043302610764996,Free,1,2,gsva
osteogenesis,norm_Free_2,-0.10450585290507525,Free,2,3,gsva
osteogenesis,norm_Sacral_2,0.40390102697303526,Sacral,2,4,gsva
osteogenesis,norm_Pygo_1,-0.23858078185153608,Pygo,1,5,gsva
osteogenesis,norm_Sacral_3,0.2540328847779677,Sacral,3,6,gsva
osteogenesis,norm_Sacral_4,-0.09686313144762188,Sacral,4,7,gsva
osteogenesis,norm_Free_3,0.2715723440048717,Free,3,8,gsva
osteogenesis,norm_Pygo_2,0.016726513425942363,Pygo,2,9,gsva
osteogenesis,norm_Free_4,-0.2390876888069579,Free,4,10,gsva
osteogenesis,norm_Pygo_3,0.3558850011405697,Pygo,3,11,gsva
osteogenesis,norm_Pygo_4,0.3490655653807864,Pygo,4,12,gsva
ECM_remodeling,norm_Sacral_1,-0.3945732530563791,Sacral,1,1,gsva
ECM_remodeling,norm_Free_1,-0.09917299809724611,Free,1,2,gsva
ECM_remodeling,norm_Free_2,0.4287459807871601,Free,2,3,gsva
ECM_remodeling,norm_Sacral_2,-0.4686081122001113,Sacral,2,4,gsva
ECM_remodeling,norm_Pygo_1,0.0570649127682773,Pygo,1,5,gsva
ECM_remodeling,norm_Sacral_3,0.0933598164307658,Sacral,3,6,gsva
ECM_remodeling,norm_Sacral_4,-0.07327371469876715,Sacral,4,7,gsva
ECM_remodeling,norm_Free_3,0.6607052760482764,Free,3,8,gsva
ECM_remodeling,norm_Pygo_2,-0.09105154639175264,Pygo,2,9,gsva
ECM_remodeling,norm_Free_4,0.17513447997997889,Free,4,10,gsva
ECM_remodeling,norm_Pygo_3,-0.2868453608247423,Pygo,3,11,gsva
ECM_remodeling,norm_Pygo_4,-0.4355405403467341,Pygo,4,12,gsva
sterol_cholesterol_fatty_acid_metabolism,norm_Sacral_1,0.35402005889624827,Sacral,1,1,gsva
sterol_cholesterol_fatty_acid_metabolism,norm_Free_1,-0.686414095580006,Free,1,2,gsva
sterol_cholesterol_fatty_acid_metabolism,norm_Free_2,-0.6156176698411469,Free,2,3,gsva
sterol_cholesterol_fatty_acid_metabolism,norm_Sacral_2,0.2959373044900073,Sacral,2,4,gsva
sterol_cholesterol_fatty_acid_metabolism,norm_Pygo_1,0.29030249418676696,Pygo,1,5,gsva
sterol_cholesterol_fatty_acid_metabolism,norm_Sacral_3,0.3898418727639544,Sacral,3,6,gsva
sterol_cholesterol_fatty_acid_metabolism,norm_Sacral_4,0.5423363282351417,Sacral,4,7,gsva
sterol_cholesterol_fatty_acid_metabolism,norm_Free_3,-0.023345839122912437,Free,3,8,gsva
sterol_cholesterol_fatty_acid_metabolism,norm_Pygo_2,0.23677265072239795,Pygo,2,9,gsva
sterol_cholesterol_fatty_acid_metabolism,norm_Free_4,-0.5484100957809405,Free,4,10,gsva
sterol_cholesterol_fatty_acid_metabolism,norm_Pygo_3,0.08481148420097356,Pygo,3,11,gsva
sterol_cholesterol_fatty_acid_metabolism,norm_Pygo_4,0.43250401300895036,Pygo,4,12,gsva
fracture_healing,norm_Sacral_1,-0.10541075552622897,Sacral,1,1,gsva
fracture_healing,norm_Free_1,-0.34524207479965346,Free,1,2,gsva
fracture_healing,norm_Free_2,-0.415499308618853,Free,2,3,gsva
fracture_healing,norm_Sacral_2,0.2649817049145734,Sacral,2,4,gsva
fracture_healing,norm_Pygo_1,0.023875467619538626,Pygo,1,5,gsva
fracture_healing,norm_Sacral_3,0.4050362892558303,Sacral,3,6,gsva
fracture_healing,norm_Sacral_4,0.3117844843355409,Sacral,4,7,gsva
fracture_healing,norm_Free_3,0.4715674553472358,Free,3,8,gsva
fracture_healing,norm_Pygo_2,-0.17272139393941144,Pygo,2,9,gsva
fracture_healing,norm_Free_4,-0.31942019194087334,Free,4,10,gsva
fracture_healing,norm_Pygo_3,0.25456090340421184,Pygo,3,11,gsva
fracture_healing,norm_Pygo_4,0.16528940609355935,Pygo,4,12,gsva
