pathway,sample,score,group,replicate,sample_order,method
necroptosis,norm_Sacral_1,0.3375750236497766,Sacral,1,1,ssgsea
necroptosis,norm_Free_1,0.4149117184438536,Free,1,2,ssgsea
necroptosis,norm_Free_2,0.418352976730259,Free,2,3,ssgsea
necroptosis,norm_Sacral_2,0.4168586789832007,Sacral,2,4,ssgsea
necroptosis,norm_Pygo_1,0.3862308214631526,Pygo,1,5,ssgsea
necroptosis,norm_Sacral_3,0.4071020470323551,Sacral,3,6,ssgsea
necroptosis,norm_Sacral_4,0.4005259773348937,Sacral,4,7,ssgsea
necroptosis,norm_Free_3,0.39585391565341965,Free,3,8,ssgsea
necroptosis,norm_Pygo_2,0.4071661687880085,Pygo,2,9,ssgsea
necroptosis,norm_Free_4,0.3788503369518526,Free,4,10,ssgsea
necroptosis,norm_Pygo_3,0.3909834580735488,Pygo,3,11,ssgsea
necroptosis,norm_Pygo_4,0.3888296756250835,Pygo,4,12,ssgsea
TNF_NFkB,norm_Sacral_1,0.2749265137565509,Sacral,1,1,ssgsea
TNF_NFkB,norm_Free_1,0.40440943517024175,Free,1,2,ssgsea
TNF_NFkB,norm_Free_2,0.4205640811756379,Free,2,3,ssgsea
TNF_NFkB,norm_Sacral_2,0.4172809567389492,Sacral,2,4,ssgsea
TNF_NFkB,norm_Pygo_1,0.45430414629611937,Pygo,1,5,ssgsea
TNF_NFkB,norm_Sacral_3,0.376005487224094,Sacral,3,6,ssgsea
TNF_NFkB,norm_Sacral_4,0.37490330713225295,Sacral,4,7,ssgsea
TNF_NFkB,norm_Free_3,0.43589484330661105,Free,3,8,ssgsea
TNF_NFkB,norm_Pygo_2,0.47369224042456193,Pygo,2,9,ssgsea
TNF_NFkB,norm_Free_4,0.38472942222201933,Free,4,10,ssgsea
TNF_NFkB,norm_Pygo_3,0.4301862501300924,Pygo,3,11,ssgsea
TNF_NFkB,norm_Pygo_4,0.4195542275220201,Pygo,4,12,ssgsea
TLR_cGAS_STING,norm_Sacral_1,-0.09899064067200082,Sacral,1,1,ssgsea
TLR_cGAS_STING,norm_Free_1,-0.01355922848504294,Free,1,2,ssgsea
TLR_cGAS_STING,norm_Free_2,-2.705514097872866e-4,Free,2,3,ssgsea
TLR_cGAS_STING,norm_Sacral_2,0.014600321718956939,Sacral,2,4,ssgsea
TLR_cGAS_STING,norm_Pygo_1,0.07085315673269213,Pygo,1,5,ssgsea
TLR_cGAS_STING,norm_Sacral_3,-0.007338666430747793,Sacral,3,6,ssgsea
TLR_cGAS_STING,norm_Sacral_4,-0.01313629138260975,Sacral,4,7,ssgsea
TLR_cGAS_STING,norm_Free_3,-0.019936115361637363,Free,3,8,ssgsea
TLR_cGAS_STING,norm_Pygo_2,0.08267735670358643,Pygo,2,9,ssgsea
TLR_cGAS_STING,norm_Free_4,-0.042168896873061724,Free,4,10,ssgsea
TLR_cGAS_STING,norm_Pygo_3,0.006893660612433742,Pygo,3,11,ssgsea
TLR_cGAS_STING,norm_Pygo_4,-0.02122326977603748,Pygo,4,12,ssgsea
complement,norm_Sacral_1,-0.1983685380909293,Sacral,1,1,ssgsea
complement,norm_Free_1,0.15144640444112076,Free,1,2,ssgsea
complement,norm_Free_2,0.13692431829314322,Free,2,3,ssgsea
complement,norm_Sacral_2,-0.2563096359878872,Sacral,2,4,ssgsea
complement,norm_Pygo_1,-0.0606340376323686,Pygo,1,5,ssgsea
complement,norm_Sacral_3,-0.2555175843560103,Sacral,3,6,ssgsea
complement,norm_Sacral_4,-0.24582267974984734,Sacral,4,7,ssgsea
complement,norm_Free_3,-0.11781520293139693,Free,3,8,ssgsea
complement,norm_Pygo_2,-0.05927402126337834,Pygo,2,9,ssgsea
complement,norm_Free_4,0.04129363977587927,Free,4,10,ssgsea
complement,norm_Pygo_3,-0.11557856121509143,Pygo,3,11,ssgsea
complement,norm_Pygo_4,-0.11292311989039026,Pygo,4,12,ssgsea
heterophil_myeloid,norm_Sacral_1,-0.26024662417052485,Sacral,1,1,ssgsea
heterophil_myeloid,norm_Free_1,-0.14233338603082377,Free,1,2,ssgsea
heterophil_myeloid,norm_Free_2,-0.13068228845148613,Free,2,3,ssgsea
heterophil_myeloid,norm_Sacral_2,0.11459450992299497,Sacral,2,4,ssgsea
heterophil_myeloid,norm_Pygo_1,0.2381559265869829,Pygo,1,5,ssgsea
heterophil_myeloid,norm_Sacral_3,0.1054960219927335,Sacral,3,6,ssgsea
heterophil_myeloid,norm_Sacral_4,0.09957134477378547,Sacral,4,7,ssgsea
heterophil_myeloid,norm_Free_3,-0.10706206393038593,Free,3,8,ssgsea
heterophil_myeloid,norm_Pygo_2,0.2832892839961545,Pygo,2,9,ssgsea
heterophil_myeloid,norm_Free_4,-0.20708342746748665,Free,4,10,ssgsea
heterophil_myeloid,norm_Pygo_3,0.16969900823593712,Pygo,3,11,ssgsea
heterophil_myeloid,norm_Pygo_4,0.05385704052235523,Pygo,4,12,ssgsea
angiogenesis,norm_Sacral_1,0.32108415618578756,Sacral,1,1,ssgsea
angiogenesis,norm_Free_1,0.5600896871630925,Free,1,2,ssgsea
angiogenesis,norm_Free_2,0.5445303797343228,Free,2,3,ssgsea
angiogenesis,norm_Sacral_2,0.3808046397471703,Sacral,2,4,ssgsea
angiogenesis,norm_Pygo_1,0.32743503893109344,Pygo,1,5,ssgsea
angiogenesis,norm_Sacral_3,0.35628690236755517,Sacral,3,6,ssgsea
angiogenesis,norm_Sacral_4,0.33584302906457936,Sacral,4,7,ssgsea
angiogenesis,norm_Free_3,0.5327396471849267,Free,3,8,ssgsea
angiogenesis,norm_Pygo_2,0.31636109585008265,Pygo,2,9,ssgsea
angiogenesis,norm_Free_4,0.544801431284602,Free,4,10,ssgsea
angiogenesis,norm_Pygo_3,0.3185049171810762,Pygo,3,11,ssgsea
angiogenesis,norm_Pygo_4,0.3229610889405201,Pygo,4,12,ssgsea
osteogenesis,norm_Sacral_1,0.52441310885633,Sacral,1,1,ssgsea
osteogenesis,norm_Free_1,0.36847748976784594,Free,1,2,ssgsea
osteogenesis,norm_Free_2,0.43755037587684315,Free,2,3,ssgsea
osteogenesis,norm_Sacral_2,0.5798733951618446,Sacral,2,4,ssgsea
osteogenesis,norm_Pygo_1,0.5298815686703372,Pygo,1,5,ssgsea
osteogenesis,norm_Sacral_3,0.5683459624383813,Sacral,3,6,ssgsea
osteogenesis,norm_Sacral_4,0.5516053980962353,Sacral,4,7,ssgsea
osteogenesis,norm_Free_3,0.5464033251163357,Free,3,8,ssgsea
osteogenesis,norm_Pygo_2,0.5540720797211348,Pygo,2,9,ssgsea
osteogenesis,norm_Free_4,0.39069246409363284,Free,4,10,ssgsea
osteogenesis,norm_Pygo_3,0.5703500383127734,Pygo,3,11,ssgsea
osteogenesis,norm_Pygo_4,0.5713798621629522,Pygo,4,12,ssgsea
ECM_remodeling,norm_Sacral_1,0.6688806588719113,Sacral,1,1,ssgsea
ECM_remodeling,norm_Free_1,0.700584371645561,Free,1,2,ssgsea
ECM_remodeling,norm_Free_2,0.6955978452212328,Free,2,3,ssgsea
