pathway,sample,score,group,replicate,sample_order,method
necroptosis,norm_Sacral_1,0.1838325399443842,Sacral,1,1,singscore
necroptosis,norm_Free_1,0.23481759909506517,Free,1,2,singscore
necroptosis,norm_Free_2,0.23787528868360275,Free,2,3,singscore
necroptosis,norm_Sacral_2,0.23545977282367914,Sacral,2,4,singscore
necroptosis,norm_Pygo_1,0.2201006268558232,Pygo,1,5,singscore
necroptosis,norm_Sacral_3,0.2299040863458548,Sacral,3,6,singscore
necroptosis,norm_Sacral_4,0.22660484517132495,Sacral,4,7,singscore
necroptosis,norm_Free_3,0.2242718103407646,Free,3,8,singscore
necroptosis,norm_Pygo_2,0.23263774331903664,Pygo,2,9,singscore
necroptosis,norm_Free_4,0.2154109911863128,Free,4,10,singscore
necroptosis,norm_Pygo_3,0.22259862374510997,Pygo,3,11,singscore
necroptosis,norm_Pygo_4,0.2189694584531272,Pygo,4,12,singscore
TNF_NFkB,norm_Sacral_1,0.15148295003965107,Sacral,1,1,singscore
TNF_NFkB,norm_Free_1,0.23223156225218078,Free,1,2,singscore
TNF_NFkB,norm_Free_2,0.2436891356066614,Free,2,3,singscore
TNF_NFkB,norm_Sacral_2,0.24003489294210933,Sacral,2,4,singscore
TNF_NFkB,norm_Pygo_1,0.2628865979381443,Pygo,1,5,singscore
TNF_NFkB,norm_Sacral_3,0.21506423473433778,Sacral,3,6,singscore
TNF_NFkB,norm_Sacral_4,0.214791435368755,Sacral,4,7,singscore
TNF_NFkB,norm_Free_3,0.2530340999206978,Free,3,8,singscore
TNF_NFkB,norm_Pygo_2,0.27502299762093574,Pygo,2,9,singscore
TNF_NFkB,norm_Free_4,0.2215670103092784,Free,4,10,singscore
TNF_NFkB,norm_Pygo_3,0.2483013481363997,Pygo,3,11,singscore
TNF_NFkB,norm_Pygo_4,0.24191276764472647,Pygo,4,12,singscore
TLR_cGAS_STING,norm_Sacral_1,-0.09291990483743057,Sacral,1,1,singscore
TLR_cGAS_STING,norm_Free_1,-0.05086439333862014,Free,1,2,singscore
TLR_cGAS_STING,norm_Free_2,-0.036615384615384605,Free,2,3,singscore
TLR_cGAS_STING,norm_Sacral_2,-0.0158001586042823,Sacral,2,4,singscore
TLR_cGAS_STING,norm_Pygo_1,0.010534496431403695,Pygo,1,5,singscore
TLR_cGAS_STING,norm_Sacral_3,-0.028437747819191117,Sacral,3,6,singscore
TLR_cGAS_STING,norm_Sacral_4,-0.031191118160190323,Sacral,4,7,singscore
TLR_cGAS_STING,norm_Free_3,-0.049576526566217305,Free,3,8,singscore
TLR_cGAS_STING,norm_Pygo_2,0.024402854877081714,Pygo,2,9,singscore
TLR_cGAS_STING,norm_Free_4,-0.06439016653449647,Free,4,10,singscore
TLR_cGAS_STING,norm_Pygo_3,-0.024409199048374297,Pygo,3,11,singscore
TLR_cGAS_STING,norm_Pygo_4,-0.047298969072164965,Pygo,4,12,singscore
complement,norm_Sacral_1,-0.16167155183399928,Sacral,1,1,singscore
complement,norm_Free_1,0.047703471592314695,Free,1,2,singscore
complement,norm_Free_2,0.04220109897523927,Free,2,3,singscore
complement,norm_Sacral_2,-0.16138668785654853,Sacral,2,4,singscore
complement,norm_Pygo_1,-0.05551474171083309,Pygo,1,5,singscore
complement,norm_Sacral_3,-0.1639954421763608,Sacral,3,6,singscore
complement,norm_Sacral_4,-0.15991738944653927,Sacral,4,7,singscore
complement,norm_Free_3,-0.10027586827289975,Free,3,8,singscore
complement,norm_Pygo_2,-0.05227628807244539,Pygo,2,9,singscore
complement,norm_Free_4,-0.012665202365870265,Free,4,10,singscore
complement,norm_Pygo_3,-0.08779432820828054,Pygo,3,11,singscore
complement,norm_Pygo_4,-0.09430122116689282,Pygo,4,12,singscore
heterophil_myeloid,norm_Sacral_1,-0.21052180808881837,Sacral,1,1,singscore
heterophil_myeloid,norm_Free_1,-0.1513941316415543,Free,1,2,singscore
heterophil_myeloid,norm_Free_2,-0.1354639175257732,Free,2,3,singscore
heterophil_myeloid,norm_Sacral_2,2.886597938144275e-4,Sacral,2,4,singscore
heterophil_myeloid,norm_Pygo_1,0.0647390959555908,Pygo,1,5,singscore
heterophil_myeloid,norm_Sacral_3,0.008751784298176024,Sacral,3,6,singscore
heterophil_myeloid,norm_Sacral_4,-0.006410785091197468,Sacral,4,7,singscore
heterophil_myeloid,norm_Free_3,-0.13221570182394926,Free,3,8,singscore
heterophil_myeloid,norm_Pygo_2,0.09958762886597938,Pygo,2,9,singscore
heterophil_myeloid,norm_Free_4,-0.17736716891356064,Free,4,10,singscore
heterophil_myeloid,norm_Pygo_3,0.03286597938144331,Pygo,3,11,singscore
heterophil_myeloid,norm_Pygo_4,-0.037998413957176846,Pygo,4,12,singscore
angiogenesis,norm_Sacral_1,0.17294528152260114,Sacral,1,1,singscore
angiogenesis,norm_Free_1,0.3180745440126883,Free,1,2,singscore
angiogenesis,norm_Free_2,0.3115400475812846,Free,2,3,singscore
