pathway,test_scope,test_method,group1,group2,n_group1,n_group2,statistic,parameter,estimate,effect_type,p_value,adjust_method,note,p_adj
necroptosis,omnibus,kruskal,,,,,0.8076923076923066,2,,,0.6677468436506435,BH,,0.6677468436506435
TNF_NFkB,omnibus,kruskal,,,,,7.03846153846154,2,,,0.029622212723650183,BH,,0.07405553180912545
TLR_cGAS_STING,omnibus,kruskal,,,,,2.57692307692308,2,,,0.2756946025335609,BH,,0.3446182531669511
complement,omnibus,kruskal,,,,,8,2,,,0.01831563888873418,BH,,0.06105212962911393
heterophil_myeloid,omnibus,kruskal,,,,,6.03846153846154,2,,,0.04883877220268604,BH,,0.09677871237283894
angiogenesis,omnibus,kruskal,,,,,8.769230769230766,2,,,0.012467682474775326,BH,,0.06105212962911393
osteogenesis,omnibus,kruskal,,,,,5.692307692307693,2,,,0.05806722742370336,BH,,0.09677871237283894
ECM_remodeling,omnibus,kruskal,,,,,3.03846153846154,2,,,0.2188801915895085,BH,,0.3126859879850121
sterol_cholesterol_fatty_acid_metabolism,omnibus,kruskal,,,,,9.846153846153847,2,,,0.007276706499332492,BH,,0.06105212962911393
fracture_healing,omnibus,kruskal,,,,,1.8461538461538467,2,,,0.3972947131977112,BH,,0.44143857021967914
