"","Geneid","SYMBOL","NCBI_GeneID","Ensembl_GeneID","gene_biotype","Chr","Start","End","Strand","Length"
"gene-LOC107049418","gene-LOC107049418","LOC107049418",107049418,"","lncRNA","NC_052532.1","38611","40827","+",1041
"gene-LOC124417607","gene-LOC124417607","LOC124417607",124417607,"","lncRNA","NC_052532.1","50214","53685","+",3040
"gene-RNF212B","gene-RNF212B","RNF212B",770305,"ENSGALG00010017689","lncRNA","NC_052532.1","51035","60654","-",6051
"gene-LOC124418405","gene-LOC124418405","LOC124418405",124418405,"","lncRNA","NC_052532.1","396280","417775","-",9795
"gene-LOC121109254","gene-LOC121109254","LOC121109254",121109254,"","lncRNA","NC_052532.1","1201729","1203925","-",2051
"gene-LOC101750931","gene-LOC101750931","LOC101750931",101750931,"","lncRNA","NC_052532.1","3784910","3804284","+",18466
"gene-LOC121107878","gene-LOC121107878","LOC121107878",121107878,"","lncRNA","NC_052532.1","4871715","4874804","-",2723
"gene-LOC121108053","gene-LOC121108053","LOC121108053",121108053,"","lncRNA","NC_052532.1","7497880","7507779","+",9424
"gene-LOC112532981","gene-LOC112532981","LOC112532981",112532981,"","lncRNA","NC_052532.1","9256417","9275769","-",10447
"gene-LOC107057089","gene-LOC107057089","LOC107057089",107057089,"","lncRNA","NC_052532.1","10847816","10860021","-",7254
"gene-LOC121109473","gene-LOC121109473","LOC121109473",121109473,"","lncRNA","NC_052532.1","11172327","11250235","-",9764
"gene-LOC121109475","gene-LOC121109475","LOC121109475",121109475,"","lncRNA","NC_052532.1","11193096","11208872","-",10015
"gene-LOC121109477","gene-LOC121109477","LOC121109477",121109477,"","lncRNA","NC_052532.1","11612090","11625841","+",9674
"gene-LOC107051625","gene-LOC107051625","LOC107051625",107051625,"","lncRNA","NC_052532.1","12871293","12875405","-",2225
"gene-LOC121109078","gene-LOC121109078","LOC121109078",121109078,"","lncRNA","NC_052532.1","13667175","13670326","-",2361
"gene-LOC107051628","gene-LOC107051628","LOC107051628",107051628,"","lncRNA","NC_052532.1","13919601","13960851","-",3349
"gene-LOC101752215","gene-LOC101752215","LOC101752215",101752215,"","lncRNA","NC_052532.1","14166150","14174908","-",8340
"gene-LOC121108798","gene-LOC121108798","LOC121108798",121108798,"","lncRNA","NC_052532.1","15069510","15076377","+",6213
"gene-LOC112533030","gene-LOC112533030","LOC112533030",112533030,"","lncRNA","NC_052532.1","15109256","15143629","+",5180
"gene-LOC121108850","gene-LOC121108850","LOC121108850",121108850,"","lncRNA","NC_052532.1","15307920","15318269","+",10184
"gene-C12orf40","gene-C12orf40","C12orf40",101748677,"","lncRNA","NC_052532.1","15443869","15466132","-",11286
"gene-LOC107049700","gene-LOC107049700","LOC107049700",107049700,"","lncRNA","NC_052532.1","20329152","20354754","-",14051
"gene-LOC124417103","gene-LOC124417103","LOC124417103",124417103,"","lncRNA","NC_052532.1","20444292","20449554","-",5164
"gene-LOC112533174","gene-LOC112533174","LOC112533174",112533174,"","lncRNA","NC_052532.1","23014169","23035385","-",9093
"gene-LOC100859665","gene-LOC100859665","LOC100859665",100859665,"","lncRNA","NC_052532.1","23953596","23992363","+",7731
"gene-LOC101747342","gene-LOC101747342","LOC101747342",101747342,"","lncRNA","NC_052532.1","25014783","25016487","+",992
"gene-LOC112533188","gene-LOC112533188","LOC112533188",112533188,"","lncRNA","NC_052532.1","25785179","25815190","+",1905
"gene-LOC112533189","gene-LOC112533189","LOC112533189",112533189,"","lncRNA","NC_052532.1","26264871","26295347","+",3773
"gene-LOC121107432","gene-LOC121107432","LOC121107432",121107432,"","lncRNA","NC_052532.1","26775467","26808034","-",8407
"gene-LOC107052654","gene-LOC107052654","LOC107052654",107052654,"","lncRNA","NC_052532.1","26866548","26872596","+",5468
"gene-LOC107052656","gene-LOC107052656","LOC107052656",107052656,"","lncRNA","NC_052532.1","26898981","26915428","+",13314
"gene-LOC121106849","gene-LOC121106849","LOC121106849",121106849,"","lncRNA","NC_052532.1","29799645","29805260","+",4446
"gene-LOC121106856","gene-LOC121106856","LOC121106856",121106856,"","lncRNA","NC_052532.1","30243784","30253786","-",8961
"gene-LOC107052695","gene-LOC107052695","LOC107052695",107052695,"","lncRNA","NC_052532.1","30729659","30740307","-",9229
"gene-LOC101749506","gene-LOC101749506","LOC101749506",101749506,"","lncRNA","NC_052532.1","31110557","31128874","+",9504
"gene-LOC124417321","gene-LOC124417321","LOC124417321",124417321,"","lncRNA","NC_052532.1","31151758","31167882","+",15879
"gene-LOC121107711","gene-LOC121107711","LOC121107711",121107711,"","lncRNA","NC_052532.1","31901403","31904620","+",516
"gene-LOC101750768","gene-LOC101750768","LOC101750768",101750768,"","lncRNA","NC_052532.1","33110258","33110729","-",375
"gene-LOC121109402","gene-LOC121109402","LOC121109402",121109402,"","lncRNA","NC_052532.1","33501130","33522631","-",8008
"gene-LOC121109403","gene-LOC121109403","LOC121109403",121109403,"","lncRNA","NC_052532.1","33557684","33567551","-",8830
"gene-LOC124417168","gene-LOC124417168","LOC124417168",124417168,"","lncRNA","NC_052532.1","33754760","33765575","-",10662
"gene-LOC121109185","gene-LOC121109185","LOC121109185",121109185,"","lncRNA","NC_052532.1","34936757","34944549","-",6954
"gene-LOC121109193","gene-LOC121109193","LOC121109193",121109193,"","lncRNA","NC_052532.1","35061886","35068076","+",3614
"gene-LOC107052751","gene-LOC107052751","LOC107052751",107052751,"","lncRNA","NC_052532.1","35539100","35553782","-",8682
"gene-LOC121109495","gene-LOC121109495","LOC121109495",121109495,"","lncRNA","NC_052532.1","35910797","35918232","-",3284
"gene-LOC101747919","gene-LOC101747919","LOC101747919",101747919,"","lncRNA","NC_052532.1","36351886","36359566","-",6391
"gene-LOC124417663","gene-LOC124417663","LOC124417663",124417663,"","lncRNA","NC_052532.1","36445036","36452337","-",2196
"gene-LOC101749281","gene-LOC101749281","LOC101749281",101749281,"","lncRNA","NC_052532.1","38402803","38412728","+",8670
"gene-LOC101749434","gene-LOC101749434","LOC101749434",101749434,"","lncRNA","NC_052532.1","39129346","39200719","-",27838
"gene-LOC101749704","gene-LOC101749704","LOC101749704",101749704,"","lncRNA","NC_052532.1","39830360","39846282","-",5728
"gene-LOC121109290","gene-LOC121109290","LOC121109290",121109290,"","lncRNA","NC_052532.1","40087700","40094381","-",5238
"gene-LOC121113460","gene-LOC121113460","LOC121113460",121113460,"","lncRNA","NC_052532.1","40850821","40859381","+",6204
"gene-LOC112533329","gene-LOC112533329","LOC112533329",112533329,"","lncRNA","NC_052532.1","41863210","41874418","+",11101
"gene-LOC112533343","gene-LOC112533343","LOC112533343",112533343,"","lncRNA","NC_052532.1","43085855","43095098","+",5685
"gene-LOC101751742","gene-LOC101751742","LOC101751742",101751742,"","lncRNA","NC_052532.1","43346398","43368911","+",11088
"gene-LOC112533355","gene-LOC112533355","LOC112533355",112533355,"","lncRNA","NC_052532.1","43996090","44035805","+",1156
"gene-LOC121109064","gene-LOC121109064","LOC121109064",121109064,"","lncRNA","NC_052532.1","44104436","44108324","+",1773
"gene-LOC121109065","gene-LOC121109065","LOC121109065",121109065,"","lncRNA","NC_052532.1","44149330","44152490","+",2483
"gene-LOC121109066","gene-LOC121109066","LOC121109066",121109066,"","lncRNA","NC_052532.1","44381576","44427262","-",40509
"gene-LOC107052984","gene-LOC107052984","LOC107052984",107052984,"","lncRNA","NC_052532.1","44924523","44942437","-",16538
"gene-LOC112533381","gene-LOC112533381","LOC112533381",112533381,"","lncRNA","NC_052532.1","44961156","44983011","-",4322
"gene-LOC121109484","gene-LOC121109484","LOC121109484",121109484,"","lncRNA","NC_052532.1","45732949","45739307","+",3623
"gene-LOC107052954","gene-LOC107052954","LOC107052954",107052954,"","lncRNA","NC_052532.1","45783988","45790909","-",3587
"gene-LOC107053813","gene-LOC107053813","LOC107053813",107053813,"","lncRNA","NC_052532.1","47888162","47895243","-",6898
"gene-LOC124417604","gene-LOC124417604","LOC124417604",124417604,"","lncRNA","NC_052532.1","48185587","48192534","-",5354
"gene-LOC121109326","gene-LOC121109326","LOC121109326",121109326,"","lncRNA","NC_052532.1","49236014","49239416","-",3244
"gene-LOC121109327","gene-LOC121109327","LOC121109327",121109327,"","lncRNA","NC_052532.1","49281376","49314887","-",30851
"gene-LOC101748546","gene-LOC101748546","LOC101748546",101748546,"","lncRNA","NC_052532.1","49692576","49697706","+",3583
"gene-LOC107053731","gene-LOC107053731","LOC107053731",107053731,"","lncRNA","NC_052532.1","49873602","49900232","+",5066
"gene-LOC101749129","gene-LOC101749129","LOC101749129",101749129,"","lncRNA","NC_052532.1","49910868","49928229","+",10368
"gene-LOC107053686","gene-LOC107053686","LOC107053686",107053686,"","lncRNA","NC_052532.1","50641913","50650239","+",7600
"gene-LOC121109332","gene-LOC121109332","LOC121109332",121109332,"","lncRNA","NC_052532.1","50727065","50729721","+",2258
"gene-LOC121109334","gene-LOC121109334","LOC121109334",121109334,"","lncRNA","NC_052532.1","50875515","50879007","-",2634
