set_name,description,input_mode,input_gene_set_size,matched_gene_count,unmatched_gene_count,percent_coverage,matched_genes,unmatched_genes,gsva_ssgsea_status,singscore_mode,up_input_size,up_matched_gene_count,down_input_size,down_matched_gene_count
necroptosis,Chicken-adapted upstream necroptosis/death-receptor program (TNF-RIPK1-FADD-CASP8 axis); intentionally excludes RIPK3 because avian RIPK3 is likely lost/misannotated.,directional,16,14,2,87.5,TNFRSF1A;TRADD;RIPK1;FADD;CASP8;CFLAR;CYLD;MAP3K7;TAB2;TAB3;CHUK;IKBKB;NFKB1;TNFAIP3,TNF;RELA,included,up_only,16,14,0,0
TNF_NFkB,"Canonical TNF-NF-kB inflammatory signaling genes spanning receptor, adaptor, IKK, NF-kB, and feedback inhibitor layers.",directional,18,13,5,72.22,TNFRSF1A;TRADD;TRAF2;RIPK1;MAP3K7;TAB2;CHUK;IKBKB;NFKB1;NFKB2;NFKBIA;BIRC2;TNFAIP3,TNF;IKBKG;RELA;RELB;BIRC3,included,up_only,18,13,0,0
TLR_cGAS_STING,"Combined innate DNA/RNA sensing set for chicken, integrating TLR and cGAS-STING signaling; includes avian TLR15 and TLR21 plus MB21D1-cGAS and TMEM173-STING core nodes.",directional,16,13,3,81.25,TLR3;TLR4;TLR15;TLR21;MYD88;TICAM1;TRAF3;TRAF6;TBK1;IKBKE;IRF7;TMEM173;NFKB1,IFNB;MB21D1;RELA,included,up_only,16,13,0,0
complement,"Core complement cascade genes spanning classical and alternative pathway recognition, convertases, effectors, receptors, and regulation.",directional,15,11,4,73.33,C1QA;C1QB;C1QC;C1R;C1S;C3;C4;C5;CFD;C3AR1;SERPING1,C2;CFB;CFP;C5AR1,included,up_only,15,11,0,0
heterophil_myeloid,"Broad avian heterophil/myeloid activation set emphasizing granulocyte lineage, oxidative burst, innate sensing, and inflammatory effector genes.",directional,17,13,4,76.47,LYZ;CSF3R;CSF1R;SPI1;FCER1G;CYBB;NCF2;ITGB2;MMP9;IL6;TLR4;TLR15;TLR21,TYROBP;NCF1;ITGAM;IL1B,included,up_only,17,13,0,0
angiogenesis,"Core angiogenic/endothelial sprouting and vessel maturation genes centered on VEGF, ANGPT-TEK, and DLL4-NOTCH signaling.",directional,14,13,1,92.86,VEGFA;KDR;FLT1;ANGPT1;ANGPT2;TEK;DLL4;NOTCH1;HIF1A;PECAM1;CDH5;KLF2;MMP2,MMP14,included,up_only,14,13,0,0
osteogenesis,"Osteoblast differentiation and matrix mineralization program centered on RUNX2-SP7, BMP-SMAD signaling, and bone matrix genes.",directional,14,13,1,92.86,RUNX2;ALPL;BGLAP;SPP1;IBSP;COL1A1;COL1A2;BMP2;BMP4;SMAD1;SMAD5;POSTN;DLX5,SP7,included,up_only,14,13,0,0
ECM_remodeling,"Extracellular matrix turnover/remodeling set including proteases, inhibitors, crosslinking, provisional matrix, and TGF-beta-linked remodeling genes.",directional,15,13,2,86.67,MMP2;MMP9;MMP13;TIMP2;LOX;FN1;COL1A1;COL3A1;VCAN;THBS2;ADAMTS2;TGFB1;PLAU,MMP14;TIMP1,included,up_only,15,13,0,0
sterol_cholesterol_fatty_acid_metabolism,"Combined cholesterol-mevalonate and fatty-acid synthesis/oxidation set anchored by SREBPs, de novo lipogenesis enzymes, and beta-oxidation genes.",directional,19,17,2,89.47,SREBF1;SREBF2;SCAP;HMGCS1;HMGCR;MVK;MVD;FDFT1;SQLE;DHCR7;ACLY;ACACA;FASN;SCD;CPT1A;ACOX1;PPARA,LDLR;ACADM,included,up_only,19,17,0,0
fracture_healing,"Fracture-healing / endochondral-repair composite spanning inflammatory priming, angiogenesis, cartilage-to-bone transition, osteogenesis, and remodeling.",directional,16,14,2,87.5,IL6;TGFB1;VEGFA;RUNX2;SOX9;COL10A1;MMP9;MMP13;ALPL;SPP1;IBSP;POSTN;BMP2;ANGPT2,TNF;COL2A1,included,up_only,16,14,0,0
